# Sample orbit input file for use with the CmdLineAe9Ap9 application. 
# Any lines starting with a '#' are considered comments, and therefore ignored. 
# 
# Data lines in this file consist of a time value and three coordinate values.
# By default, they are expected to be coma-separated values (CSV) format, 
# with the date/time in Modified Julian Date, followed by the x,y,z coordinates
# in the GEI coordinate system, in units of Earth-radii
#
#  Other time forms, coordinate system/units/ordering and data delimiters 
#  are also supported for ephemeris file input when these parameters are also
#  specified in the model run input file:
# InTimeSpec    Form of time specification
#             *MJD, YrDDDFrac, YrDDDGmt, YrMoDaGmt, YrMoDaHrMnSc
# InCoordSys    Coordinate system of position values (Irbemlib names)
#             GEO,GEI,GDZ,GSM,GSE,SM,MAG,SPH,RLL
#              GEO - geographic cartesian (RE), 
#             *GEI - geocentric equatorial inertial (RE), sometimes called "ECI"
#              GDZ - geodetic (altitude Km, lat deg, lon deg), 
#              GSM - geocentric solar magnetospheric (RE),
#              GSE - geocentric solar ecliptic (RE) ,
#              SM  - solar magnetic (RE),
#              MAG - magnetic (RE), 
#              SPH - spherical (radius RE, colat deg, phi deg),
#              RLL - spherical (radius RE, lat deg, lon deg)
#             ( 1 RE is defined as 6371.2 km )
# InCoordUnits  Coordinate system position units (RE or km)
# InCoordOrder  Ordering of non-Cartesian coordinate values (Standard or Inverted)
#               *Standard='Dist,Lat,Lon', Inverted='Lat,Lon,Dist'
# InDataDelim   Data delimiter character (*comma, space, tab)
#
# All available keywords and their associated values are fully described in the
#  "AE9/AP9/SPM Radiation Environment Model User's Guide" document.
#
#-------------------------------------------------------------------
# To use this particular file as ephemeris input, the time format specification
# parameter would required to be set: "InTimeSpec: YrDDDGmt"
# (all other format specifications are at their default settings)
#-------------------------------------------------------------------
#
# Time format:              Year, day_of_year, GMT_seconds_of_day
# Coordinate system:        GEI (Geocentric Equatorial Inertial) cartesian in earth radii
# Data Delimiter:           comma
#
# datetime(year,ddd,gmtsec),posx(Re),posy(Re),posz(Re)
2010,19,0.0,0.15132822,1.31933325,0.76268222
2010,19,120.0,0.03199536,1.34135351,0.77459370
2010,19,240.0,-0.08753358,1.35537450,0.78187985
2010,19,360.0,-0.20656298,1.36158585,0.78465484
2010,19,480.0,-0.32444620,1.36021314,0.78305337
2010,19,600.0,-0.44058525,1.35151148,0.77722689
2010,19,720.0,-0.55442963,1.33575981,0.76734035
2010,19,840.0,-0.66547459,1.31325589,0.75356931
2010,19,960.0,-0.77325909,1.28431203,0.73609747
2010,19,1080.0,-0.87736339,1.24925144,0.71511459
2010,19,1200.0,-0.97740659,1.20840514,0.69081469
2010,19,1320.0,-1.07304413,1.16210948,0.66339467
2010,19,1440.0,-1.16396523,1.11070402,0.63305308
2010,19,1560.0,-1.24989053,1.05452990,0.59998919
2010,19,1680.0,-1.33056971,0.99392856,0.56440224
2010,19,1800.0,-1.40577937,0.92924068,0.52649091
2010,19,1920.0,-1.47532101,0.86080554,0.48645288
2010,19,2040.0,-1.53901911,0.78896041,0.44448454
2010,19,2160.0,-1.59671951,0.71404031,0.40078084
2010,19,2280.0,-1.64828789,0.63637777,0.35553518
2010,19,2400.0,-1.69360836,0.55630285,0.30893939
2010,19,2520.0,-1.73258235,0.47414317,0.26118379
2010,19,2640.0,-1.76512752,0.39022409,0.21245729
2010,19,2760.0,-1.79117694,0.30486890,0.16294749
2010,19,2880.0,-1.81067836,0.21839916,0.11284091
2010,19,3000.0,-1.82359360,0.13113498,0.06232309
2010,19,3120.0,-1.82989819,0.04339537,0.01157891
2010,19,3240.0,-1.82958105,-0.04450130,-0.03920729
2010,19,3360.0,-1.82264431,-0.13223701,-0.08985143
2010,19,3480.0,-1.80910339,-0.21949362,-0.14016945
2010,19,3600.0,-1.78898703,-0.30595250,-0.18997715
2010,19,3720.0,-1.76233762,-0.39129413,-0.23908989
2010,19,3840.0,-1.72921161,-0.47519778,-0.28732244
2010,19,3960.0,-1.68968000,-0.55734113,-0.33448879
2010,19,4080.0,-1.64382911,-0.63740002,-0.38040198
2010,19,4200.0,-1.59176138,-0.71504822,-0.42487397
2010,19,4320.0,-1.53359637,-0.78995724,-0.46771558
2010,19,4440.0,-1.46947195,-0.86179629,-0.50873645
2010,19,4560.0,-1.39954556,-0.93023228,-0.54774504
2010,19,4680.0,-1.32399577,-0.99493000,-0.58454878
2010,19,4800.0,-1.24302384,-1.05555241,-0.61895424
2010,19,4920.0,-1.15685563,-1.11176117,-0.65076744
2010,19,5040.0,-1.06574349,-1.16321727,-0.67979424
2010,19,5160.0,-0.96996843,-1.20958210,-0.70584099
2010,19,5280.0,-0.86984238,-1.25051861,-0.72871520
2010,19,5400.0,-0.76571055,-1.28569298,-0.74822655
2010,19,5520.0,-0.65795389,-1.31477662,-0.76418805
2010,19,5640.0,-0.54699156,-1.33744862,-0.77641747
2010,19,5760.0,-0.43328335,-1.35339874,-0.78473911
2010,19,5880.0,-0.31733202,-1.36233095,-0.78898588
2010,19,6000.0,-0.19968533,-1.36396765,-0.78900171
2010,19,6120.0,-0.08093776,-1.35805453,-0.78464443
2010,19,6240.0,0.03826835,-1.34436613,-0.77578893
2010,19,6360.0,0.15724240,-1.32271216,-0.76233091
2010,19,6480.0,0.27524612,-1.29294451,-0.74419082
2010,19,6600.0,0.39149538,-1.25496491,-0.72131836
2010,19,6720.0,0.50516350,-1.20873306,-0.69369709
2010,19,6840.0,0.61538640,-1.15427512,-0.66134937
2010,19,6960.0,0.72126974,-1.09169223,-0.62434113
2010,19,7080.0,0.82189844,-1.02116874,-0.58278662
2010,19,7200.0,0.91634848,-0.94297963,-0.53685258
2010,19,7320.0,1.00370120,-0.85749666,-0.48676163
2010,19,7440.0,1.08305992,-0.76519261,-0.43279468
2010,19,7560.0,1.15356834,-0.66664310,-0.37529170
2010,19,7680.0,1.21443046,-0.56252529,-0.31465090
2010,19,7800.0,1.26493090,-0.45361316,-0.25132577
2010,19,7920.0,1.30445496,-0.34076897,-0.18582002
