# File: ../../samples/ephem_short.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55461.00000000,1.55724275,-0.00102209,-0.00071548
55461.00347222,1.52885375,0.25387326,0.17779429
55461.00694444,1.44478631,0.49953907,0.34983451
55461.01041667,1.30891783,0.72732783,0.50934371
55461.01388889,1.12728790,0.92974039,0.65106554
55461.01736111,0.90754077,1.10078977,0.77080388
55461.02083333,0.65830418,1.23617420,0.86554417
55461.02430556,0.38860011,1.33327591,0.93345261
55461.02777778,0.10735213,1.39102933,0.97378381
55461.03125000,-0.17698115,1.40971099,0.98673351
55461.03472222,-0.45664673,1.39069806,0.97326933
55461.03819444,-0.72473005,1.33623038,0.93496384
55461.04166667,-0.97520557,1.24919694,0.87384498
55461.04513889,-1.20293118,1.13295703,0.79227052
55461.04861111,-1.40360843,0.99119806,0.69282839
55461.05208333,-1.57372568,0.82782751,0.57826086
55461.05555556,-1.71049653,0.64689420,0.45140926
55461.05902778,-1.81180149,0.45253333,0.31517536
55461.06250000,-1.87613831,0.24892958,0.17249546
55461.06597222,-1.90258379,0.04029344,0.02632364
55461.06944444,-1.89076913,-0.16915386,-0.12037888
55461.07291667,-1.84086926,-0.37519087,-0.26465126
55461.07638889,-1.75360690,-0.57360566,-0.40353995
55461.07986111,-1.63027080,-0.76020849,-0.53410781
55461.08333333,-1.47274782,-0.93085134,-0.65344788
55461.08680556,-1.28356742,-1.08145861,-0.75870515
55461.09027778,-1.06595601,-1.20807366,-0.84710936
55461.09375000,-0.82389714,-1.30692673,-0.91602278
55461.09722222,-0.56219055,-1.37452953,-0.96300674
55461.10069444,-0.28649996,-1.40780199,-0.98591068
55461.10416667,-0.00337447,-1.40423487,-0.98298614
55461.10763889,0.27977618,-1.36208822,-0.95302596
55461.11111111,0.55477701,-1.28061973,-0.89552412
55461.11458333,0.81288021,-1.16032673,-0.81084511
55461.11805556,1.04507671,-1.00317345,-0.70038249
55461.12152778,1.24253613,-0.81276111,-0.56667732
55461.12500000,1.39715957,-0.59439006,-0.41346053
55461.12847222,1.50219572,-0.35496441,-0.24558480
55461.13194444,1.55283658,-0.10270892,-0.06882480
55461.13541667,1.54668879,0.15329576,0.11044954
55461.13888889,1.48402398,0.40370839,0.28569096
55461.14236111,1.36775250,0.63956437,0.45062154
55461.14583333,1.20312615,0.85285384,0.59963740
55461.14930556,0.99723497,1.03695708,0.72811301
55461.15277778,0.75839841,1.18689361,0.83257461
55461.15625000,0.49555334,1.29938626,0.91074394
55461.15972222,0.21771759,1.37277513,0.96147693
55461.16319444,-0.06642813,1.40683244,0.98463307
55461.16666667,-0.34882925,1.40252857,0.98091078
55461.17013889,-0.62222992,1.36178929,0.95167693
55461.17361111,-0.88025282,1.28727067,0.89880884
55461.17708333,-1.11741268,1.18216581,0.82455866
55461.18055556,-1.32908750,1.05004799,0.73144354
55461.18402778,-1.51146657,0.89474960,0.62216068
55461.18750000,-1.66148937,0.72027229,0.49952448
55461.19097222,-1.77678509,0.53072325,0.36642186
55461.19444444,-1.85561889,0.33027173,0.22578182
55461.19791667,-1.89684881,0.12312069,0.08055555
55461.20138889,-1.89989550,-0.08651122,-0.06629623
55461.20486111,-1.86472585,-0.29440149,-0.21181167
55461.20833333,-1.79185119,-0.49633339,-0.35303465
55461.21180556,-1.68233982,-0.68810696,-0.48702270
55461.21527778,-1.53784364,-0.86555540,-0.61085864
55461.21875000,-1.36063787,-1.02457070,-0.72166883
55461.22222222,-1.15367170,-1.16114331,-0.81665131
55461.22569444,-0.92062673,-1.27142084,-0.89311720
55461.22916667,-0.66597730,-1.35179134,-0.94854944
55461.23263889,-0.39504402,-1.39899664,-0.98068251
55461.23611111,-0.11402758,-1.41028039,-0.98760638
55461.23958333,0.16999525,-1.38357245,-0.96789583
55461.24305556,0.44913605,-1.31770658,-0.92076280
55461.24652778,0.71484580,-1.21265962,-0.84622347
55461.25000000,0.95817718,-1.06978878,-0.74526358
55461.25347222,1.17017391,-0.89203032,-0.61997608
55461.25694444,1.34238250,-0.68401090,-0.47363715
55461.26041667,1.46745126,-0.45202007,-0.31068446
55461.26388889,1.53974564,-0.20380359,-0.13656973
55461.26736111,1.55588120,0.05183261,0.04252103
55461.27083333,1.51507080,0.30557458,0.22005607
55461.27430556,1.41921058,0.54823303,0.38960179
55461.27777778,1.27268492,0.77135665,0.54525193
55461.28125000,1.08193371,0.96773213,0.68197643
55461.28472222,0.85487217,1.13170972,0.79584737
55461.28819444,0.60026863,1.25933834,0.88413123
55461.29166667,0.32717076,1.34833362,0.94526426
55461.29513889,0.04443753,1.39792578,0.97874399
55461.29861111,-0.23960046,1.40863955,0.98497355
55461.30208333,-0.51735714,1.38205082,0.96509027
55461.30555556,-0.78210424,1.32055216,0.92080079
55461.30902778,-1.02800777,1.22714571,0.85423571
55461.31250000,-1.25011318,1.10527170,0.76782936
55461.31597222,-1.44430046,0.95867341,0.66422533
55461.31944444,-1.60722503,0.79129551,0.54620527
55461.32291667,-1.73625597,0.60721058,0.41663762
55461.32638889,-1.82941889,0.41056821,0.27844207
55461.32986111,-1.88534814,0.20556124,0.13456596
55461.33333333,-1.90325122,-0.00359584,-0.01203081
55461.33680556,-1.88288672,-0.21268075,-0.15838548
55461.34027778,-1.82455659,-0.41747340,-0.30153959
55461.34375000,-1.72911300,-0.61376598,-0.43854615
55461.34722222,-1.59797935,-0.79737668,-0.56647955
55461.35069444,-1.43318490,-0.96417112,-0.68245085
55461.35416667,-1.23741125,-1.11009584,-0.78363166
55461.35763889,-1.01404814,-1.23122879,-0.86728994
55461.36111111,-0.76725367,-1.32385211,-0.93084143
55461.36458333,-0.50201169,-1.38455284,-0.97192072
55461.36805556,-0.22417505,-1.41035671,-0.98847530
55461.37152778,0.05952113,-1.39889799,-0.97888480
55461.37500000,0.34149717,-1.34862475,-0.94210461
55461.37847222,0.61344252,-1.25903144,-0.87782836
55461.38194444,0.86653147,-1.13090054,-0.78665593
55461.38541667,1.09176131,-0.96652179,-0.67024514
55461.38888889,1.28041772,-0.76984455,-0.53141573
55461.39236111,1.42464552,-0.54651142,-0.37416943
55461.39583333,1.51806787,-0.30372621,-0.20359367
55461.39930556,1.55636433,-0.04993198,-0.02563230
55461.40277778,1.53770261,0.20568590,0.15326532
55461.40625000,1.46293369,0.45381155,0.32657450
55461.40972222,1.33550597,0.68563189,0.48813864
55461.41319444,1.16111759,0.89339154,0.63255617
55461.41666667,0.94718180,1.07079230,0.75545745
55461.42013889,0.70220886,1.21320326,0.85364841
55461.42361111,0.43520385,1.31769062,0.92512781
55461.42708333,0.15515212,1.38290703,0.96900670
55461.43055556,-0.12937206,1.40889252,0.98536648
55461.43402778,-0.41046870,1.39683572,0.97508995
55461.43750000,-0.68106292,1.34883281,0.93969140
55461.44097222,-0.93496853,1.26766793,0.88116227
55461.44444444,-1.16689049,1.15662700,0.80184061
55461.44791667,-1.37238949,1.01934837,0.70430648
55461.45138889,-1.54782668,0.85970833,0.59130202
55461.45486111,-1.69030168,0.68173706,0.46567279
55461.45833333,-1.79759278,0.48955943,0.33032657
55461.46180556,-1.86810489,0.28735501,0.18820553
55461.46527778,-1.90082883,0.07933219,0.04226825
55461.46875000,-1.89531360,-0.13028827,-0.10452173
55461.47222222,-1.85165296,-0.33728429,-0.24920374
55461.47569444,-1.77048634,-0.53744209,-0.38882685
55461.47916667,-1.65301425,-0.72656798,-0.52045834
55461.48263889,-1.50102759,-0.90050625,-0.64119662
55461.48611111,-1.31694951,-1.05516727,-0.74819136
55461.48958333,-1.10388790,-1.18657061,-0.83867417
55461.49305556,-0.86569435,-1.29090821,-0.91000349
55461.49652778,-0.60702366,-1.36463336,-0.95972751
55461.50000000,-0.33338408,-1.40458069,-0.98566869
55461.50347222,-0.05116448,-1.40812146,-0.98603294
55461.50694444,0.23238055,-1.37335512,-0.95954381
55461.51041667,0.50921124,-1.29933250,-0.90559830
55461.51388889,0.77067518,-1.18629673,-0.82443438
55461.51736111,1.00779525,-1.03591601,-0.71729187
