# File: Run/ephem_cnofs_tle.dat
#
# Ephemeris generated from TLE input file: ../../samples/cnofs_tle.dat
# Propagator: Kepler with J2
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
55711.09750000,-0.29192196,1.02825926,0.00206841
55711.10097222,-0.60925824,0.86958681,0.08252842
55711.10444444,-0.85732572,0.61211466,0.15357655
55711.10791667,-1.00787276,0.28497193,0.20711275
55711.11138889,-1.04476016,-0.07441277,0.23723837
55711.11486111,-0.96580293,-0.42569692,0.24099899
55711.11833333,-0.78220356,-0.73105004,0.21859031
55711.12180556,-0.51607417,-0.95951513,0.17307057
55711.12527778,-0.19692828,-1.08975543,0.10974287
55711.12875000,0.14201657,-1.11120669,0.03539705
55711.13222222,0.46717877,-1.02399859,-0.04244423
55711.13569444,0.74738094,-0.83808813,-0.11619972
55711.13916667,0.95606820,-0.57195120,-0.17880776
55711.14263889,1.07310444,-0.25101522,-0.22422548
55711.14611111,1.08627120,0.09414143,-0.24787490
55711.14958333,0.99251236,0.42991011,-0.24705084
55711.15305556,0.79883415,0.72222357,-0.22127769
55711.15652778,0.52261267,0.93965937,-0.17256442
55711.16000000,0.19093116,1.05698515,-0.10546768
55711.16347222,-0.16144748,1.05876637,-0.02685189
55711.16694444,-0.49566907,0.94232817,0.05473957
55711.17041667,-0.77368270,0.71917448,0.13009831
55711.17388889,-0.96361188,0.41413418,0.19060715
55711.17736111,-1.04437994,0.06209642,0.22947242
55711.18083333,-1.00845716,-0.29701272,0.24263934
55711.18430556,-0.86219177,-0.62379881,0.22919758
55711.18777778,-0.62396612,-0.88427330,0.19125722
55711.19125000,-0.32096458,-1.05324629,0.13342472
55711.19472222,0.01454520,-1.11605570,0.06207046
55711.19819444,0.34873990,-1.06889828,-0.01544433
55711.20166667,0.64923973,-0.91820420,-0.09147911
55711.20513889,0.88752521,-0.67945391,-0.15872797
55711.20861111,1.04087364,-0.37568716,-0.21074386
55711.21208333,1.09395277,-0.03578783,-0.24239864
55711.21555556,1.04015487,0.30750498,-0.25030027
55711.21902778,0.88263762,0.61998245,-0.23316638
55711.22250000,0.63488670,0.86886050,-0.19211919
55711.22597222,0.32046609,1.02617444,-0.13082602
55711.22944444,-0.02845000,1.07241810,-0.05537946
55711.23291667,-0.37406559,0.99984349,0.02618426
55711.23638889,-0.67741780,0.81456782,0.10476563
55711.23986111,-0.90369008,0.53664319,0.17139285
55711.24333333,-1.02727116,0.19767972,0.21849661
55711.24680556,-1.03532584,-0.16362924,0.24097113
55711.25027778,-0.92906435,-0.50702962,0.23677791
55711.25375000,-0.72265621,-0.79597804,0.20700508
55711.25722222,-0.44041262,-1.00165960,0.15546491
55711.26069444,-0.11314671,-1.10534030,0.08801004
55711.26416667,0.22549533,-1.09917836,0.01175413
55711.26763889,0.54226134,-0.98590104,-0.06567372
55711.27111111,0.80692833,-0.77778355,-0.13678174
55711.27458333,0.99440332,-0.49524485,-0.19476990
55711.27805556,1.08642705,-0.16520767,-0.23400826
55711.28152778,1.07299421,0.18078076,-0.25046443
