# File: Run/ephem_molinya.dat
#
# Ephemeris generated from specified elements
# Propagator: SGP4 (improved,WGS84)
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re)
57040.50000000,3.97180229,-0.72161274,4.75753267
57040.50069444,3.97546953,-0.70999711,4.74019040
57040.50138889,3.97904545,-0.69836516,4.72273921
57040.50208333,3.98252944,-0.68671708,4.70517885
57040.50277778,3.98592085,-0.67505304,4.68750908
57040.50347222,3.98921905,-0.66337321,4.66972963
57040.50416667,3.99242340,-0.65167777,4.65184027
57040.50486111,3.99553322,-0.63996690,4.63384072
57040.50555556,3.99854786,-0.62824078,4.61573074
57040.50625000,4.00146665,-0.61649960,4.59751006
57040.50694444,4.00428889,-0.60474354,4.57917842
57040.50763889,4.00701392,-0.59297280,4.56073555
57040.50833333,4.00964102,-0.58118757,4.54218117
57040.50902778,4.01216949,-0.56938803,4.52351501
57040.50972222,4.01459862,-0.55757440,4.50473680
57040.51041667,4.01692767,-0.54574686,4.48584625
57040.51111111,4.01915592,-0.53390563,4.46684309
57040.51180556,4.02128263,-0.52205090,4.44772702
57040.51250000,4.02330703,-0.51018288,4.42849776
57040.51319444,4.02522838,-0.49830180,4.40915500
57040.51388889,4.02704589,-0.48640785,4.38969847
57040.51458333,4.02875879,-0.47450126,4.37012785
57040.51527778,4.03036628,-0.46258226,4.35044284
57040.51597222,4.03186756,-0.45065106,4.33064315
57040.51666667,4.03326182,-0.43870789,4.31072845
57040.51736111,4.03454823,-0.42675298,4.29069844
57040.51805556,4.03572596,-0.41478657,4.27055280
57040.51875000,4.03679416,-0.40280890,4.25029121
57040.51944444,4.03775198,-0.39082021,4.22991335
57040.52013889,4.03859854,-0.37882074,4.20941889
57040.52083333,4.03933296,-0.36681075,4.18880751
57040.52152778,4.03995435,-0.35479048,4.16807887
57040.52222222,4.04046181,-0.34276020,4.14723263
57040.52291667,4.04085442,-0.33072017,4.12626846
57040.52361111,4.04113123,-0.31867066,4.10518600
57040.52430556,4.04129132,-0.30661193,4.08398493
