1 38752U          13275.82096920  .00000027  00000-0  10000-3 0  1773
2 38752   9.9601  95.1283 6818074   0.6473 359.9402  2.67319620 10665
1 38752U          13277.31710353  .00000013  00000-0  10000-3 0  1788
2 38752   9.9555  94.4396 6818035   1.9798 359.7327  2.67319200 10704
1 38752U          13279.93534230 -.00000005  00000-0  10000-3 0  1799
2 38752   9.9606  93.2571 6817829   4.2941 359.3727  2.67318223 10770
1 38752U          13282.55362197  .00000006  00000-0  10000-3 0  1804
2 38752   9.9671  92.0731 6817669   6.6101 359.0584  2.67318312 10848
1 38752U          13283.30171958 -.00000115  00000-0  00000+0 0  1820
2 38752   9.9364  91.7029 6819548   7.3198 358.9678  2.67316630 10871
1 38752U          13285.54594475  .00000030  00000-0  10000-3 0  1810
2 38752   9.9796  90.7143 6816364   9.3031 358.6718  2.67325012 10929
1 38752U          13287.41611568  .00000022  00000-0  10000-3 0  1823
2 38752   9.9831  89.8569 6816564  10.9622 358.4307  2.67320090 10974
1 38752U          13288.91228110 -.00000003  00000-0  10000-3 0  1837
2 38752   9.9802  89.1939 6817496  12.2587 358.2313  2.67317342 11013
1 38752U          13290.40845890 -.00000036  00000-0  10000-3 0  1841
2 38752   9.9844  88.5340 6817182  13.5567 358.0629  2.67317267 11050
1 38752U          13290.40847586 -.00000142  00000-0  00000+0 0  1859
2 38752   9.9430  88.4590 6818375  13.6450 358.0663  2.67315549 11053
1 38752U          13291.90459410 -.00000063  00000-0  10000-3 0  1857
2 38752   9.9929  87.8332 6817332  14.9175 357.8511  2.67317350 11098
1 38752U          13294.52284814 -.00000069  00000-0  10000-3 0  1869
2 38752   9.9995  86.6451 6817118  17.2465 357.4955  2.67317386 11165
1 38752U          13294.89688967 -.00000066  00000-0  10000-3 0  1874
2 38752   9.9931  86.4274 6816979  17.5892 357.4640  2.67317482 11176
1 38752U          13295.27091226 -.00000061  00000-0  10000-3 0  1889
2 38752  10.0004  86.3040 6817283  17.8986 357.3948  2.67317461 11184
1 38752U          13297.88920499 -.00000017  00000-0  10000-3 0  1893
2 38752  10.0002  85.0969 6816912  20.2191 357.0854  2.67317329 11256
1 38752U          13299.38536434  .00000004  00000-0  10000-3 0  1909
2 38752  10.0052  84.4686 6816954  21.5041 356.8973  2.67317373 11296
1 38752U          13300.50749107  .00000013  00000-0  10000-3 0  1910
2 38752  10.0059  83.9424 6816812  22.5038 356.7717  2.67317563 11327
1 38752U          13303.49977594  .00000007  00000-0  10000-3 0  1928
2 38752  10.0120  82.6108 6816760  25.1406 356.3632  2.67317584 11405
1 38752U          13306.49203169 -.00000024  00000-0  10000-3 0  1932
2 38752  10.0153  81.2544 6816772  27.7952 355.9213  2.67317288 11486
1 38752U          13307.24009741 -.00000031  00000-0  10000-3 0  1945
2 38752  10.0177  80.9220 6816859  28.4428 355.8119  2.67317037 11500
1 38752U          13309.85833966 -.00000034  00000-0  10000-3 0  1952
2 38752  10.0214  79.7325 6816920  30.7842 355.4327  2.67316718 11578
1 38752U          13312.47661354 -.00000011  00000-0  10000-3 0  1960
2 38752  10.0217  78.5687 6817146  33.0854 355.0779  2.67316113 11643
1 38752U          13315.46892451 -.00000011  00000-0  10000-3 0  1977
2 38752  10.0288  77.2093 6817437  35.7457 354.6639  2.67315240 11728
1 38752U          13318.46117560  .00000008  00000-0  88474-4 0  1988
2 38752   9.9830  75.7422 6819016  38.5334 354.2022  2.67315604 11802
1 38752U          13318.46118679 -.00000070  00000-0  10000-3 0  1989
2 38752  10.0343  75.9153 6817244  38.3383 354.2137  2.67315370 11807
1 38752U          13321.45342645 -.00000111  00000-0  10000-3 0  1991
2 38752  10.0378  74.5588 6817319  40.9951 353.7455  2.67315756 11888
1 38752U          13324.07163881 -.00000090  00000-0  10000-3 0  2004
