# GEO_10DAY_AE9 test orbit
# System: SPH
# Units: Re
# Data Delimiter: Comma
# Time format: MJD
# MJD,X,Y,Z
5.702300000000e+04,6.617932571201e+00,9.000000000000e+01,-1.277627895754e-08
5.702304166667e+04,6.617932571201e+00,9.000000000000e+01,1.448815655109e-06
5.702308333333e+04,6.617932571201e+00,9.000000000000e+01,2.910407197009e-06
5.702312500000e+04,6.617932571201e+00,9.000000000000e+01,4.371999015732e-06
5.702316666667e+04,6.617932571201e+00,9.000000000000e+01,5.833590934420e-06
5.702320833333e+04,6.617932571201e+00,9.000000000000e+01,7.295182472475e-06
5.702325000000e+04,6.617932571201e+00,9.000000000000e+01,8.756774433455e-06
5.702329166667e+04,6.617932571201e+00,9.000000000000e+01,1.021836635599e-05
5.702333333333e+04,6.617932571201e+00,9.000000000000e+01,1.167995779408e-05
5.702337500000e+04,6.617932571201e+00,9.000000000000e+01,1.314154842092e-05
5.702341666667e+04,6.617932571201e+00,9.000000000000e+01,1.460314024349e-05
5.702345833333e+04,6.617932571201e+00,9.000000000000e+01,1.606473173156e-05
5.702350000000e+04,6.617932571201e+00,9.000000000000e+01,1.752632367909e-05
5.702354166667e+04,6.617932571201e+00,9.000000000000e+01,1.898791495762e-05
5.702358333333e+04,6.617932571201e+00,9.000000000000e+01,2.044950649183e-05
5.702362500000e+04,6.617932571201e+00,9.000000000000e+01,2.191109834516e-05
5.702366666667e+04,6.617932571201e+00,9.000000000000e+01,2.337269029076e-05
5.702370833333e+04,6.617932571201e+00,9.000000000000e+01,2.483428192782e-05
5.702375000000e+04,6.617932571201e+00,9.000000000000e+01,2.629587305544e-05
5.702379166667e+04,6.617932571201e+00,9.000000000000e+01,2.775746493568e-05
5.702383333333e+04,6.617932571201e+00,9.000000000000e+01,2.921905651603e-05
5.702387500000e+04,6.617932571201e+00,9.000000000000e+01,3.068064839627e-05
5.702391666667e+04,6.617932571201e+00,9.000000000000e+01,3.214224021499e-05
5.702395833333e+04,6.617932571201e+00,9.000000000000e+01,3.360383180832e-05
5.702400000000e+04,6.617932571201e+00,9.000000000000e+01,3.506542370057e-05
5.702404166667e+04,6.617932571201e+00,9.000000000000e+01,3.652701560965e-05
5.702408333333e+04,6.617932571201e+00,9.000000000000e+01,3.798860714386e-05
5.702412500000e+04,6.617932571201e+00,9.000000000000e+01,3.945019768996e-05
5.702416666667e+04,6.617932571201e+00,9.000000000000e+01,4.091178961249e-05
5.702420833333e+04,6.617932571201e+00,9.000000000000e+01,4.237338115439e-05
5.702425000000e+04,6.617932571201e+00,9.000000000000e+01,4.383497308846e-05
5.702429166667e+04,6.617932571201e+00,9.000000000000e+01,4.529656361150e-05
5.702433333333e+04,6.617932571201e+00,9.000000000000e+01,4.675815517262e-05
5.702437500000e+04,6.617932571201e+00,9.000000000000e+01,4.821974711822e-05
5.702441666667e+04,6.617932571201e+00,9.000000000000e+01,4.968133888696e-05
5.702445833333e+04,6.617932571201e+00,9.000000000000e+01,5.114293053940e-05
5.702450000000e+04,6.617932571201e+00,9.000000000000e+01,5.260452238216e-05
5.702454166667e+04,6.617932571201e+00,9.000000000000e+01,5.406611423164e-05
5.702458333333e+04,6.617932571201e+00,9.000000000000e+01,5.552770586966e-05
5.702462500000e+04,6.617932571201e+00,9.000000000000e+01,5.698929764993e-05
5.702466666667e+04,6.617932571201e+00,9.000000000000e+01,5.845088889194e-05
5.702470833333e+04,6.617932571201e+00,9.000000000000e+01,5.991248053285e-05
5.702475000000e+04,6.617932571201e+00,9.000000000000e+01,6.137407296001e-05
5.702479166667e+04,6.617932571201e+00,9.000000000000e+01,6.283566489023e-05
5.702483333333e+04,6.617932571201e+00,9.000000000000e+01,6.429725643213e-05
5.702487500000e+04,6.617932571201e+00,9.000000000000e+01,6.575884706666e-05
5.702491666667e+04,6.617932571201e+00,9.000000000000e+01,6.722043890461e-05
5.702495833333e+04,6.617932571201e+00,9.000000000000e+01,6.868203054023e-05
5.702500000000e+04,6.617932571201e+00,9.000000000000e+01,7.014362225562e-05
5.702504166667e+04,6.617932571201e+00,9.000000000000e+01,7.160521291900e-05
5.702508333333e+04,6.617932571201e+00,9.000000000000e+01,7.306680445321e-05
5.702512500000e+04,6.617932571201e+00,9.000000000000e+01,7.452839637574e-05
5.702516666667e+04,6.617932571201e+00,9.000000000000e+01,7.598998829827e-05
5.702520833333e+04,6.617932571201e+00,9.000000000000e+01,7.745157983441e-05
5.702525000000e+04,6.617932571201e+00,9.000000000000e+01,7.891317176848e-05
5.702529166667e+04,6.617932571201e+00,9.000000000000e+01,8.037476345840e-05
5.702533333333e+04,6.617932571201e+00,9.000000000000e+01,8.183635523099e-05
5.702537500000e+04,6.617932571201e+00,9.000000000000e+01,8.329794694975e-05
5.702541666667e+04,6.617932571201e+00,9.000000000000e+01,8.475953886267e-05
5.702545833333e+04,6.617932571201e+00,9.000000000000e+01,8.622113040313e-05
5.702550000000e+04,6.617932571201e+00,9.000000000000e+01,8.768272169849e-05
5.702554166667e+04,6.617932571201e+00,9.000000000000e+01,8.914431344032e-05
5.702558333333e+04,6.617932571201e+00,9.000000000000e+01,9.060590517830e-05
5.702562500000e+04,6.617932571201e+00,9.000000000000e+01,9.206749622038e-05
5.702566666667e+04,6.617932571201e+00,9.000000000000e+01,9.352908815445e-05
5.702570833333e+04,6.617932571201e+00,9.000000000000e+01,9.499067974730e-05
5.702575000000e+04,6.617932571201e+00,9.000000000000e+01,9.645227163619e-05
5.702579166667e+04,6.617932571201e+00,9.000000000000e+01,9.791386227649e-05
5.702583333333e+04,6.617932571201e+00,9.000000000000e+01,9.937545509870e-05
5.702587500000e+04,6.617932571201e+00,9.000000000000e+01,1.008370457525e-04
5.702591666667e+04,6.617932571201e+00,9.000000000000e+01,1.022986374674e-04
5.702595833333e+04,6.617932571201e+00,9.000000000000e+01,1.037602292073e-04
5.702600000000e+04,6.617932571201e+00,9.000000000000e+01,1.052218209357e-04
5.702604166667e+04,6.617932571201e+00,9.000000000000e+01,1.066834128736e-04
5.702608333333e+04,6.617932571201e+00,9.000000000000e+01,1.081450044116e-04
5.702612500000e+04,6.617932571201e+00,9.000000000000e+01,1.096065963265e-04
5.702616666667e+04,6.617932571201e+00,9.000000000000e+01,1.110681880452e-04
5.702620833333e+04,6.617932571201e+00,9.000000000000e+01,1.125297797873e-04
5.702625000000e+04,6.617932571201e+00,9.000000000000e+01,1.139913715174e-04
5.702629166667e+04,6.617932571201e+00,9.000000000000e+01,1.154529634399e-04
5.702633333333e+04,6.617932571201e+00,9.000000000000e+01,1.169145550049e-04
5.702637500000e+04,6.617932571201e+00,9.000000000000e+01,1.183761456240e-04
5.702641666667e+04,6.617932571201e+00,9.000000000000e+01,1.198377375197e-04
5.702645833333e+04,6.617932571201e+00,9.000000000000e+01,1.212993290580e-04
5.702650000000e+04,6.617932571201e+00,9.000000000000e+01,1.227609209668e-04
5.702654166667e+04,6.617932571201e+00,9.000000000000e+01,1.242225120954e-04
5.702658333333e+04,6.617932571201e+00,9.000000000000e+01,1.256841044908e-04
5.702662500000e+04,6.617932571201e+00,9.000000000000e+01,1.271456957290e-04
5.702666666667e+04,6.617932571201e+00,9.000000000000e+01,1.286072874727e-04
5.702670833333e+04,6.617932571201e+00,9.000000000000e+01,1.300688790130e-04
5.702675000000e+04,6.617932571201e+00,9.000000000000e+01,1.315304701125e-04
5.702679166667e+04,6.617932571201e+00,9.000000000000e+01,1.329920622426e-04
5.702683333333e+04,6.617932571201e+00,9.000000000000e+01,1.344536537807e-04
5.702687500000e+04,6.617932571201e+00,9.000000000000e+01,1.359152454995e-04
5.702691666667e+04,6.617932571201e+00,9.000000000000e+01,1.373768376335e-04
5.702695833333e+04,6.617932571201e+00,9.000000000000e+01,1.388384291733e-04
5.702700000000e+04,6.617932571201e+00,9.000000000000e+01,1.403000209037e-04
5.702704166667e+04,6.617932571201e+00,9.000000000000e+01,1.417616128282e-04
5.702708333333e+04,6.617932571201e+00,9.000000000000e+01,1.432232041625e-04
5.702712500000e+04,6.617932571201e+00,9.000000000000e+01,1.446847950085e-04
5.702716666667e+04,6.617932571201e+00,9.000000000000e+01,1.461463869291e-04
5.702720833333e+04,6.617932571201e+00,9.000000000000e+01,1.476079782645e-04
5.702725000000e+04,6.617932571201e+00,9.000000000000e+01,1.490695704031e-04
5.702729166667e+04,6.617932571201e+00,9.000000000000e+01,1.505311608454e-04
5.702733333333e+04,6.617932571201e+00,9.000000000000e+01,1.519927536331e-04
5.702737500000e+04,6.617932571201e+00,9.000000000000e+01,1.534543442868e-04
5.702741666667e+04,6.617932571201e+00,9.000000000000e+01,1.549159362382e-04
5.702745833333e+04,6.617932571201e+00,9.000000000000e+01,1.563775277644e-04
5.702750000000e+04,6.617932571201e+00,9.000000000000e+01,1.578391194662e-04
5.702754166667e+04,6.617932571201e+00,9.000000000000e+01,1.593007116156e-04
5.702758333333e+04,6.617932571201e+00,9.000000000000e+01,1.607623031498e-04
5.702762500000e+04,6.617932571201e+00,9.000000000000e+01,1.622238948955e-04
5.702766666667e+04,6.617932571201e+00,9.000000000000e+01,1.636854861855e-04
5.702770833333e+04,6.617932571201e+00,9.000000000000e+01,1.651470781265e-04
5.702775000000e+04,6.617932571201e+00,9.000000000000e+01,1.666086702690e-04
5.702779166667e+04,6.617932571201e+00,9.000000000000e+01,1.680702622050e-04
