# RLL_GRAPHITE test orbit
# System: RLL
# Units: km
# Data Delimiter: Comma
# Time format: MJD
# MJD,X,Y,Z
5.702300000000e+04,0.000000000000e+00,-1.277627895754e-08,4.216417199763e+04
5.702304166667e+04,0.000000000000e+00,1.448815655109e-06,4.216417199763e+04
5.702308333333e+04,0.000000000000e+00,2.910407197009e-06,4.216417199763e+04
5.702312500000e+04,0.000000000000e+00,4.371999015732e-06,4.216417199763e+04
5.702316666667e+04,0.000000000000e+00,5.833590934420e-06,4.216417199763e+04
5.702320833333e+04,0.000000000000e+00,7.295182472475e-06,4.216417199763e+04
5.702325000000e+04,0.000000000000e+00,8.756774433455e-06,4.216417199763e+04
5.702329166667e+04,0.000000000000e+00,1.021836635599e-05,4.216417199763e+04
5.702333333333e+04,0.000000000000e+00,1.167995779408e-05,4.216417199763e+04
5.702337500000e+04,0.000000000000e+00,1.314154842092e-05,4.216417199763e+04
5.702341666667e+04,0.000000000000e+00,1.460314024349e-05,4.216417199763e+04
5.702345833333e+04,0.000000000000e+00,1.606473173156e-05,4.216417199763e+04
5.702350000000e+04,0.000000000000e+00,1.752632367909e-05,4.216417199763e+04
5.702354166667e+04,0.000000000000e+00,1.898791495762e-05,4.216417199763e+04
5.702358333333e+04,0.000000000000e+00,2.044950649183e-05,4.216417199763e+04
