# SM_AL test orbit
# System: SM
# Units: Re
# Data Delimiter: Comma
# Time format: MJD
# MJD,X,Y,Z
5.702300000000e+04,-6.583469410543e+00,5.758027699659e-01,3.513021598269e-01
5.702304166667e+04,-6.503967828838e+00,-1.171895601043e+00,3.494205183671e-01
5.702308333333e+04,-5.950281737824e+00,-2.876100215298e+00,3.452916289848e-01
5.702312500000e+04,-4.931700741956e+00,-4.399972586422e+00,3.400008051217e-01
5.702316666667e+04,-3.505867516927e+00,-5.602998477389e+00,3.351604587302e-01
5.702320833333e+04,-1.783732797961e+00,-6.364341804363e+00,3.323886575650e-01
5.702325000000e+04,8.133511173117e-02,-6.609066246591e+00,3.326551739173e-01
5.702329166667e+04,1.919828038396e+00,-6.324435721829e+00,3.358639909260e-01
5.702333333333e+04,3.576671061296e+00,-5.557717083035e+00,3.409346875629e-01
5.702337500000e+04,4.932542944396e+00,-4.398537646825e+00,3.462920560951e-01
5.702341666667e+04,5.910251772374e+00,-2.956881437436e+00,3.504392515980e-01
5.702345833333e+04,6.469958453604e+00,-1.346296135453e+00,3.523575474790e-01
5.702350000000e+04,6.600599952776e+00,3.247121573012e-01,3.516728526247e-01
5.702354166667e+04,6.312885534378e+00,1.955237145133e+00,3.486480361319e-01
5.702358333333e+04,5.635699936358e+00,3.452178235922e+00,3.440685567243e-01
5.702362500000e+04,4.615159558804e+00,4.731001502314e+00,3.390553772554e-01
5.702366666667e+04,3.314405328096e+00,5.718360216986e+00,3.348212460899e-01
5.702370833333e+04,1.812216152249e+00,6.356289396869e+00,3.323992144138e-01
5.702375000000e+04,1.993864538745e-01,6.606571545736e+00,3.323988117305e-01
5.702379166667e+04,-1.426880842126e+00,6.453596971315e+00,3.348562544934e-01
5.702383333333e+04,-2.969200635613e+00,5.904727530296e+00,3.392224865750e-01
5.702387500000e+04,-4.335186863000e+00,4.988438140705e+00,3.444870043910e-01
5.702391666667e+04,-5.440611599428e+00,3.751626170483e+00,3.493966486340e-01
5.702395833333e+04,-6.210862029675e+00,2.257833783700e+00,3.527193934033e-01
5.702400000000e+04,-6.582314751148e+00,5.875275111690e-01,3.535186804185e-01
