# GPS_1DAY_SPMHE directions
# System: MAG
# Data Delimiter: Comma
# d1,d2,d3,d1,d2,d3
1.544243631286e-03,4.478306530730e-01,8.941170625147e-01,4.244009661638e-01,5.657049744834e-01,7.070089828029e-01
3.082088535983e-03,4.484438819855e-01,8.938056754351e-01,4.245376244672e-01,5.657244754120e-01,7.069113263568e-01
4.613561390431e-03,4.490533086686e-01,8.934930559468e-01,4.246740442349e-01,5.657439278945e-01,7.068138115541e-01
6.138688865357e-03,4.496589593874e-01,8.931792299095e-01,4.248102260776e-01,5.657633320895e-01,7.067164381015e-01
7.657497623161e-03,4.502608602419e-01,8.928642228606e-01,4.249461706040e-01,5.657826881551e-01,7.066192057062e-01
9.170014315257e-03,4.508590371668e-01,8.925480600183e-01,4.250818784209e-01,5.658019962487e-01,7.065221140765e-01
1.067626557948e-02,4.514535159323e-01,8.922307662851e-01,4.252173501329e-01,5.658212565270e-01,7.064251629211e-01
1.217627803755e-02,4.520443221440e-01,8.919123662505e-01,4.253525863427e-01,5.658404691462e-01,7.063283519497e-01
1.367007829259e-02,4.526314812437e-01,8.915928841947e-01,4.254875876509e-01,5.658596342618e-01,7.062316808726e-01
1.515769292673e-02,4.532150185092e-01,8.912723440918e-01,4.256223546561e-01,5.658787520286e-01,7.061351494010e-01
1.663914849870e-02,4.537949590556e-01,8.909507696124e-01,4.257568879551e-01,5.658978226009e-01,7.060387572467e-01
1.811447154158e-02,4.543713278346e-01,8.906281841277e-01,4.258911881424e-01,5.659168461323e-01,7.059425041222e-01
1.958368856049e-02,4.549441496360e-01,8.903046107116e-01,4.260252558107e-01,5.659358227759e-01,7.058463897410e-01
2.104682603045e-02,4.555134490875e-01,8.899800721446e-01,4.261590915509e-01,5.659547526840e-01,7.057504138170e-01
2.250391039418e-02,4.560792506553e-01,8.896545909164e-01,4.262926959517e-01,5.659736360084e-01,7.056545760651e-01
2.395496806005e-02,4.566415786447e-01,8.893281892294e-01,4.264260695998e-01,5.659924729003e-01,7.055588762008e-01
2.540002540004e-02,4.572004572007e-01,8.890008890013e-01,4.265592130803e-01,5.660112635103e-01,7.054633139404e-01
2.683910874771e-02,4.577559103081e-01,8.886727118685e-01,4.266921269759e-01,5.660300079884e-01,7.053678890008e-01
