# GPS_1DAY_SPMHE test orbit
# System: MAG
# Data Delimiter: Comma
# Time format: MJD
# MJD,X,Y,Z
5.702300000000e+04,3.644831210254e+00,-1.925840751923e+00,6.222590479597e-01
5.702300347222e+04,3.623462248513e+00,-1.912659003008e+00,7.701430695608e-01
5.702300694444e+04,3.597529238936e+00,-1.896796013893e+00,9.169578684178e-01
5.702301041667e+04,3.567200938359e+00,-1.878072494179e+00,1.062442773873e+00
5.702301388889e+04,3.532659888138e+00,-1.856318928515e+00,1.206340592932e+00
5.702301736111e+04,3.494101695237e+00,-1.831376429921e+00,1.348398009138e+00
5.702302083333e+04,3.451734248964e+00,-1.803097542356e+00,1.488366017839e+00
5.702302430556e+04,3.405776893034e+00,-1.771346999260e+00,1.626000319454e+00
5.702302777778e+04,3.356459541041e+00,-1.736002424602e+00,1.761061727172e+00
5.702303125000e+04,3.304021763294e+00,-1.696954990139e+00,1.893316514717e+00
5.702303472222e+04,3.248711817962e+00,-1.654110004759e+00,2.022536796147e+00
5.702303819444e+04,3.190785653300e+00,-1.607387448972e+00,2.148500867897e+00
5.702304166667e+04,3.130505878148e+00,-1.556722447778e+00,2.270993536592e+00
5.702304513889e+04,3.068140694122e+00,-1.502065670393e+00,2.389806452137e+00
5.702304861111e+04,3.003962824446e+00,-1.443383680828e+00,2.504738384551e+00
5.702305208333e+04,2.938248403412e+00,-1.380659203815e+00,2.615595526557e+00
5.702305555556e+04,2.871275863483e+00,-1.313891332313e+00,2.722191756366e+00
5.702305902778e+04,2.803324799137e+00,-1.243095652003e+00,2.824348906614e+00
5.702306250000e+04,2.734674847910e+00,-1.168304317715e+00,2.921896981961e+00
5.702306597222e+04,2.665604548423e+00,-1.089566036654e+00,3.014674396842e+00
5.702306944444e+04,2.596390213702e+00,-1.006945991655e+00,3.102528179382e+00
5.702307291667e+04,2.527304813438e+00,-9.205256945354e-01,3.185314160558e+00
5.702307638889e+04,2.458616858170e+00,-8.304027546613e-01,3.262897161351e+00
5.702307986111e+04,2.390589324784e+00,-7.366906073957e-01,3.335151136752e+00
5.702308333333e+04,2.323478581514e+00,-6.395181456481e-01,3.401959332269e+00
5.702308680556e+04,2.257533353862e+00,-5.390293025774e-01,3.463214409034e+00
5.702309027778e+04,2.192993708718e+00,-4.353825496396e-01,3.518818566617e+00
5.702309375000e+04,2.130090096260e+00,-3.287503656776e-01,3.568683630508e+00
5.702309722222e+04,2.069042409486e+00,-2.193186119592e-01,3.612731145542e+00
5.702310069444e+04,2.010059098564e+00,-1.072858660111e-01,3.650892444186e+00
5.702310416667e+04,1.953336332236e+00,7.137299055058e-03,3.683108701614e+00
5.702310763889e+04,1.899057200794e+00,1.237291065290e-01,3.709330981739e+00
5.702311111111e+04,1.847390992280e+00,2.422573783622e-01,3.729520258699e+00
5.702311458333e+04,1.798492506954e+00,3.624804209687e-01,3.743647435673e+00
5.702311805556e+04,1.752501443113e+00,4.841479294080e-01,3.751693344360e+00
5.702312152778e+04,1.709541836237e+00,6.070019535173e-01,3.753648733480e+00
5.702312500000e+04,1.669721578644e+00,7.307778568493e-01,3.749514241809e+00
5.702312847222e+04,1.633131990859e+00,8.552053458596e-01,3.739300361381e+00
5.702313194444e+04,1.599847469875e+00,9.800095039461e-01,3.723027386561e+00
5.702313541667e+04,1.569925207307e+00,1.104911846132e+00,3.700725352079e+00
5.702313888889e+04,1.543404974427e+00,1.229631410964e+00,3.672433955003e+00
5.702314236111e+04,1.520308989771e+00,1.353885822230e+00,3.638202472618e+00
5.702314583333e+04,1.500641849826e+00,1.477392399644e+00,3.598089661446e+00
5.702314930556e+04,1.484390538926e+00,1.599869246948e+00,3.552163650002e+00
5.702315277778e+04,1.471524509056e+00,1.721036362442e+00,3.500501811766e+00
5.702315625000e+04,1.461995838165e+00,1.840616701589e+00,3.443190642819e+00
5.702315972222e+04,1.455739455489e+00,1.958337269232e+00,3.380325613524e+00
5.702316319444e+04,1.452673441380e+00,2.073930175133e+00,3.312011017065e+00
5.702316666667e+04,1.452699396874e+00,2.187133669299e+00,3.238359808718e+00
5.702317013889e+04,1.455702882263e+00,2.297693171142e+00,3.159493422312e+00
5.702317361111e+04,1.461553922590e+00,2.405362231440e+00,3.075541601523e+00
5.702317708333e+04,1.470107577974e+00,2.509903498841e+00,2.986642196760e+00
5.702318055556e+04,1.481204576235e+00,2.611089626370e+00,2.892940967628e+00
5.702318402778e+04,1.494672007369e+00,2.708704157140e+00,2.794591357472e+00
5.702318750000e+04,1.510324071232e+00,2.802542331090e+00,2.691754290065e+00
5.702319097222e+04,1.527962882784e+00,2.892411877139e+00,2.584597925712e+00
5.702319444444e+04,1.547379326137e+00,2.978133736242e+00,2.473297423658e+00
5.702319791667e+04,1.568353955189e+00,3.059542730210e+00,2.358034696318e+00
5.702320138889e+04,1.590657941076e+00,3.136488186084e+00,2.238998135065e+00
5.702320486111e+04,1.614054051811e+00,3.208834472883e+00,2.116382366031e+00
5.702320833333e+04,1.638297674086e+00,3.276461502998e+00,1.990387958723e+00
5.702321180556e+04,1.663137861725e+00,3.339265152816e+00,1.861221149638e+00
5.702321527778e+04,1.688318415531e+00,3.397157629773e+00,1.729093531891e+00
5.702321875000e+04,1.713578976836e+00,3.450067750347e+00,1.594221780036e+00
5.702322222222e+04,1.738656146835e+00,3.497941169901e+00,1.456827323591e+00
5.702322569444e+04,1.763284614600e+00,3.540740531475e+00,1.317136034152e+00
5.702322916667e+04,1.787198293231e+00,3.578445544682e+00,1.175377905269e+00
5.702323263889e+04,1.810131463347e+00,3.611052999476e+00,1.031786700899e+00
5.702323611111e+04,1.831819907191e+00,3.638576696247e+00,8.865996441023e-01
5.702323958333e+04,1.852002044677e+00,3.661047317828e+00,7.400570511221e-01
5.702324305556e+04,1.870420053947e+00,3.678512224142e+00,5.924019871739e-01
5.702324652778e+04,1.886820980251e+00,3.691035181494e+00,4.438798860422e-01
5.702325000000e+04,1.900957818580e+00,3.698696018012e+00,2.947382128275e-01
5.702325347222e+04,1.912590577952e+00,3.701590218431e+00,1.452260710866e-01
5.702325694444e+04,1.921487313481e+00,3.699828450829e+00,-4.406171127795e-03
5.702326041667e+04,1.927425125647e+00,3.693536031492e+00,-1.539072606294e-01
5.702326388889e+04,1.930191122977e+00,3.682852328008e+00,-3.030254686361e-01
5.702326736111e+04,1.929583341398e+00,3.667930106751e+00,-4.515089549140e-01
5.702327083333e+04,1.925411620481e+00,3.648934823329e+00,-5.991061864056e-01
5.702327430556e+04,1.917498430033e+00,3.626043862735e+00,-7.455663297911e-01
5.702327777778e+04,1.905679643195e+00,3.599445726642e+00,-8.906396770000e-01
5.702328125000e+04,1.889805256898e+00,3.569339183354e+00,-1.034078024596e+00
5.702328472222e+04,1.869740051464e+00,3.535932368720e+00,-1.175635104768e+00
5.702328819444e+04,1.845364190282e+00,3.499441853120e+00,-1.315066993591e+00
5.702329166667e+04,1.816573756851e+00,3.460091675543e+00,-1.452132520995e+00
5.702329513889e+04,1.783281221117e+00,3.418112341572e+00,-1.586593704317e+00
5.702329861111e+04,1.745415848077e+00,3.373739809595e+00,-1.718216136058e+00
5.702330208333e+04,1.702924027741e+00,3.327214443252e+00,-1.846769417154e+00
5.702330555556e+04,1.655769540906e+00,3.278779955848e+00,-1.972027561753e+00
5.702330902778e+04,1.603933744439e+00,3.228682333695e+00,-2.093769425536e+00
5.702331250000e+04,1.547415700347e+00,3.177168768811e+00,-2.211779089464e+00
5.702331597222e+04,1.486232216624e+00,3.124486573095e+00,-2.325846282237e+00
5.702331944444e+04,1.420417823080e+00,3.070882102886e+00,-2.435766777388e+00
5.702332291667e+04,1.350024675641e+00,3.016599690724e+00,-2.541342786179e+00
5.702332638889e+04,1.275122376648e+00,2.961880579576e+00,-2.642383362171e+00
5.702332986111e+04,1.195797747771e+00,2.906961891453e+00,-2.738704763906e+00
5.702333333333e+04,1.112154509438e+00,2.852075598461e+00,-2.830130845664e+00
5.702333680556e+04,1.024312906219e+00,2.797447529799e+00,-2.916493419151e+00
5.702334027778e+04,9.324092480579e-01,2.743296397138e+00,-2.997632623815e+00
5.702334375000e+04,8.365954161437e-01,2.689832871803e+00,-3.073397258285e+00
5.702334722222e+04,7.370382767461e-01,2.637258681130e+00,-3.143645129971e+00
5.702335069444e+04,6.339190493635e-01,2.585765755362e+00,-3.208243378085e+00
5.702335416667e+04,5.274326181707e-01,2.535535419412e+00,-3.267068785008e+00
5.702335763889e+04,4.177867709928e-01,2.486737624781e+00,-3.320008083613e+00
5.702336111111e+04,3.052014228753e-01,2.439530250082e+00,-3.366958230538e+00
5.702336458333e+04,1.899077562462e-01,2.394058439484e+00,-3.407826684007e+00
5.702336805556e+04,7.214733858976e-02,2.350454008723e+00,-3.442531654203e+00
5.702337152778e+04,-4.782882361915e-02,2.308834902391e+00,-3.471002344124e+00
5.702337500000e+04,-1.697612277816e-01,2.269304728272e+00,-3.493179161102e+00
5.702337847222e+04,-2.933828897227e-01,2.231952341518e+00,-3.509013921458e+00
5.702338194444e+04,-4.184203666188e-01,2.196851502486e+00,-3.518470029516e+00
5.702338541667e+04,-5.445948032277e-01,2.164060601889e+00,-3.521522637642e+00
5.702338888889e+04,-6.716230185146e-01,2.133622449448e+00,-3.518158785500e+00
5.702339236111e+04,-7.992185645748e-01,2.105564143236e+00,-3.508377516821e+00
5.702339583333e+04,-9.270928379204e-01,2.079896998286e+00,-3.492189975098e+00
