# GPS_1DAY_SPMH test orbit
# System: GDZ
# Units: km
# Data Delimiter: Comma
# Time format: YrMoDaGmt
# Year,Month,Day,Gmt,X,Y,Z
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,2.018362692560e+04,0.000000000000e+00,-1.001375386630e+02
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.000000022352e+02,2.018365437510e+04,2.056574480457e+00,-9.995247794289e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,6.000000044703e+02,2.018373651359e+04,4.111833559074e+00,-9.976371613425e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,8.999999966472e+02,2.018387271258e+04,6.164449397470e+00,-9.956752342522e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.199999998882e+03,2.018406192999e+04,8.213069427257e+00,-9.936011229698e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.500000001118e+03,2.018430271807e+04,1.025630296363e+01,-9.913760816157e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000003353e+03,2.018459323446e+04,1.229270789299e+01,-9.889601929335e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.099999995530e+03,2.018493125630e+04,1.432077611587e+01,-9.863120599800e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.399999997765e+03,2.018531419728e+04,1.633891833733e+01,-9.833884881489e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.700000000000e+03,2.018573912731e+04,1.834544687589e+01,-9.801441586043e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.000000002235e+03,2.018620279503e+04,2.033855759860e+01,-9.765312921153e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.300000004470e+03,2.018670165265e+04,2.231630969806e+01,-9.724993069209e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.599999996647e+03,2.018723188305e+04,2.427660338525e+01,-9.679944747595e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,3.899999998882e+03,2.018778942909e+04,2.621715555523e+01,-9.629595816897e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.200000001118e+03,2.018837002451e+04,2.813547218983e+01,-9.573336075550e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.500000003353e+03,2.018896922664e+04,3.002881859823e+01,-9.510514380942e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,4.799999995530e+03,2.018958245037e+04,3.189418630393e+01,-9.440436364124e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,5.099999997765e+03,2.019020500331e+04,3.372825732565e+01,-9.362363051407e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,5.400000000000e+03,2.019083212154e+04,3.552736501952e+01,-9.275510886596e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,5.700000002235e+03,2.019145900620e+04,3.728745319007e+01,-9.179053712102e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,6.000000004470e+03,2.019208086013e+04,3.900403340144e+01,-9.072127526363e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,6.299999996647e+03,2.019269292462e+04,4.067214226687e+01,-8.953838992639e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,6.599999998882e+03,2.019329051585e+04,4.228630122966e+01,-8.823278872094e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,6.900000001118e+03,2.019386906065e+04,4.384048127130e+01,-8.679541826294e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,7.200000003353e+03,2.019442413158e+04,4.532807820897e+01,-8.521754009634e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,7.499999995530e+03,2.019495148078e+04,4.674190371745e+01,-8.349109972375e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,7.799999997765e+03,2.019544707254e+04,4.807420028787e+01,-8.160919951397e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,8.100000000000e+03,2.019590711410e+04,4.931668836651e+01,-7.956668030903e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,8.400000002235e+03,2.019632808475e+04,5.046065646664e+01,-7.736080124868e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,8.700000004470e+03,2.019670676276e+04,5.149710304720e+01,-7.499198932238e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,8.999999996647e+03,2.019704025004e+04,5.241693770159e+01,-7.246460267005e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,9.299999998882e+03,2.019732599435e+04,5.321124424246e+01,-6.978762172997e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,9.600000001118e+03,2.019756180883e+04,5.387159991192e+01,-6.697515766600e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,9.900000003353e+03,2.019774588871e+04,5.439043569333e+01,-6.404665147345e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.019999999553e+04,2.019787682517e+04,5.476141024849e+01,-6.102665183419e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.049999999776e+04,2.019795361610e+04,5.497976106551e+01,-5.794410146290e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.080000000000e+04,2.019797567381e+04,5.504259125487e+01,-5.483113966554e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.110000000224e+04,2.019794282946e+04,5.494905398315e+01,-5.172151712665e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.140000000447e+04,2.019785533444e+04,5.470040778283e+01,-4.864880573052e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.169999999665e+04,2.019771385838e+04,5.429993458029e+01,-4.564463151939e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.199999999888e+04,2.019751948404e+04,5.375273252817e+01,-4.273715346735e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.230000000112e+04,2.019727369901e+04,5.306541334408e+01,-3.994995655324e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.260000000335e+04,2.019697838438e+04,5.224574344593e+01,-3.730143687290e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.289999999553e+04,2.019663580026e+04,5.130227008756e+01,-3.480466974634e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.319999999776e+04,2.019624856850e+04,5.024396728445e+01,-3.246767921688e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.350000000000e+04,2.019581965265e+04,4.907992681972e+01,-3.029399229616e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.380000000224e+04,2.019535233523e+04,4.781910716170e+01,-2.828335233579e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.410000000447e+04,2.019485019263e+04,4.647014431928e+01,-2.643248543607e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.439999999665e+04,2.019431706774e+04,4.504122086630e+01,-2.473583983876e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.469999999888e+04,2.019375704047e+04,4.353998496594e+01,-2.318624792201e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.500000000112e+04,2.019317439659e+04,4.197351041732e+01,-2.177548677349e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.530000000335e+04,2.019257359490e+04,4.034828701521e+01,-2.049472999882e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.559999999553e+04,2.019195923314e+04,3.867023323538e+01,-1.933489744752e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.589999999776e+04,2.019133601267e+04,3.694472333391e+01,-1.828691455438e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.620000000000e+04,2.019070870268e+04,3.517662403482e+01,-1.734189675228e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.650000000224e+04,2.019008210355e+04,3.337033540534e+01,-1.649127304501e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.680000000447e+04,2.018946101018e+04,3.152983371025e+01,-1.572686284526e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.709999999665e+04,2.018885017528e+04,2.965871390258e+01,-1.504091740137e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.739999999888e+04,2.018825427297e+04,2.776023010207e+01,-1.442613515543e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.770000000112e+04,2.018767786310e+04,2.583733422628e+01,-1.387565882891e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.800000000335e+04,2.018712535629e+04,2.389271112857e+01,-1.338305951230e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.829999999553e+04,2.018660098023e+04,2.192881112283e+01,-1.294231243097e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.859999999776e+04,2.018610874727e+04,1.994787917393e+01,-1.254776732046e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.890000000000e+04,2.018565242383e+04,1.795198196496e+01,-1.219411591956e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.920000000224e+04,2.018523550150e+04,1.594303174743e+01,-1.187635786755e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.950000000447e+04,2.018486117036e+04,1.392280821696e+01,-1.158976629612e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,1.979999999665e+04,2.018453229461e+04,1.189297835781e+01,-1.132985371384e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.009999999888e+04,2.018425139059e+04,9.855114181542e+00,-1.109233854915e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.040000000112e+04,2.018402060761e+04,7.810709642943e+00,-1.087311267712e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.070000000335e+04,2.018384171146e+04,5.761195622239e+00,-1.066820980781e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.099999999553e+04,2.018371607093e+04,3.707954300838e+00,-1.047377482382e+01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,2.129999999776e+04,2.018364464732e+04,1.652332335952e+00,-1.028603385214e+01
