# GPS_1DAY_SPMO test orbit
# System: GSE
# Units: Re
# Data Delimiter: Comma
# Time format: YrMoDaHrMnSc
# Year,Month,Day,Hour,Minute,Second,X,Y,Z
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.405435649577e-01,4.102737806421e+00,4.418526190401e-17
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00,7.099762110820e-01,4.108094309083e+00,1.908707916110e-02
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,2.000000000000e+00,0.000000000000e+00,6.793546167241e-01,4.113137006530e+00,3.817269999642e-02
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,3.000000000000e+00,0.000000000000e+00,6.486811291273e-01,4.117865512257e+00,5.725539469367e-02
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,4.000000000000e+00,0.000000000000e+00,6.179580841043e-01,4.122279466322e+00,7.633370526316e-02
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,5.000000000000e+00,0.000000000000e+00,5.871878212198e-01,4.126378532598e+00,9.540617404795e-02
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,6.000000000000e+00,0.000000000000e+00,5.563726991251e-01,4.130162396978e+00,1.144713342472e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,7.000000000000e+00,0.000000000000e+00,5.255150644283e-01,4.133630771519e+00,1.335277292121e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,8.000000000000e+00,0.000000000000e+00,4.946172669569e-01,4.136783392167e+00,1.525739029591e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,9.000000000000e+00,0.000000000000e+00,4.636816751498e-01,4.139620017428e+00,1.716083907094e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,1.000000000000e+01,0.000000000000e+00,4.327106396044e-01,4.142140431952e+00,1.906297413465e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,1.100000000000e+01,0.000000000000e+00,4.017065343809e-01,4.144344442751e+00,2.096364920008e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,1.200000000000e+01,0.000000000000e+00,3.706717204953e-01,4.146231882296e+00,2.286271904879e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,1.300000000000e+01,0.000000000000e+00,3.396085612901e-01,4.147802607032e+00,2.476003858420e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,1.400000000000e+01,0.000000000000e+00,3.085194378995e-01,4.149056496828e+00,2.665546188970e-01
2.015000000000e+03,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,1.500000000000e+01,0.000000000000e+00,2.774067178233e-01,4.149993456576e+00,2.854884414821e-01
