# GPS_1DAY_AE9 test orbit
# System: GEI
# Units: RE
# MJD, X, Y, Z
5.702300000000e+04,4.169036276620e+00,0.000000000000e+00,0.000000000000e+00
5.702300347222e+04,4.165046523493e+00,1.045907359054e-01,1.493710510070e-01
5.702300694444e+04,4.153084900470e+00,2.089812858742e-01,2.984562068677e-01
5.702301041667e+04,4.133174302815e+00,3.129718436470e-01,4.469701146708e-01
5.702301388889e+04,4.105352837938e+00,4.163633789958e-01,5.946285297932e-01
5.702301736111e+04,4.069673756461e+00,5.189579977512e-01,7.411488300713e-01
5.702302083333e+04,4.026205347898e+00,6.205593345312e-01,8.862505766759e-01
5.702302430556e+04,3.975030812322e+00,7.209729217434e-01,1.029656041103e+00
5.702302777778e+04,3.916248094005e+00,8.200065752171e-01,1.171090755912e+00
5.702303125000e+04,3.849969704245e+00,9.174707418449e-01,1.310284011210e+00
5.702303472222e+04,3.776322499416e+00,1.013178875894e+00,1.446969392081e+00
5.702303819444e+04,3.695447439754e+00,1.106947792666e+00,1.580885283663e+00
5.702304166667e+04,3.607499322621e+00,1.198598016075e+00,1.711775367542e+00
5.702304513889e+04,3.512646474203e+00,1.287954134379e+00,1.839389129788e+00
5.702304861111e+04,3.411070445017e+00,1.374845117484e+00,1.963482314114e+00
5.702305208333e+04,3.302965650873e+00,1.459104656657e+00,2.083817407032e+00
5.702305555556e+04,3.188539007531e+00,1.540571477046e+00,2.200164084187e+00
5.702305902778e+04,3.068009519112e+00,1.619089657189e+00,2.312299666652e+00
5.702306250000e+04,2.941607881947e+00,1.694508911061e+00,2.420009523738e+00
5.702306597222e+04,2.809576027883e+00,1.766684886736e+00,2.523087499533e+00
5.702306944444e+04,2.672166664966e+00,1.835479439903e+00,2.621336303513e+00
5.702307291667e+04,2.529642798616e+00,1.900760896139e+00,2.714567885115e+00
5.702307638889e+04,2.382277208959e+00,1.962404311572e+00,2.802603805994e+00
5.702307986111e+04,2.230351957398e+00,2.020291698888e+00,2.885275562804e+00
5.702308333333e+04,2.074157827800e+00,2.074312262031e+00,2.962424922380e+00
5.702308680556e+04,1.913993780070e+00,2.124362604412e+00,3.033904219089e+00
5.702309027778e+04,1.750166356335e+00,2.170346933382e+00,3.099576646848e+00
5.702309375000e+04,1.582989126444e+00,2.212177233511e+00,3.159316506599e+00
5.702309722222e+04,1.412782066443e+00,2.249773441898e+00,3.213009456669e+00
5.702310069444e+04,1.239870951456e+00,2.283063599664e+00,3.260552729125e+00
5.702310416667e+04,1.064586738058e+00,2.311983988782e+00,3.301855325199e+00
5.702310763889e+04,8.872649072548e-01,2.336479257771e+00,3.336838194779e+00
5.702311111111e+04,7.082448576294e-01,2.356502521812e+00,3.365434379409e+00
5.702311458333e+04,5.278692323034e-01,2.372015456520e+00,3.387589146191e+00
5.702311805556e+04,3.464832750557e-01,2.382988369955e+00,3.403260090640e+00
5.702312152778e+04,1.644341451782e-01,2.389400260771e+00,3.412417219729e+00
5.702312500000e+04,-1.792971050242e-02,2.391238856211e+00,3.415043006143e+00
5.702312847222e+04,-2.002592488426e-01,2.388500637217e+00,3.411132424144e+00
5.702313194444e+04,-3.822054923820e-01,2.381190844720e+00,3.400692958559e+00
5.702313541667e+04,-5.634201912246e-01,2.369323470085e+00,3.383744591130e+00
5.702313888889e+04,-7.435565138543e-01,2.352921226590e+00,3.360319759776e+00
5.702314236111e+04,-9.222696745205e-01,2.332015508335e+00,3.330463299921e+00
