# GTO_1DAY_AP9 test orbit
# System: GSM
# Data Delimiter: Space
# Year Doy x1 x2 x3
2.015000000000e+03 1.000000000000e+00 -6.088313229843e+00 5.538953232322e-01 -2.531440441132e+00
2.015000000000e+03 1.010416666628e+00 -6.078222692473e+00 3.191229159425e-01 -2.569209718092e+00
2.015000000000e+03 1.020833333372e+00 -6.041891439948e+00 8.072044798841e-02 -2.594580295157e+00
2.015000000000e+03 1.031250000000e+00 -5.979107561012e+00 -1.602503317200e-01 -2.606711776650e+00
2.015000000000e+03 1.041666666628e+00 -5.889520371745e+00 -4.026133725058e-01 -2.604713238582e+00
2.015000000000e+03 1.052083333372e+00 -5.772630935207e+00 -6.450450615628e-01 -2.587649869883e+00
2.015000000000e+03 1.062500000000e+00 -5.627778097420e+00 -8.860363087153e-01 -2.554549212134e+00
2.015000000000e+03 1.072916666628e+00 -5.454119115154e+00 -1.123847401498e+00 -2.504406698852e+00
2.015000000000e+03 1.083333333372e+00 -5.250603583707e+00 -1.356451793033e+00 -2.436190047624e+00
2.015000000000e+03 1.093750000000e+00 -5.015938796493e+00 -1.581463087454e+00 -2.348841876317e+00
2.015000000000e+03 1.104166666628e+00 -4.748543904105e+00 -1.796036181404e+00 -2.241279703208e+00
2.015000000000e+03 1.114583333372e+00 -4.446489327855e+00 -1.996727781325e+00 -2.112392337608e+00
2.015000000000e+03 1.125000000000e+00 -4.107416626227e+00 -2.179291524669e+00 -1.961031606713e+00
2.015000000000e+03 1.135416666628e+00 -3.728432857768e+00 -2.338364276671e+00 -1.785998769988e+00
2.015000000000e+03 1.145833333372e+00 -3.305973847859e+00 -2.466963750870e+00 -1.586026907151e+00
2.015000000000e+03 1.156250000000e+00 -2.835637311363e+00 -2.555642336898e+00 -1.359767014366e+00
2.015000000000e+03 1.159722222248e+00 -2.667315761651e+00 -2.574169068286e+00 -1.278261448197e+00
2.015000000000e+03 1.163194444496e+00 -2.492855950432e+00 -2.586189642497e+00 -1.193625106230e+00
2.015000000000e+03 1.166666666628e+00 -2.312018299600e+00 -2.590974477622e+00 -1.105807006962e+00
2.015000000000e+03 1.170138888876e+00 -2.124552525792e+00 -2.587674799585e+00 -1.014759797004e+00
2.015000000000e+03 1.173611111124e+00 -1.930201723954e+00 -2.575294074372e+00 -9.204429287093e-01
2.015000000000e+03 1.177083333372e+00 -1.728709784888e+00 -2.552650605499e+00 -8.228276815551e-01
2.015000000000e+03 1.180555555504e+00 -1.519834527060e+00 -2.518328004043e+00 -7.219052127628e-01
2.015000000000e+03 1.184027777752e+00 -1.303370379616e+00 -2.470608866081e+00 -6.176995098236e-01
2.015000000000e+03 1.187500000000e+00 -1.079187577994e+00 -2.407385113515e+00 -5.102885770741e-01
2.015000000000e+03 1.190972222248e+00 -8.472999741764e-01 -2.326035939726e+00 -3.998395434366e-01
2.015000000000e+03 1.194444444496e+00 -6.079839261712e-01 -2.223261702110e+00 -2.866680757821e-01
2.015000000000e+03 1.197916666628e+00 -3.619898749857e-01 -2.094861285304e+00 -1.713410070960e-01
2.015000000000e+03 1.200694444473e+00 -1.614222122355e-01 -1.970118617286e+00 -7.817683182051e-02
2.015000000000e+03 1.201388888876e+00 -1.109249930647e-01 -1.935448676440e+00 -5.485718208910e-02
2.015000000000e+03 1.202083333279e+00 -6.034284028363e-02 -1.899268622471e+00 -3.155733639726e-02
2.015000000000e+03 1.202777777798e+00 -9.711350581147e-03 -1.861515421474e+00 -8.296234271253e-03
2.015000000000e+03 1.203472222202e+00 4.092902362444e-02 -1.822123270261e+00 1.490490678510e-02
2.015000000000e+03 1.204166666721e+00 9.153242406996e-02 -1.781023593278e+00 3.802234751727e-02
2.015000000000e+03 1.204861111124e+00 1.420468384885e-01 -1.738145196795e+00 6.102949495852e-02
2.015000000000e+03 1.205555555527e+00 1.924134042525e-01 -1.693414399486e+00 8.389659728055e-02
2.015000000000e+03 1.206250000047e+00 2.425655481918e-01 -1.646755327977e+00 1.065903673724e-01
2.015000000000e+03 1.206944444450e+00 2.924280468167e-01 -1.598090342042e+00 1.290735746391e-01
2.015000000000e+03 1.207638888853e+00 3.419160843068e-01 -1.547340543136e+00 1.513046405631e-01
2.015000000000e+03 1.208333333372e+00 3.909341640138e-01 -1.494426543484e+00 1.732371736598e-01
2.015000000000e+03 1.209027777775e+00 4.393749650583e-01 -1.439269475627e+00 1.948194865841e-01
2.015000000000e+03 1.209722222178e+00 4.871182409158e-01 -1.381792202653e+00 2.159941396095e-01
2.015000000000e+03 1.210416666698e+00 5.340296493011e-01 -1.321920940829e+00 2.366974621978e-01
2.015000000000e+03 1.211111111101e+00 5.799596445228e-01 -1.259587277854e+00 2.568591129611e-01
2.015000000000e+03 1.211805555504e+00 6.247425762600e-01 -1.194730539902e+00 2.764017427690e-01
2.015000000000e+03 1.212500000023e+00 6.681959539162e-01 -1.127300731601e+00 2.952407444206e-01
2.015000000000e+03 1.213194444426e+00 7.101200813849e-01 -1.057261993804e+00 3.132841808103e-01
2.015000000000e+03 1.213888888946e+00 7.502982893207e-01 -9.845964502736e-01 3.304329911996e-01
2.015000000000e+03 1.214583333349e+00 7.884977730636e-01 -9.093086810062e-01 3.465814803348e-01
2.015000000000e+03 1.215277777752e+00 8.244714497323e-01 -8.314303515746e-01 3.616182684272e-01
2.015000000000e+03 1.215972222271e+00 8.579608633267e-01 -7.510250923613e-01 3.754277126231e-01
2.015000000000e+03 1.216666666674e+00 8.887003875000e-01 -6.681932146402e-01 3.878919030941e-01
2.015000000000e+03 1.217361111077e+00 9.164228724377e-01 -5.830757276242e-01 3.988932871916e-01
2.015000000000e+03 1.218055555597e+00 9.408666219793e-01 -4.958574066519e-01 4.083178627119e-01
2.015000000000e+03 1.218750000000e+00 9.617835869185e-01 -4.067682596318e-01 4.160588757444e-01
2.015000000000e+03 1.219444444403e+00 9.789484249521e-01 -3.160827336341e-01 4.220208529933e-01
2.015000000000e+03 1.220138888923e+00 9.921677720057e-01 -2.241165238615e-01 4.261236722309e-01
2.015000000000e+03 1.220833333326e+00 1.001289025704e+00 -1.312206771407e-01 4.283063538716e-01
2.015000000000e+03 1.221527777729e+00 1.006207812619e+00 -3.777296866626e-02 4.285302047832e-01
2.015000000000e+03 1.222222222248e+00 1.006873306984e+00 5.583270055897e-02 4.267809598382e-01
2.015000000000e+03 1.222916666651e+00 1.003290828244e+00 1.491982378420e-01 4.230696813557e-01
2.015000000000e+03 1.223611111054e+00 9.955213976836e-01 2.419337716365e-01 4.174322924805e-01
2.015000000000e+03 1.224305555574e+00 9.836783134870e-01 3.336692093066e-01 4.099277998030e-01
2.015000000000e+03 1.224999999977e+00 9.679211748647e-01 4.240641509673e-01 4.006354139203e-01
2.015000000000e+03 1.225694444496e+00 9.484479985368e-01 5.128156361762e-01 3.896508644445e-01
2.015000000000e+03 1.226388888899e+00 9.254863046475e-01 5.996630033696e-01 3.770823163212e-01
2.015000000000e+03 1.227083333302e+00 8.992839057535e-01 6.843903129520e-01 3.630462024880e-01
