# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Diff.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.14896660e+10,7.95126867e+09,6.44542321e+09,9.67540958e+08,2.74900032e+08,1.21795382e+08,6.57351450e+07,2.92648087e+07,1.44474395e+07,7.55474808e+06,3.78315731e+06,1.87816269e+06,7.88702584e+05,2.53400988e+05,8.28086279e+04,2.06716513e+04,3.88813331e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,2.34286315e+10,1.62144721e+10,1.31537795e+10,1.96472644e+09,5.62217598e+08,2.49883952e+08,1.34247405e+08,5.95716180e+07,2.97007611e+07,1.53308065e+07,7.78089589e+06,3.85810093e+06,1.61137300e+06,5.12719579e+05,1.66743845e+05,4.16564507e+04,7.75515637e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.58759498e+10,2.48304129e+10,2.01582439e+10,2.99644905e+09,8.63386318e+08,3.84913935e+08,2.05875454e+08,9.10685927e+07,4.58379484e+07,2.33659010e+07,1.20139340e+07,5.94963319e+06,2.47190945e+06,7.79267908e+05,2.52266474e+05,6.30649949e+04,1.16371261e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,4.89576150e+10,3.38895381e+10,2.75335395e+10,4.07999875e+09,1.18216891e+09,5.28147592e+08,2.81282024e+08,1.24374153e+08,6.30136805e+07,3.18097157e+07,1.65254382e+07,8.17193593e+06,3.37883412e+06,1.05656516e+06,3.40406177e+05,8.51343726e+04,1.55746623e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,6.27003764e+10,4.34175852e+10,3.53023830e+10,5.23390226e+09,1.52068574e+09,6.79484632e+08,3.60456805e+08,1.60254978e+08,8.12175827e+07,4.08420386e+07,2.13181430e+07,1.05220661e+07,4.33333889e+06,1.34728416e+06,4.31826450e+05,1.07982959e+05,1.95757342e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,7.70644063e+10,5.33916261e+10,4.34473247e+10,6.46562561e+09,1.87896434e+09,8.38244573e+08,4.43056184e+08,1.99084078e+08,1.00368986e+08,5.05446069e+07,2.63746517e+07,1.29883499e+07,5.33214795e+06,1.65187951e+06,5.26556090e+05,1.31585102e+05,2.36362164e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,9.20205700e+10,6.37944015e+10,5.19567856e+10,7.77835949e+09,2.25723108e+09,1.00422247e+09,5.28867014e+08,2.41092659e+08,1.20454563e+08,6.09563338e+07,3.16945304e+07,1.55678376e+07,6.37349305e+06,1.96987257e+06,6.24254009e+05,1.55842383e+05,2.77300346e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.07557381e+11,7.46183804e+10,6.08250189e+10,9.17244150e+09,2.65539707e+09,1.17731011e+09,6.17805552e+08,2.86332170e+08,1.41463575e+08,7.20833964e+07,3.72756013e+07,1.82589416e+07,7.45663707e+06,2.30103754e+06,7.24831688e+05,1.80731580e+05,3.18549754e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.23677197e+11,8.58633616e+10,7.00504270e+10,1.06454359e+10,3.07303683e+09,1.35746521e+09,7.09894420e+08,3.34682647e+08,1.63384942e+08,8.39007570e+07,4.31134258e+07,2.10609531e+07,8.58162429e+06,2.64533471e+06,8.28409620e+05,2.06292256e+05,3.60286304e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,1.40360609e+11,9.75164269e+10,7.96229891e+10,1.21971308e+10,3.50988885e+09,1.54449707e+09,8.05004877e+08,3.86179743e+08,1.86198147e+08,9.64105146e+07,4.92033451e+07,2.39709944e+07,9.74717744e+06,3.00237787e+06,9.34840125e+05,2.32485836e+05,4.02449774e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,1.57590423e+11,1.09566633e+11,8.95345581e+10,1.38282378e+10,3.96587031e+09,1.73825445e+09,9.03014786e+08,4.40905431e+08,2.09889015e+08,1.09623848e+08,5.55427467e+07,2.69868363e+07,1.09522061e+07,3.37184651e+06,1.04397030e+06,2.59270689e+05,4.44959692e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.75348600e+11,1.22002337e+11,9.97763635e+10,1.55393438e+10,4.44086478e+09,1.93857323e+09,1.00379630e+09,4.98938514e+08,2.34441674e+08,1.23550936e+08,6.21285622e+07,3.01060627e+07,1.21955530e+07,3.75339841e+06,1.15564461e+06,2.86604865e+05,4.87738151e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.93614955e+11,1.34810284e+11,1.10338323e+11,1.73308000e+10,4.93468979e+09,2.14526372e+09,1.10720888e+09,5.60350403e+08,2.59836958e+08,1.38199979e+08,6.89568149e+07,3.33258559e+07,1.34759081e+07,4.14664272e+06,1.26969690e+06,3.14444097e+05,5.30706488e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
