# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.87695188e+08,1.29883148e+08,1.05200812e+08,1.58744688e+07,4.47679297e+06,1.97684680e+06,1.07211499e+06,4.78923889e+05,2.34001068e+05,1.24035332e+05,6.12456703e+04,3.04443855e+04,1.28575754e+04,4.17327785e+03,1.37070203e+03,3.41890752e+02,6.50008544e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.95293703e+08,1.35159156e+08,1.09646641e+08,1.63768984e+07,4.68654199e+06,2.08299951e+06,1.11905664e+06,4.96569794e+05,2.47580276e+05,1.27789619e+05,6.48595810e+04,3.21610413e+04,1.34325123e+04,4.27342224e+03,1.38958573e+03,3.47164333e+02,6.46035969e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,2.02671781e+08,1.40280938e+08,1.13965219e+08,1.68626152e+07,4.89070947e+06,2.18661914e+06,1.16468518e+06,5.13657104e+05,2.60863739e+05,1.31412308e+05,6.83983612e+04,3.38368950e+04,1.39898329e+04,4.37053013e+03,1.40825462e+03,3.52328926e+02,6.42971620e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,2.12238859e+08,1.46917109e+08,1.19516945e+08,1.75281406e+07,5.14824854e+06,2.31438062e+06,1.22291663e+06,5.36242126e+05,2.77042542e+05,1.36424194e+05,7.27029190e+04,3.58808517e+04,1.46947174e+04,4.51441479e+03,1.44249988e+03,3.61289263e+02,6.51018396e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,2.23816609e+08,1.55053703e+08,1.26326219e+08,1.85901797e+07,5.47783691e+06,2.46007422e+06,1.29063550e+06,5.73943115e+05,2.95481812e+05,1.45036270e+05,7.76805420e+04,3.81959000e+04,1.55361023e+04,4.72882605e+03,1.49548995e+03,3.74356598e+02,6.61493540e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,2.34275469e+08,1.62547891e+08,1.32635250e+08,1.98732734e+07,5.80605811e+06,2.58449414e+06,1.34852405e+06,6.22084473e+05,3.11314972e+05,1.56041183e+05,8.20762939e+04,4.01417770e+04,1.62807255e+04,4.96180820e+03,1.55185270e+03,3.87263000e+02,6.72197193e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,2.44525484e+08,1.69920109e+08,1.38862781e+08,2.11841680e+07,6.13656104e+06,2.70750342e+06,1.40478833e+06,6.72218750e+05,3.27065094e+05,1.67377731e+05,8.64739838e+04,4.20676765e+04,1.70129070e+04,5.19136906e+03,1.60580170e+03,3.99475038e+02,6.81296736e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,2.54013344e+08,1.76839094e+08,1.44785938e+08,2.25736309e+07,6.47233105e+06,2.82509351e+06,1.45557288e+06,7.28067383e+05,3.42454163e+05,1.79679855e+05,9.08553162e+04,4.39152527e+04,1.76985989e+04,5.40840054e+03,1.65079582e+03,4.09101039e+02,6.83309436e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,2.63880312e+08,1.83960172e+08,1.50821812e+08,2.38957656e+07,6.79986768e+06,2.94449390e+06,1.50904480e+06,7.79916199e+05,3.57846191e+05,1.91222198e+05,9.51803665e+04,4.57882080e+04,1.84061985e+04,5.63043070e+03,1.70179319e+03,4.20538813e+02,6.91670701e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.73446938e+08,1.90872562e+08,1.56691812e+08,2.52040508e+07,7.12145850e+06,3.06067651e+06,1.56058435e+06,8.31766479e+05,3.72866089e+05,2.02689850e+05,9.94137955e+04,4.76121788e+04,1.90933781e+04,5.84614229e+03,1.75080478e+03,4.31483775e+02,6.99547753e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
