# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Diff.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.82443717e+10,7.12421310e+09,1.86634093e+09,5.97591534e+08,2.20468539e+08,1.17836592e+08,3.48032253e+06,4.09773315e+04,2.51102047e+03,3.13069907e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.66130467e+10,1.45995532e+10,3.80063926e+09,1.24144666e+09,4.49542032e+08,2.40402737e+08,7.11189417e+06,8.29877498e+04,5.01312199e+03,6.15477552e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,5.55005308e+10,2.24024259e+10,5.80523258e+09,1.92435276e+09,6.92979175e+08,3.67645741e+08,1.08838028e+07,1.26156362e+05,7.51913221e+03,9.09418729e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,7.54595297e+10,3.04357143e+10,7.92087656e+09,2.63800686e+09,9.55864398e+08,4.99704425e+08,1.47815455e+07,1.70475873e+05,1.00313265e+04,1.19687908e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,9.67246524e+10,3.86187585e+10,1.01710582e+10,3.37791403e+09,1.23473388e+09,6.38926150e+08,1.87926221e+07,2.15629270e+05,1.25236686e+04,1.47634748e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.19318865e+11,4.69624706e+10,1.25426770e+10,4.14062197e+09,1.52535907e+09,7.87005616e+08,2.29501291e+07,2.61247775e+05,1.49762037e+04,1.74544450e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.43054572e+11,5.55117534e+10,1.50264032e+10,4.92218633e+09,1.82671607e+09,9.42852080e+08,2.72678001e+07,3.06790409e+05,1.73717121e+04,2.00074687e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.67732368e+11,6.43279991e+10,1.76106212e+10,5.72748924e+09,2.13858904e+09,1.10623895e+09,3.17363441e+07,3.52292477e+05,1.97153621e+04,2.24259418e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.93103494e+11,7.35042799e+10,2.02864912e+10,6.56789586e+09,2.46164990e+09,1.27754107e+09,3.63671592e+07,3.98386238e+05,2.20411151e+04,2.47601945e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,2.18824494e+11,8.31712662e+10,2.30320600e+10,7.45428460e+09,2.79556955e+09,1.45648811e+09,4.11440165e+07,4.45099613e+05,2.43569352e+04,2.70115520e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,2.44706733e+11,9.33872870e+10,2.58309125e+10,8.39163173e+09,3.14122576e+09,1.64275740e+09,4.60486944e+07,4.92366580e+05,2.66685478e+04,2.91750253e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,2.70709498e+11,1.04135729e+11,2.86789919e+10,9.37057571e+09,3.50374123e+09,1.83599014e+09,5.10623283e+07,5.40165610e+05,2.89729289e+04,3.12404784e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,2.96795563e+11,1.15397499e+11,3.15722688e+10,1.03799420e+10,3.88714783e+09,2.03689270e+09,5.61710882e+07,5.88521340e+05,3.12623782e+04,3.32025064e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,3.23147999e+11,1.27137896e+11,3.45156141e+10,1.14141140e+10,4.29025168e+09,2.24679571e+09,6.14138345e+07,6.37586659e+05,3.35377569e+04,3.50768050e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
