# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Diff.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.02947104e+08,1.15770136e+08,3.05236240e+07,9.56526700e+06,3.61393975e+06,1.92470825e+06,5.67106250e+04,6.75267944e+02,4.19983749e+01,5.31852674e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.05198656e+08,1.21703648e+08,3.16877440e+07,1.03544520e+07,3.73501200e+06,2.00317838e+06,5.93001328e+04,6.90643188e+02,4.17023125e+01,5.11713743e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.07090464e+08,1.27474336e+08,3.27888620e+07,1.11073840e+07,3.90077050e+06,2.08235950e+06,6.17522461e+04,7.09703979e+02,4.17010651e+01,4.96311665e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.22492384e+08,1.32621440e+08,3.40309200e+07,1.16561540e+07,4.21380150e+06,2.15907425e+06,6.39780508e+04,7.29249878e+02,4.18326149e+01,4.83492327e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.42807520e+08,1.35154816e+08,3.64905400e+07,1.21323140e+07,4.54903850e+06,2.24288150e+06,6.59466953e+04,7.48067017e+02,4.19071884e+01,4.74708748e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.66029952e+08,1.37613344e+08,3.85155200e+07,1.25312600e+07,4.74661150e+06,2.39784300e+06,6.77558672e+04,7.57046326e+02,4.11708870e+01,4.56852674e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,3.87110400e+08,1.40510368e+08,4.05384320e+07,1.28923360e+07,4.94089400e+06,2.53813875e+06,7.08276875e+04,7.63570374e+02,4.05802765e+01,4.40137291e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,4.04079904e+08,1.44465744e+08,4.22524480e+07,1.31598110e+07,5.10434000e+06,2.65674375e+06,7.30946875e+04,7.54517517e+02,3.92700081e+01,4.10870695e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.18513216e+08,1.49409088e+08,4.38881440e+07,1.36836170e+07,5.29142500e+06,2.78948475e+06,7.58567656e+04,7.62217957e+02,3.88516502e+01,3.95286918e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.27191040e+08,1.56466960e+08,4.53075280e+07,1.43299390e+07,5.47727100e+06,2.92058650e+06,7.85037500e+04,7.74240845e+02,3.86734581e+01,3.82797384e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
