# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,9.93301435e+08,7.66709368e+08,5.91807504e+08,2.18162873e+08,1.01162587e+08,5.83128170e+07,3.71577151e+07,1.81354640e+07,9.03885536e+06,4.42913998e+06,2.03552570e+06,8.61794735e+05,3.11216035e+05,9.43055156e+04,2.63790189e+04,5.90966540e+03,1.10808077e+03,2.05453238e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,2.02591323e+09,1.56385513e+09,1.20717971e+09,4.44800322e+08,2.06894691e+08,1.19259592e+08,7.58851143e+07,3.70369971e+07,1.85013782e+07,9.03781709e+06,4.17142346e+06,1.76061191e+06,6.32260844e+05,1.90304226e+05,5.30508207e+04,1.18628095e+04,2.20995031e+03,4.09693894e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.10293443e+09,2.39537187e+09,1.84915371e+09,6.81028787e+08,3.17722399e+08,1.83143108e+08,1.16373248e+08,5.67977096e+07,2.84345983e+07,1.38486243e+07,6.41838787e+06,2.70084670e+06,9.64717452e+05,2.88507527e+05,8.01677320e+04,1.78954774e+04,3.31390058e+03,6.13641921e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,4.23683574e+09,3.27120112e+09,2.52564726e+09,9.30155422e+08,4.34967785e+08,2.50705568e+08,1.59134571e+08,7.77160756e+07,3.89576756e+07,1.89277681e+07,8.79908235e+06,3.69191824e+06,1.31223703e+06,3.90134840e+05,1.08040322e+05,2.40715375e+04,4.43086930e+03,8.19127474e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,5.43345257e+09,4.19655255e+09,3.24122781e+09,1.19477919e+09,5.59266437e+08,3.22267443e+08,2.04478521e+08,1.00054491e+08,5.01272141e+07,2.43247593e+07,1.13159792e+07,4.73525273e+06,1.67634165e+06,4.96020895e+05,1.36847657e+05,3.04205346e+04,5.56523710e+03,1.02761947e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,6.69164764e+09,5.17101149e+09,3.99593612e+09,1.47552760e+09,6.90529457e+08,3.97746153e+08,2.52422064e+08,1.23897261e+08,6.19347319e+07,3.00499453e+07,1.39603367e+07,5.82738779e+06,2.05646207e+06,6.06247321e+05,1.66584143e+05,3.69365353e+04,6.71647238e+03,1.23921901e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,8.01043899e+09,6.19413083e+09,4.78967325e+09,1.77273368e+09,8.28775753e+08,4.77132340e+08,3.02984992e+08,1.49306584e+08,7.43845631e+07,3.61099149e+07,1.67296464e+07,6.96647173e+06,2.45175667e+06,7.20510572e+05,1.97124291e+05,4.35861706e+04,7.87694914e+03,1.45245177e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,9.38912667e+09,7.26543169e+09,5.62212108e+09,2.08636909e+09,9.73957829e+08,5.60394070e+08,3.56152971e+08,1.76289654e+08,8.74730392e+07,4.25040044e+07,1.96223412e+07,8.15171731e+06,2.86192346e+06,8.38716349e+05,2.28440454e+05,5.03636536e+04,9.04598021e+03,1.66717293e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.08270893e+10,8.38427089e+09,6.49265959e+09,2.41603808e+09,1.12594985e+09,6.47468646e+08,4.11874149e+08,2.04800000e+08,1.01187606e+08,4.92241788e+07,2.26373285e+07,9.38313434e+06,3.28708694e+06,9.60940121e+05,2.60586365e+05,5.72862073e+04,1.02286355e+04,1.88433998e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
