# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.62226084e+07,1.25211123e+07,9.66419336e+06,3.56437085e+06,1.64744958e+06,9.49633911e+05,6.06028564e+05,2.95782867e+05,1.47070892e+05,7.23009872e+04,3.30786247e+04,1.40503750e+04,5.10373545e+03,1.55748737e+03,4.37213361e+02,9.81397629e+01,1.85267963e+01,3.43579985e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.68874414e+07,1.30358682e+07,1.00627246e+07,3.70772534e+06,1.72463684e+06,9.94126770e+05,6.32562012e+05,3.08732635e+05,1.54224304e+05,7.53370209e+04,3.47722359e+04,1.46761179e+04,5.27013302e+03,1.58603001e+03,4.42087322e+02,9.88490954e+01,1.84092317e+01,3.41264182e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,1.75329492e+07,1.35356553e+07,1.04496807e+07,3.84685571e+06,1.79976636e+06,1.03743225e+06,6.58351196e+05,3.21318420e+05,1.61193100e+05,7.82855377e+04,3.64243507e+04,1.52844524e+04,5.43135977e+03,1.61392677e+03,4.46972668e+02,9.95890275e+01,1.83197502e+01,3.39537952e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,1.83677598e+07,1.41815713e+07,1.09494541e+07,4.02742700e+06,1.89449084e+06,1.09201843e+06,6.91253357e+05,3.37372040e+05,1.69914261e+05,8.20747147e+04,3.84744682e+04,1.60567093e+04,5.65052795e+03,1.65951681e+03,4.56924438e+02,1.01499915e+02,1.84785947e+01,3.40288854e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.94289473e+07,1.50127344e+07,1.16003291e+07,4.27679346e+06,2.01368835e+06,1.16006335e+06,7.34123962e+05,3.59906769e+05,1.80854950e+05,8.72300644e+04,4.08820076e+04,1.69790058e+04,5.93345690e+03,1.72806001e+03,4.72161800e+02,1.04368739e+02,1.87536925e+01,3.44662927e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,2.04582832e+07,1.58323154e+07,1.22523574e+07,4.54399951e+06,2.12960034e+06,1.22533264e+06,7.77341125e+05,3.84707123e+05,1.91463028e+05,9.26696548e+04,4.30145607e+04,1.77988129e+04,6.20336485e+03,1.80147541e+03,4.88082796e+02,1.07264511e+02,1.90585703e+01,3.50310444e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,2.14815488e+07,1.66496465e+07,1.29045840e+07,4.81427979e+06,2.24583325e+06,1.29062415e+06,8.20776855e+05,4.10051819e+05,2.02120865e+05,9.81698608e+04,4.51306801e+04,1.86056862e+04,6.46731472e+03,1.87273848e+03,5.03133297e+02,1.09935492e+02,1.93159357e+01,3.55021283e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,2.24781660e+07,1.74543340e+07,1.35533223e+07,5.09259033e+06,2.36237695e+06,1.35558228e+06,8.64654175e+05,4.36925659e+05,2.12873535e+05,1.03829140e+05,4.71796494e+04,1.93637810e+04,6.70917273e+03,1.93603683e+03,5.14871716e+02,1.11719035e+02,1.93666257e+01,3.55754630e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,2.34780859e+07,1.82556914e+07,1.41949365e+07,5.36192236e+06,2.47702515e+06,1.41980847e+06,9.07611633e+05,4.62509949e+05,2.23408966e+05,1.09307159e+05,4.92435036e+04,2.01444016e+04,6.96305227e+03,2.00415540e+03,5.29000282e+02,1.14197046e+02,1.96010731e+01,3.59982532e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.44540059e+07,1.90389512e+07,1.48230156e+07,5.62704492e+06,2.58937598e+06,1.48267761e+06,9.49761108e+05,4.87834991e+05,2.33743286e+05,1.14698669e+05,5.12560806e+04,2.09028358e+04,7.20906496e+03,2.06997061e+03,5.42530179e+02,1.16554759e+02,1.98207721e+01,3.63907684e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
