# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Intg.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.84452631e+09,9.29284325e+08,3.21061976e+08,1.25067398e+08,5.48249424e+07,2.67432256e+07,1.26127264e+06,2.75131752e+04,2.45768963e+03,4.21359662e+02,1.11846099e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.74657704e+09,1.90320098e+09,6.57115192e+08,2.57192545e+08,1.11801277e+08,5.45399274e+07,2.56936614e+06,5.53873018e+04,4.87683556e+03,8.27195054e+02,2.19159112e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,5.72091212e+09,2.92048165e+09,1.00838559e+09,3.96406943e+08,1.71498985e+08,8.33688688e+07,3.92195518e+06,8.37167627e+04,7.26992556e+03,1.21982379e+03,3.22333629e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,7.78813934e+09,3.97912474e+09,1.37813788e+09,5.42589208e+08,2.34439463e+08,1.13231867e+08,5.31490950e+06,1.12508601e+05,9.64166332e+03,1.60094214e+03,4.21487460e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,9.95396519e+09,5.07577310e+09,1.76792784e+09,6.95421887e+08,3.00707036e+08,1.44496029e+08,6.74248653e+06,1.41549379e+05,1.19744734e+04,1.96991232e+03,5.16936679e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.22172883e+10,6.20880072e+09,2.17614020e+09,8.54521284e+08,3.70258352e+08,1.77483597e+08,8.21160506e+06,1.70612034e+05,1.42534894e+04,2.32558480e+03,6.09084256e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.45708908e+10,7.37870512e+09,2.60094083e+09,1.01909425e+09,4.42761627e+08,2.12007192e+08,9.72246794e+06,1.99371622e+05,1.64584744e+04,2.66367015e+03,6.96901669e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.70107426e+10,8.58899031e+09,3.04182176e+09,1.18948995e+09,5.18127851e+08,2.48011852e+08,1.12724071e+07,2.27855022e+05,1.85934743e+04,2.98468182e+03,7.80545155e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.95359044e+10,9.84744816e+09,3.49979116e+09,1.36702504e+09,5.96548003e+08,2.85599283e+08,1.28687570e+07,2.56473784e+05,2.06934533e+04,3.29513982e+03,8.61658140e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,2.21417124e+10,1.11621277e+10,3.97417145e+09,1.55257908e+09,6.77902066e+08,3.24698138e+08,1.45071768e+07,2.85255936e+05,2.27634054e+04,3.59527286e+03,9.40319508e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
