# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpochSaa_Intg.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.02534820e+07,1.51124580e+07,5.22543550e+06,2.02617900e+06,8.96991562e+05,4.36949656e+05,2.06268145e+04,4.56194336e+02,4.13556366e+01,7.16558647e+00,1.90464532e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.12307320e+07,1.58636880e+07,5.47663100e+06,2.14273450e+06,9.30506625e+05,4.54491250e+05,2.14156094e+04,4.60911560e+02,4.05673561e+01,6.87973642e+00,1.82355821e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.21709540e+07,1.66001980e+07,5.72514200e+06,2.26143675e+06,9.68704375e+05,4.72065406e+05,2.21875039e+04,4.68225922e+02,4.00708351e+01,6.64810896e+00,1.75354195e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.36402200e+07,1.73091600e+07,5.98387200e+06,2.37904350e+06,1.02121938e+06,4.88899375e+05,2.28988008e+04,4.76089508e+02,3.96988373e+01,6.43951654e+00,1.68560886e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.52673480e+07,1.79789400e+07,6.34120350e+06,2.49369825e+06,1.07679638e+06,5.06533812e+05,2.35330059e+04,4.83638336e+02,3.93590813e+01,6.26442719e+00,1.61951852e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.69268520e+07,1.85760080e+07,6.65179600e+06,2.60072475e+06,1.13212288e+06,5.35605000e+05,2.40528984e+04,4.84387665e+02,3.84012604e+01,6.03457975e+00,1.56212234e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,3.85172440e+07,1.91915760e+07,6.95528150e+06,2.70258800e+06,1.18625412e+06,5.63980500e+05,2.49177148e+04,4.84367432e+02,3.75659332e+01,5.82116842e+00,1.50946331e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,3.99361800e+07,1.98052400e+07,7.20474050e+06,2.78317800e+06,1.23052188e+06,5.86806062e+05,2.54443848e+04,4.74285583e+02,3.59335709e+01,5.44834423e+00,1.41778398e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.13922040e+07,2.05375960e+07,7.49128900e+06,2.89667800e+06,1.28168538e+06,6.13349188e+05,2.62202480e+04,4.75160980e+02,3.52330856e+01,5.25204372e+00,1.37033200e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.27798640e+07,2.14110020e+07,7.77435900e+06,3.02115900e+06,1.33231988e+06,6.39565250e+05,2.69914219e+04,4.78797821e+02,3.47662201e+01,5.09655714e+00,1.33343434e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,4.40804080e+07,2.24116520e+07,8.03831800e+06,3.16397600e+06,1.37948238e+06,6.63730000e+05,2.76225742e+04,4.80607300e+02,3.42321892e+01,4.90787792e+00,1.28861141e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,4.53122560e+07,2.33798980e+07,8.29457550e+06,3.30343475e+06,1.42967612e+06,6.87073562e+05,2.82136328e+04,4.83416962e+02,3.38316917e+01,4.73714542e+00,1.25018799e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,4.64511520e+07,2.43004540e+07,8.52997500e+06,3.43404275e+06,1.49064150e+06,7.08130625e+05,2.86606406e+04,4.84446167e+02,3.32043381e+01,4.53924322e+00,1.21576905e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,4.75192800e+07,2.51816920e+07,8.75645800e+06,3.56017400e+06,1.55819125e+06,7.34489188e+05,2.91184707e+04,4.86801544e+02,3.26237831e+01,4.36065769e+00,1.18128312e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,4.88194000e+07,2.60246700e+07,8.99358300e+06,3.68204150e+06,1.62642162e+06,7.65002250e+05,2.99449512e+04,4.90329865e+02,3.20942726e+01,4.20029497e+00,1.14539337e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,5.06723480e+07,2.68170200e+07,9.36092400e+06,3.79452450e+06,1.69106538e+06,7.95626312e+05,3.07079824e+04,4.91099243e+02,3.13759537e+01,4.01931143e+00,1.09469438e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,5.24561800e+07,2.74904480e+07,9.74959300e+06,3.89711775e+06,1.74935312e+06,8.24294438e+05,3.13040977e+04,4.84741455e+02,3.04492531e+01,3.84587336e+00,1.05080903e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,5.40444840e+07,2.80389060e+07,1.01342730e+07,3.98926625e+06,1.80021688e+06,8.50347500e+05,3.16895449e+04,4.71925232e+02,2.93568954e+01,3.68102932e+00,1.02878165e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,5.55556920e+07,2.85393360e+07,1.05029960e+07,4.07456900e+06,1.84741462e+06,8.74906750e+05,3.20189688e+04,4.59654205e+02,2.82773781e+01,3.52121162e+00,1.00501871e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,5.69741920e+07,2.90059260e+07,1.08516260e+07,4.17346025e+06,1.89035400e+06,8.97650688e+05,3.22830488e+04,4.47604950e+02,2.72068310e+01,3.36433172e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,5.82743800e+07,2.95859200e+07,1.11742960e+07,4.27492500e+06,1.92720888e+06,9.17671000e+05,3.24137520e+04,4.34037476e+02,2.60723476e+01,3.18911839e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,5.95226880e+07,3.02248940e+07,1.14846870e+07,4.41767300e+06,1.96228375e+06,9.37071375e+05,3.25671113e+04,4.22659271e+02,2.51569920e+01,3.03613877e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,6.06794960e+07,3.10626860e+07,1.17738390e+07,4.56544850e+06,1.99323125e+06,9.54664500e+05,3.26628672e+04,4.11505005e+02,2.42129860e+01,2.88543963e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,6.14908160e+07,3.18049560e+07,1.19837770e+07,4.67859500e+06,2.01690788e+06,9.63375625e+05,3.22737988e+04,3.91855377e+02,2.26547203e+01,2.66067696e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,6.25245480e+07,3.26827760e+07,1.22427960e+07,4.81893400e+06,2.07321200e+06,9.88524625e+05,3.23571094e+04,3.84384338e+02,2.18242245e+01,2.52933264e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,6.34437920e+07,3.34959260e+07,1.24748130e+07,4.94962650e+06,2.13417875e+06,1.01726225e+06,3.23232344e+04,3.75174072e+02,2.08829079e+01,2.38415003e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,6.43230720e+07,3.42836160e+07,1.26963590e+07,5.07804550e+06,2.20062950e+06,1.04845956e+06,3.26846074e+04,3.66995148e+02,2.00421963e+01,2.25224781e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,6.50810600e+07,3.49982560e+07,1.28909890e+07,5.19535550e+06,2.26162050e+06,1.08075600e+06,3.30591641e+04,3.56804565e+02,1.91074524e+01,2.10356879e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,6.58075080e+07,3.56905040e+07,1.33009830e+07,5.31073800e+06,2.32223550e+06,1.11399588e+06,3.35360742e+04,3.47756500e+02,1.82757683e+01,1.96472418e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
