# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Diff.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.15346060e+10,7.97347101e+09,6.39461868e+09,1.01889627e+09,2.65078109e+08,1.13033878e+08,6.45095945e+07,2.98995328e+07,1.30827632e+07,7.97642439e+06,3.39394023e+06,1.70586624e+06,7.67438118e+05,2.78485820e+05,9.75787653e+04,2.41414533e+04,5.20678832e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,2.36373799e+10,1.63439582e+10,1.31270603e+10,2.08119617e+09,5.46029962e+08,2.33494793e+08,1.32674529e+08,6.12490738e+07,2.70762921e+07,1.63204089e+07,7.04234078e+06,3.53758923e+06,1.58001107e+06,5.67259374e+05,1.96809388e+05,4.86877374e+04,1.03688289e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.64480526e+10,2.52054420e+10,2.02687892e+10,3.19388250e+09,8.45738715e+08,3.63101053e+08,2.05119785e+08,9.42927092e+07,4.22153560e+07,2.50479488e+07,1.09937182e+07,5.51612699e+06,2.44543432e+06,8.66828212e+05,2.98412871e+05,7.38858734e+04,1.55278640e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,4.99743015e+10,3.45632800e+10,2.78247978e+10,4.35705924e+09,1.16450680e+09,5.02050672e+08,2.81901855e+08,1.29041318e+08,5.85283060e+07,3.41588282e+07,1.52558236e+07,7.64455075e+06,3.36415730e+06,1.17717397e+06,4.02402477e+05,9.97327745e+04,2.06821835e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,6.42205669e+10,4.44207665e+10,3.58001252e+10,5.56918613e+09,1.50284328e+09,6.50765203e+08,3.63095168e+08,1.65481131e+08,7.60803904e+07,4.36383441e+07,1.98468141e+07,9.93043709e+06,4.33709550e+06,1.49752981e+06,5.08387670e+05,1.26134163e+05,2.57991918e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,7.91867694e+10,5.47778656e+10,4.41954642e+10,6.82972759e+09,1.86087162e+09,8.09365768e+08,4.48713619e+08,2.03603770e+08,9.48916756e+07,5.34812394e+07,2.47725070e+07,1.23759135e+07,5.36428934e+06,1.82772344e+06,6.16320779e+05,1.53075046e+05,3.08817338e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,9.48720279e+10,6.56339574e+10,5.30094336e+10,8.13931498e+09,2.23844648e+09,9.77738237e+08,5.38735908e+08,2.43414086e+08,1.14945592e+08,6.36928444e+07,3.00286093e+07,1.49787486e+07,6.44524353e+06,2.16817311e+06,7.26471893e+05,1.80614808e+05,3.59590769e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.11276786e+11,7.69894407e+10,6.22433711e+10,9.49718927e+09,2.63575588e+09,1.15605804e+09,6.33185804e+08,2.84901682e+08,1.36270569e+08,7.42658275e+07,3.56232189e+07,1.77420649e+07,7.58015524e+06,2.51857925e+06,8.38716510e+05,2.08721362e+05,4.10261213e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.28331667e+11,8.88035580e+10,7.18660219e+10,1.09140284e+10,3.05261062e+09,1.34318502e+09,7.31499228e+08,3.28589896e+08,1.58732171e+08,8.53185305e+07,4.15267887e+07,2.06465444e+07,8.76338482e+06,2.87961741e+06,9.53102621e+05,2.37353643e+05,4.60792456e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
