# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.88635781e+08,1.30340383e+08,1.04334984e+08,1.66761777e+07,4.30855322e+06,1.83565894e+06,1.04967542e+06,4.88207611e+05,2.12322845e+05,1.29998657e+05,5.48256645e+04,2.75482140e+04,1.24776077e+04,4.55936766e+03,1.61810887e+03,4.00977254e+02,8.74648318e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.95851109e+08,1.35442000e+08,1.08818984e+08,1.72870332e+07,4.52738428e+06,1.93213721e+06,1.10064453e+06,5.08443542e+05,2.23769287e+05,1.35882172e+05,5.83056831e+04,2.93139973e+04,1.31036644e+04,4.72349358e+03,1.63451684e+03,4.03737903e+02,8.60947892e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,2.07574656e+08,1.43574219e+08,1.15595719e+08,1.81229609e+07,4.83767676e+06,2.08322632e+06,1.17151978e+06,5.36541077e+05,2.42681641e+05,1.42250626e+05,6.33076591e+04,3.17434311e+04,1.39820986e+04,4.90229082e+03,1.67317033e+03,4.14471507e+02,8.59732181e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,2.19447797e+08,1.51808594e+08,1.22461930e+08,1.89665859e+07,5.15261572e+06,2.23698267e+06,1.24332227e+06,5.64913513e+05,2.61953857e+05,1.48667389e+05,6.84049301e+04,3.42078323e+04,1.48653450e+04,5.08333778e+03,1.71361268e+03,4.25466418e+02,8.59946311e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,2.31427125e+08,1.60119312e+08,1.29405000e+08,1.98059688e+07,5.47298633e+06,2.39467090e+06,1.31607983e+06,5.93373352e+05,2.81811096e+05,1.55028564e+05,7.36652374e+04,3.67396202e+04,1.57587519e+04,5.26151991e+03,1.75270724e+03,4.36096877e+02,8.58160034e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,2.43448422e+08,1.68463594e+08,1.36439266e+08,2.05982637e+07,5.80489697e+06,2.56248047e+06,1.39036414e+06,6.21287170e+05,3.03258423e+05,1.60955322e+05,7.93677902e+04,3.94565964e+04,1.66725235e+04,5.41700888e+03,1.78013277e+03,4.43949461e+02,8.47509503e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,2.55424953e+08,1.76773016e+08,1.43405344e+08,2.14197812e+07,6.12937988e+06,2.72420459e+06,1.46358398e+06,6.49467346e+05,3.23784363e+05,1.67141159e+05,8.48219604e+04,4.20592766e+04,1.75672684e+04,5.58944464e+03,1.81763721e+03,4.54079896e+02,8.46671015e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,2.67417031e+08,1.85096734e+08,1.50393656e+08,2.22331348e+07,6.45644971e+06,2.88821143e+06,1.53715918e+06,6.77543274e+05,3.44679565e+05,1.73245697e+05,9.03814621e+04,4.47019005e+04,1.84645405e+04,5.75887823e+03,1.85406685e+03,4.63912249e+02,8.45776796e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,2.79408188e+08,1.93419344e+08,1.57404234e+08,2.30293379e+07,6.78719580e+06,3.05578149e+06,1.61117041e+06,7.05376465e+05,3.66152954e+05,1.79187042e+05,9.61055069e+04,4.74086342e+04,1.93658466e+04,5.92132568e+03,1.88742006e+03,4.72972780e+02,8.43237862e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.89087906e+08,2.00384594e+08,1.63350812e+08,2.41986348e+07,7.10796338e+06,3.18178491e+06,1.66594397e+06,7.50897461e+05,3.82567139e+05,1.89236420e+05,1.00680168e+05,4.94073563e+04,2.00751419e+04,6.11328030e+03,1.92545056e+03,4.81436670e+02,8.41137022e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
