# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Diff.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.91821179e+10,7.83539713e+09,1.94478210e+09,7.12295328e+08,2.56371780e+08,1.44695999e+08,4.52402106e+06,5.80654067e+04,3.76297772e+03,5.49165884e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.87087911e+10,1.59909256e+10,3.96772030e+09,1.46048143e+09,5.26409330e+08,2.93422840e+08,9.17377063e+06,1.15972812e+05,7.45536673e+03,1.06763080e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,5.87962261e+10,2.44024469e+10,6.08841499e+09,2.23533824e+09,8.14460070e+08,4.46787000e+08,1.39338129e+07,1.73930648e+05,1.10736253e+04,1.55907656e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,7.99065089e+10,3.30136122e+10,8.32608015e+09,3.03543513e+09,1.11885565e+09,6.05783893e+08,1.88184761e+07,2.32138887e+05,1.46169883e+04,2.02741231e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.02381997e+11,4.17385058e+10,1.07080526e+10,3.85818984e+09,1.43525628e+09,7.70991684e+08,2.38199398e+07,2.90467498e+05,1.80474961e+04,2.46973918e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.26218708e+11,5.05083590e+10,1.32642459e+10,4.70319368e+09,1.76130957e+09,9.43336719e+08,2.89501845e+07,3.49111920e+05,2.13886305e+04,2.88951826e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.51403347e+11,5.93048504e+10,1.60051283e+10,5.57172926e+09,2.09763812e+09,1.12323064e+09,3.42497376e+07,4.08283818e+05,2.46984166e+04,3.29464438e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.77486115e+11,6.83234387e+10,1.88985879e+10,6.47678766e+09,2.44388474e+09,1.31041078e+09,3.97267445e+07,4.67698393e+05,2.79817620e+04,3.68612249e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.03887188e+11,7.78483872e+10,2.18743312e+10,7.43388597e+09,2.79980541e+09,1.50479870e+09,4.53538277e+07,5.26923902e+05,3.12208994e+04,4.05965247e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,2.30444683e+11,8.79493904e+10,2.48921449e+10,8.44248621e+09,3.16653674e+09,1.70626922e+09,5.10946382e+07,5.85776787e+05,3.43979089e+04,4.41221688e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,2.57120735e+11,9.86064890e+10,2.79499364e+10,9.49526237e+09,3.54768734e+09,1.91466516e+09,5.69300832e+07,6.44650782e+05,3.75137881e+04,4.74622608e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,2.83875331e+11,1.09801839e+11,3.10437785e+10,1.05794228e+10,3.94861113e+09,2.13033458e+09,6.28538137e+07,7.03859662e+05,4.05599487e+04,5.06220942e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,3.10916109e+11,1.21483809e+11,3.41876321e+10,1.16860756e+10,4.37116323e+09,2.35395108e+09,6.88836494e+07,7.63437206e+05,4.35337367e+04,5.36140848e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,3.38650962e+11,1.33549052e+11,3.74260712e+10,1.28131672e+10,4.81173531e+09,2.58669549e+09,7.50316552e+07,8.23267614e+05,4.64340569e+04,5.64505741e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,3.67358328e+11,1.45885050e+11,4.08059711e+10,1.39580650e+10,5.26744429e+09,2.82909081e+09,8.13003059e+07,8.83159392e+05,4.92551246e+04,5.91346043e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.97247558e+11,1.58426330e+11,4.43438022e+10,1.51174831e+10,5.73734176e+09,3.08019779e+09,8.76975235e+07,9.42813436e+05,5.19927607e+04,6.16612460e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,4.28534862e+11,1.71144522e+11,4.80376825e+10,1.62889238e+10,6.22069727e+09,3.33931913e+09,9.42270246e+07,1.00197675e+06,5.46593252e+04,6.40334790e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,4.61445745e+11,1.84012530e+11,5.18865232e+10,1.74704952e+10,6.71690682e+09,3.60607558e+09,1.00873770e+08,1.06050220e+06,5.72687271e+04,6.62611104e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,4.95855898e+11,1.96958887e+11,5.58901469e+10,1.86659759e+10,7.22343750e+09,3.88007201e+09,1.07602374e+08,1.11770103e+06,5.98007506e+04,6.83341324e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,5.31361823e+11,2.09945420e+11,6.00125324e+10,1.99037104e+10,7.73728411e+09,4.16099295e+09,1.14382718e+08,1.17298151e+06,6.22336535e+04,7.02489827e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,5.67432497e+11,2.23150513e+11,6.42096899e+10,2.12078522e+10,8.25674782e+09,4.44832199e+09,1.21196816e+08,1.22633866e+06,6.45605023e+04,7.20113950e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,6.03552478e+11,2.36740148e+11,6.84640514e+10,2.25726358e+10,8.78180468e+09,4.74081854e+09,1.27995255e+08,1.27769839e+06,6.67588389e+04,7.36061602e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,6.39610356e+11,2.50744188e+11,7.27678931e+10,2.39895091e+10,9.31515569e+09,5.03953423e+09,1.34769701e+08,1.32743885e+06,6.88357372e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,6.75630421e+11,2.65179936e+11,7.71208872e+10,2.54495730e+10,9.86178603e+09,5.34702140e+09,1.41553789e+08,1.37605057e+06,7.08195712e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,7.11580835e+11,2.80029836e+11,8.15148022e+10,2.69412243e+10,1.04257419e+10,5.66380451e+09,1.48380106e+08,1.42347041e+06,7.27116496e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,7.47432948e+11,2.95275291e+11,8.59426916e+10,2.84592111e+10,1.10055822e+10,5.99082892e+09,1.55288232e+08,1.46964301e+06,7.45134989e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,7.83159655e+11,3.10791983e+11,9.04601240e+10,3.00017039e+10,1.15972689e+10,6.32917979e+09,1.62295534e+08,1.51452325e+06,7.62276585e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,8.18736029e+11,3.26434484e+11,9.51353465e+10,3.15668381e+10,1.21990772e+10,6.67860267e+09,1.69420702e+08,1.55806691e+06,7.78566350e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,8.54149628e+11,3.42145173e+11,9.99890615e+10,3.31531915e+10,1.28106094e+10,7.03859447e+09,1.76670316e+08,1.60032501e+06,7.94070131e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,8.89228991e+11,3.57869107e+11,1.05016123e+11,3.47549671e+10,1.34308449e+10,7.40683998e+09,1.83998595e+08,1.64120141e+06,8.08776305e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,9.23703082e+11,3.73582418e+11,1.10179585e+11,3.63634716e+10,1.40588838e+10,7.77940173e+09,1.91338591e+08,1.68068298e+06,8.22696159e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,9.57468912e+11,3.89271890e+11,1.15452009e+11,3.79735112e+10,1.46937317e+10,8.15389035e+09,1.98642616e+08,1.71877651e+06,8.35843300e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,9.90816321e+11,4.04919408e+11,1.20820790e+11,3.95864856e+10,1.53342924e+10,8.52964162e+09,2.05887370e+08,1.75548237e+06,8.48237183e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,1.02447226e+12,4.20507448e+11,1.26259586e+11,4.12122629e+10,1.59794433e+10,8.90598587e+09,2.13050689e+08,1.79080874e+06,8.59902249e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,1.05887703e+12,4.36020397e+11,1.31719373e+11,4.28761015e+10,1.66281605e+10,9.28226844e+09,2.20114581e+08,1.82485491e+06,8.70862289e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,1.09400568e+12,4.51448674e+11,1.37164063e+11,4.45971650e+10,1.72796965e+10,9.65771392e+09,2.27099607e+08,1.85781663e+06,8.81147044e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,1.12982369e+12,4.66779135e+11,1.42586181e+11,4.63748994e+10,1.79331304e+10,1.00313055e+10,2.34026719e+08,1.88977119e+06,8.90759293e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,1.16615169e+12,4.81971931e+11,1.47967070e+11,4.81992304e+10,1.85849715e+10,1.04011272e+10,2.40851319e+08,1.92056166e+06,8.99618131e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02708333,1.33761568,2.76318386,-0.76274752,1.20286285e+12,4.97087318e+11,1.53308059e+11,5.00644018e+10,1.92321050e+10,1.07697888e+10,2.47582604e+08,1.95034271e+06,9.07803009e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02777778,1.32531611,2.79649642,-0.75215438,1.23969427e+12,5.12357150e+11,1.58626172e+11,5.19574026e+10,1.98821830e+10,1.11418603e+10,2.54274107e+08,1.97943532e+06,9.15510620e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02847222,1.31278896,2.82932870,-0.74143207,1.27629534e+12,5.27954726e+11,1.63922142e+11,5.38620466e+10,2.05430262e+10,1.15177662e+10,2.60935144e+08,2.00785797e+06,9.22811133e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02916667,1.30004065,2.86168446,-0.73058466,1.31268649e+12,5.43962247e+11,1.69206673e+11,5.57778573e+10,2.12161778e+10,1.18979659e+10,2.67585933e+08,2.03562322e+06,9.29783452e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02986111,1.28707747,2.89356762,-0.71961671,1.34904274e+12,5.60455713e+11,1.74496499e+11,5.77061455e+10,2.19045660e+10,1.22836643e+10,2.74249093e+08,2.06271509e+06,9.36475838e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03055556,1.27390601,2.92498195,-0.70853199,1.38547491e+12,5.77453323e+11,1.79799355e+11,5.96482854e+10,2.26092765e+10,1.26756367e+10,2.80937106e+08,2.08916537e+06,9.42923541e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03125000,1.26053177,2.95593122,-0.69733473,1.42197284e+12,5.94931717e+11,1.85110468e+11,6.16028408e+10,2.33290350e+10,1.30734293e+10,2.87638306e+08,2.11493945e+06,9.49132122e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03194444,1.24696101,2.98641920,-0.68602853,1.45851625e+12,6.12865709e+11,1.90423473e+11,6.35676693e+10,2.40623174e+10,1.34763521e+10,2.94333550e+08,2.14000900e+06,9.52174001e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03263889,1.23319893,3.01644949,-0.67461718,1.49510126e+12,6.31229863e+11,1.95738532e+11,6.55418026e+10,2.48080764e+10,1.38840937e+10,3.01012019e+08,2.16441118e+06,9.52174001e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03333333,1.21925132,3.04602571,-0.66310412,1.53172398e+12,6.49934492e+11,2.01093605e+11,6.75242721e+10,2.55652339e+10,1.42963273e+10,3.07664115e+08,2.18815976e+06,9.52174001e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03402778,1.20512321,3.07515099,-0.65149297,1.56838715e+12,6.68833258e+11,2.06560186e+11,6.95145560e+10,2.63328067e+10,1.47128434e+10,3.14285157e+08,2.21130095e+06,9.52174001e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03472222,1.19081978,3.10382911,-0.63978701,1.60509610e+12,6.87847246e+11,2.12172146e+11,7.15123678e+10,2.71099846e+10,1.51335197e+10,3.20872201e+08,2.23388341e+06,9.52174001e+04,7.43583297e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
