# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Diff.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.17679200e+08,1.27621616e+08,3.18464740e+07,1.15051650e+07,4.20011400e+06,2.37711475e+06,7.42528594e+04,9.69748230e+02,6.32595177e+01,9.41821194e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.21724768e+08,1.33558304e+08,3.29796000e+07,1.22380140e+07,4.34561250e+06,2.44608550e+06,7.65478516e+04,9.65765442e+02,6.21730804e+01,8.88731861e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.29164288e+08,1.38292624e+08,3.44516680e+07,1.27015210e+07,4.65563850e+06,2.51147550e+06,7.84437891e+04,9.64481262e+02,6.09065437e+01,8.39484406e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.40416928e+08,1.42091440e+08,3.62381600e+07,1.31270410e+07,4.94605350e+06,2.60066350e+06,8.02242969e+04,9.67446716e+02,5.97020836e+01,7.98668242e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.63259104e+08,1.44947376e+08,3.83506720e+07,1.35428530e+07,5.20046500e+06,2.69923250e+06,8.25977969e+04,9.72827759e+02,5.84100075e+01,7.62450790e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.85923872e+08,1.45882432e+08,4.10484160e+07,1.38823060e+07,5.34622350e+06,2.80769425e+06,8.41176719e+04,9.71459412e+02,5.59402580e+01,7.11972189e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,4.08633120e+08,1.46445984e+08,4.41580200e+07,1.42844860e+07,5.52221850e+06,2.93713975e+06,8.68904688e+04,9.83354492e+02,5.54308815e+01,6.87291288e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,4.30854880e+08,1.46770416e+08,4.72047320e+07,1.46667020e+07,5.68873400e+06,3.05932475e+06,8.97613125e+04,9.89042236e+02,5.48953285e+01,6.63129234e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.38570656e+08,1.53849168e+08,4.92439120e+07,1.55019090e+07,5.85281900e+06,3.18001275e+06,9.28055703e+04,9.91443420e+02,5.45495071e+01,6.41797686e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.41465184e+08,1.63649136e+08,4.99475400e+07,1.64013700e+07,6.01120400e+06,3.29958500e+06,9.47638828e+04,9.82740356e+02,5.34217491e+01,6.03302336e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
