# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,9.92912314e+08,7.65555365e+08,5.90258637e+08,2.18741178e+08,9.75849661e+07,5.62622775e+07,3.64721225e+07,1.78033574e+07,8.62509058e+06,4.38301068e+06,1.91217922e+06,8.41506393e+05,3.26294856e+05,1.07741476e+05,3.16354017e+04,7.27447295e+03,1.48618432e+03,2.76278213e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,2.03676620e+09,1.57079533e+09,1.21142893e+09,4.48838039e+08,2.00972807e+08,1.15857222e+08,7.50025331e+07,3.66085157e+07,1.77842672e+07,9.01469751e+06,3.94985108e+06,1.73181068e+06,6.66667520e+05,2.18278418e+05,6.36673939e+04,1.45933084e+04,2.95649263e+03,5.48637882e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.14235003e+09,2.42378940e+09,1.86954140e+09,6.92317444e+08,3.11264614e+08,1.79432256e+08,1.15953014e+08,5.65950264e+07,2.75768559e+07,1.39267218e+07,6.13534481e+06,2.67899175e+06,1.02349808e+06,3.32102925e+05,9.63502032e+04,2.20220972e+04,4.42190127e+03,8.18828260e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,4.31034869e+09,3.32507051e+09,2.56501069e+09,9.49316406e+08,4.28570322e+08,2.47050321e+08,1.59354961e+08,7.77780257e+07,3.80135911e+07,1.91221433e+07,8.47143102e+06,3.68375992e+06,1.39684786e+06,4.49223955e+05,1.29694726e+05,2.95657370e+04,5.88569300e+03,1.08863397e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,5.54125446e+09,4.27504037e+09,3.29816368e+09,1.21990575e+09,5.53076993e+08,3.18819168e+08,2.05250415e+08,1.00178019e+08,4.91150144e+07,2.46041602e+07,1.09639991e+07,4.74723881e+06,1.78631048e+06,5.69267041e+05,1.63566576e+05,3.71909290e+04,7.34000048e+03,1.35703833e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,6.83509071e+09,5.27372297e+09,4.06902441e+09,1.50408015e+09,6.84829819e+08,3.94764767e+08,2.53647230e+08,1.23798842e+08,6.08864783e+07,3.03731592e+07,1.36147156e+07,5.86965558e+06,2.19175846e+06,6.92172549e+05,1.97953014e+05,4.48958013e+04,8.78561554e+03,1.62418274e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,8.19174499e+09,6.32102424e+09,4.87751339e+09,1.80182806e+09,8.23775535e+08,4.74856482e+08,3.04533322e+08,1.48634580e+08,7.33222698e+07,3.64282699e+07,1.64220196e+07,7.05068067e+06,2.61339784e+06,8.18179394e+05,2.32952815e+05,5.27069097e+04,1.02308819e+04,1.89161550e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,9.61130152e+09,7.41701855e+09,5.72369514e+09,2.11315212e+09,9.69983470e+08,5.59134319e+08,3.57922046e+08,1.74691724e+08,8.64304093e+07,4.27702826e+07,1.93883329e+07,8.29068904e+06,3.05103680e+06,9.47158483e+05,2.68525444e+05,6.06150022e+04,1.16743175e+04,2.15905340e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.10913087e+10,8.56052297e+09,6.60720630e+09,2.43884023e+09,1.12323680e+09,6.47426568e+08,4.13810989e+08,2.02080319e+08,1.00190874e+08,4.94116150e+07,2.24987425e+07,9.58376192e+06,3.50363462e+06,1.07922748e+06,3.04659006e+05,6.86085478e+04,1.31140830e+04,2.42590355e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
