# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.62107139e+07,1.24933184e+07,9.62838379e+06,3.56728760e+06,1.58682178e+06,9.15094238e+05,5.93605042e+05,2.89810669e+05,1.40091370e+05,7.12290802e+04,3.10011177e+04,1.36832714e+04,5.34012556e+03,1.77608812e+03,5.25871396e+02,1.21353440e+02,2.49640290e+01,4.64036781e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.68863652e+07,1.30251953e+07,1.00469053e+07,3.72408545e+06,1.66601062e+06,9.60315125e+05,6.22132446e+05,3.03634613e+05,1.47411667e+05,7.48712845e+04,3.27381935e+04,1.43669434e+04,5.53637028e+03,1.81529462e+03,5.28642058e+02,1.21129006e+02,2.45754514e+01,4.56890650e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,1.79087617e+07,1.38161348e+07,1.06587695e+07,3.94580933e+06,1.78025049e+06,1.02618286e+06,6.62214478e+05,3.23203949e+05,1.57894196e+05,7.95182648e+04,3.51841965e+04,1.53098640e+04,5.80938435e+03,1.86926985e+03,5.39090931e+02,1.22832157e+02,2.44348217e+01,4.50974843e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,1.89440352e+07,1.46170029e+07,1.12783145e+07,4.17017139e+06,1.89614331e+06,1.09298511e+06,7.02801636e+05,3.43013123e+05,1.68525452e+05,8.42158890e+04,3.76655998e+04,1.62628403e+04,6.08496857e+03,1.92488062e+03,5.50336123e+02,1.24794155e+02,2.44121365e+01,4.49659815e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.99892500e+07,1.54256982e+07,1.19039932e+07,4.39645996e+06,2.01404663e+06,1.16095020e+06,7.43929810e+05,3.63086792e+05,1.79365692e+05,8.89648132e+04,4.02039337e+04,1.72294292e+04,6.36002302e+03,1.97915339e+03,5.61147869e+02,1.26660481e+02,2.43809167e+01,4.49692458e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,2.10409453e+07,1.62399658e+07,1.25344414e+07,4.62318555e+06,2.13617603e+06,1.23134485e+06,7.85918762e+05,3.83579712e+05,1.90681778e+05,9.37690964e+04,4.28816757e+04,1.82198696e+04,6.62206507e+03,2.02228308e+03,5.67913890e+02,1.27512604e+02,2.40960028e+01,4.44988813e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,2.20869258e+07,1.70494512e+07,1.31609141e+07,4.84929346e+06,2.25558447e+06,1.30017493e+06,8.27308289e+05,4.03780975e+05,2.01700317e+05,9.85308533e+04,4.54755325e+04,1.91940193e+04,6.89286661e+03,2.07456684e+03,5.78300595e+02,1.29316449e+02,2.40911618e+01,4.45492472e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,2.31348867e+07,1.78605938e+07,1.37887207e+07,5.07563770e+06,2.37593970e+06,1.36954907e+06,8.68894897e+05,4.24077026e+05,2.12826096e+05,1.03306183e+05,4.81012726e+04,2.01734867e+04,7.16178036e+03,2.12566161e+03,5.88359535e+02,1.31053850e+02,2.40843855e+01,4.45950124e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,2.41836602e+07,1.86725469e+07,1.44173350e+07,5.30183008e+06,2.49765771e+06,1.43971191e+06,9.10729065e+05,4.44494354e+05,2.24111847e+05,1.08094223e+05,5.07758293e+04,2.11601219e+04,7.42618370e+03,2.17364097e+03,5.97394645e+02,1.32549211e+02,2.40301304e+01,4.45509469e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.51499160e+07,1.94442695e+07,1.50330391e+07,5.55444092e+06,2.61078687e+06,1.50336328e+06,9.52235840e+05,4.68458862e+05,2.34570343e+05,1.13283539e+05,5.29044991e+04,2.19423103e+04,7.66041136e+03,2.22865915e+03,6.07057512e+02,1.33902326e+02,2.39620563e+01,4.43991087e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,2.60734062e+07,2.01923438e+07,1.56378018e+07,5.81576660e+06,2.71963257e+06,1.56391589e+06,9.93287720e+05,4.93772308e+05,2.44627869e+05,1.18596634e+05,5.47993317e+04,2.26357307e+04,7.87924051e+03,2.28505659e+03,6.16651118e+02,1.35153249e+02,2.38889903e+01,4.42091143e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,2.69791562e+07,2.09291074e+07,1.62357764e+07,6.07771094e+06,2.82759351e+06,1.62379333e+06,1.03412061e+06,5.19450562e+05,2.54627472e+05,1.23920456e+05,5.66534996e+04,2.33064690e+04,8.08887577e+03,2.33842492e+03,6.25214934e+02,1.36160940e+02,2.37728283e+01,4.39355522e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,2.78612227e+07,2.16481426e+07,1.68205645e+07,6.33587988e+06,2.93334644e+06,1.68235010e+06,1.07418555e+06,5.44947144e+05,2.64435883e+05,1.29166046e+05,5.84568863e+04,2.39553299e+04,8.29082394e+03,2.38958573e+03,6.33270800e+02,1.37084141e+02,2.36562788e+01,4.36625862e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,2.87301113e+07,2.23591289e+07,1.74009473e+07,6.59534033e+06,3.03860083e+06,1.74046753e+06,1.11416589e+06,5.70852722e+05,2.74219238e+05,1.34435745e+05,6.02295303e+04,2.45862999e+04,8.48541927e+03,2.43831325e+03,6.40505493e+02,1.37816370e+02,2.35075764e+01,4.33276407e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,2.95810488e+07,2.30565273e+07,1.79710859e+07,6.85171387e+06,3.14211743e+06,1.79755444e+06,1.15353625e+06,5.96606140e+05,2.83850525e+05,1.39641739e+05,6.19639435e+04,2.52014389e+04,8.67465019e+03,2.48557162e+03,6.47472143e+02,1.38521120e+02,2.33688876e+01,4.30132449e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,3.04054316e+07,2.37371562e+07,1.85313125e+07,7.10930518e+06,3.24436963e+06,1.85365833e+06,1.19261414e+06,6.22945801e+05,2.93402588e+05,1.44869003e+05,6.36373215e+04,2.57820721e+04,8.84974766e+03,2.52812290e+03,6.52781487e+02,1.38820142e+02,2.31500491e+01,4.25448967e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.12094121e+07,2.44039297e+07,1.90824395e+07,7.36628564e+06,3.34528149e+06,1.90884973e+06,1.23129346e+06,6.49539246e+05,3.02853180e+05,1.50082672e+05,6.52649612e+04,2.63394165e+04,9.01584339e+03,2.56784201e+03,6.57227695e+02,1.38929784e+02,2.29025912e+01,4.20231093e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,3.19886777e+07,2.50514180e+07,1.96185938e+07,7.61800391e+06,3.44359912e+06,1.96254456e+06,1.26903369e+06,6.75761475e+05,3.12071167e+05,1.55187912e+05,6.68408890e+04,2.68765354e+04,9.17534447e+03,2.60582376e+03,6.61400259e+02,1.39018506e+02,2.26680562e+01,4.15283814e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,3.27575020e+07,2.56946660e+07,2.01546465e+07,7.87482129e+06,3.54236279e+06,2.01623267e+06,1.30711255e+06,7.02948975e+05,3.21365692e+05,1.60394058e+05,6.83895950e+04,2.73932190e+04,9.32567120e+03,2.64057827e+03,6.64358079e+02,1.38807416e+02,2.23752465e+01,4.09231056e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.35052305e+07,2.63103379e+07,2.06604727e+07,8.11511328e+06,3.63843433e+06,2.06864404e+06,1.34372437e+06,7.25924316e+05,3.29972626e+05,1.65112198e+05,6.98319626e+04,2.78680134e+04,9.45540428e+03,2.67108941e+03,6.66925609e+02,1.38570786e+02,2.21630149e+01,4.02829330e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.43408438e+07,2.69651191e+07,2.11735547e+07,8.34640137e+06,3.74407227e+06,2.12697363e+06,1.38288391e+06,7.42590637e+05,3.38446838e+05,1.69456696e+05,7.13114014e+04,2.83508854e+04,9.57109833e+03,2.70043015e+03,6.70034230e+02,1.38440371e+02,2.21074279e+01,3.94543633e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,3.52255547e+07,2.76584160e+07,2.17168457e+07,8.59113477e+06,3.85581592e+06,2.18866577e+06,1.42430212e+06,7.60250366e+05,3.47413605e+05,1.74052856e+05,7.28808136e+04,2.88658199e+04,9.69640827e+03,2.73243523e+03,6.73767447e+02,1.38445616e+02,2.20757816e+01,3.86796426e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,3.60897617e+07,2.83352324e+07,2.22469023e+07,8.83887207e+06,3.96943481e+06,2.25094067e+06,1.46645520e+06,7.77079102e+05,3.56244202e+05,1.78608887e+05,7.43381958e+04,2.93090286e+04,9.78596020e+03,2.75358653e+03,6.73888445e+02,1.37548953e+02,2.18939930e+01,3.75352032e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,3.69533359e+07,2.90118828e+07,2.27770625e+07,9.08009277e+06,4.07973047e+06,2.31170361e+06,1.50734668e+06,7.94215942e+05,3.65014587e+05,1.83111984e+05,7.58531952e+04,2.97997856e+04,9.90288734e+03,2.78326058e+03,6.77150011e+02,1.37495130e+02,2.18552668e+01,3.68387275e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,3.77911992e+07,2.96682520e+07,2.32912480e+07,9.31646484e+06,4.18794238e+06,2.37119409e+06,1.54747913e+06,8.10736572e+05,3.73542908e+05,1.87498734e+05,7.73041229e+04,3.02616539e+04,1.00089521e+04,2.80981684e+03,6.79596364e+02,1.37273908e+02,2.17901785e+01,3.61128617e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,3.86188320e+07,3.03164941e+07,2.37990039e+07,9.55176074e+06,4.29577344e+06,2.43036816e+06,1.58747522e+06,8.26973206e+05,3.81980164e+05,1.91844757e+05,7.87232285e+04,3.07074432e+04,1.01085253e+04,2.83448315e+03,6.81538820e+02,1.36950552e+02,2.17091106e+01,3.53764393e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,3.94347930e+07,3.09555742e+07,2.42995195e+07,9.78559473e+06,4.40305420e+06,2.48914380e+06,1.62727539e+06,8.42899902e+05,3.90314270e+05,1.96143723e+05,8.01080246e+04,3.11363373e+04,1.02014017e+04,2.85721946e+03,6.82975233e+02,1.36526197e+02,2.16123220e+01,3.46306898e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,4.02285273e+07,3.15771172e+07,2.47862227e+07,1.00153281e+07,4.50859033e+06,2.54683960e+06,1.66644067e+06,8.58292297e+05,3.98438538e+05,2.00342484e+05,8.14372940e+04,3.15403175e+04,1.02850761e+04,2.87732005e+03,6.83746159e+02,1.35970533e+02,2.14951020e+01,3.38689215e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,4.10076133e+07,3.21871699e+07,2.52639414e+07,1.02409160e+07,4.61223389e+06,2.60349023e+06,1.70490588e+06,8.73399902e+05,4.06412720e+05,2.04463379e+05,8.27427368e+04,3.19381428e+04,1.03684702e+04,2.89748287e+03,6.84723914e+02,1.35497436e+02,2.13928893e+01,3.31786834e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,4.17708164e+07,3.27846641e+07,2.57316777e+07,1.04657559e+07,4.71575830e+06,2.65987915e+06,1.74334204e+06,8.88028137e+05,4.14255310e+05,2.08529785e+05,8.39907684e+04,3.23045006e+04,1.04379969e+04,2.91354346e+03,6.84483409e+02,1.34747043e+02,2.12456565e+01,3.24032898e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,4.25266484e+07,3.33762461e+07,2.61947539e+07,1.06900859e+07,4.81915576e+06,2.71610229e+06,1.78173669e+06,9.02439514e+05,4.22035095e+05,2.12568741e+05,8.52142868e+04,3.26584549e+04,1.05026608e+04,2.92820930e+03,6.83897078e+02,1.33933425e+02,2.10888814e+01,3.16312048e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,4.32642695e+07,3.39535156e+07,2.66465254e+07,1.09111953e+07,4.92119971e+06,2.77147461e+06,1.81963782e+06,9.16412415e+05,4.29644348e+05,2.16526581e+05,8.63920593e+04,3.29920120e+04,1.05599785e+04,2.94078755e+03,6.82810247e+02,1.33027494e+02,2.09180303e+01,3.08558275e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,4.39824648e+07,3.45155195e+07,2.70862734e+07,1.11287236e+07,5.02171924e+06,2.82590820e+06,1.85698291e+06,9.29921448e+05,4.37070557e+05,2.20396408e+05,8.75220032e+04,3.33046455e+04,1.06098356e+04,2.95126128e+03,6.81228399e+02,1.32031396e+02,2.07335204e+01,3.00783222e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,4.47005039e+07,3.50773125e+07,2.75258145e+07,1.13475117e+07,5.12289648e+06,2.88062354e+06,1.89458240e+06,9.43371643e+05,4.44504608e+05,2.24274567e+05,8.86426620e+04,3.36110497e+04,1.06570616e+04,2.96097231e+03,6.79466963e+02,1.31007805e+02,2.05452014e+01,2.93135364e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,4.53972070e+07,3.56223086e+07,2.79521328e+07,1.15621689e+07,5.22232080e+06,2.93426782e+06,1.93153882e+06,9.56322083e+05,4.51736115e+05,2.28055389e+05,8.97125473e+04,3.38957405e+04,1.06967201e+04,2.96856165e+03,6.77219570e+02,1.29898325e+02,2.03439239e+01,2.85481312e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,4.60716758e+07,3.61499258e+07,2.83648340e+07,1.17702842e+07,5.31873828e+06,2.98626709e+06,1.96737708e+06,9.68853333e+05,4.58738617e+05,2.31716705e+05,9.07475052e+04,3.41715889e+04,1.07358179e+04,2.97616911e+03,6.75199330e+02,1.28877416e+02,2.01585703e+01,2.78486870e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,4.67435938e+07,3.66753242e+07,2.87757305e+07,1.19811201e+07,5.41660840e+06,3.03887427e+06,2.00377026e+06,9.81183472e+05,4.65742279e+05,2.35390259e+05,9.17521896e+04,3.44270325e+04,1.07651625e+04,2.98085856e+03,6.72303975e+02,1.27660543e+02,1.99415870e+01,2.70961388e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,4.74022969e+07,3.71904727e+07,2.91785742e+07,1.21875928e+07,5.51245361e+06,3.09039551e+06,2.03940991e+06,9.93291016e+05,4.72605774e+05,2.38989532e+05,9.27408066e+04,3.46810684e+04,1.07963877e+04,2.98624897e+03,6.69795930e+02,1.26562476e+02,1.97451990e+01,2.64137029e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,4.80457969e+07,3.76932344e+07,2.95713691e+07,1.24003477e+07,5.61182422e+06,3.14327710e+06,2.07640820e+06,1.00462756e+06,4.79397766e+05,2.42587341e+05,9.36202393e+04,3.48647118e+04,1.07939930e+04,2.98156905e+03,6.64181232e+02,1.24744296e+02,1.94312986e+01,2.54951371e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02708333,1.33761568,2.76318386,-0.76274752,4.86864375e+07,3.81941172e+07,2.99629746e+07,1.26046172e+07,5.70685400e+06,3.19417896e+06,2.11176001e+06,1.01626312e+06,4.86098938e+05,2.46112289e+05,9.45583496e+04,3.50957642e+04,1.08172235e+04,2.98473144e+03,6.61210001e+02,1.23579413e+02,1.92256980e+01,2.48355698e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02777778,1.32531611,2.79649642,-0.75215438,4.93121641e+07,3.86832969e+07,3.03454316e+07,1.28038008e+07,5.79951904e+06,3.24382129e+06,2.14623340e+06,1.02764978e+06,4.92639465e+05,2.49552246e+05,9.54786072e+04,3.53253250e+04,1.08424196e+04,2.98861575e+03,6.58626258e+02,1.22530296e+02,1.90399941e+01,2.42387364e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02847222,1.31278896,2.82932870,-0.74143207,4.99215391e+07,3.91595586e+07,3.07176270e+07,1.30021914e+07,5.89204492e+06,3.29317871e+06,2.18067358e+06,1.03855261e+06,4.99044952e+05,2.52934738e+05,9.63424301e+04,3.55252075e+04,1.08553076e+04,2.98890948e+03,6.55049205e+02,1.21269591e+02,1.88204907e+01,2.35895650e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02916667,1.30004065,2.86168446,-0.73058466,5.05261289e+07,3.96321172e+07,3.10869434e+07,1.31979883e+07,5.98317578e+06,3.34182324e+06,2.21430640e+06,1.04972314e+06,5.05330627e+05,2.56181274e+05,9.71706238e+04,3.57257500e+04,1.08723059e+04,2.99033046e+03,6.52055144e+02,1.20146722e+02,1.86106153e+01,2.29953206e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02986111,1.28707747,2.89356762,-0.71961671,5.11219805e+07,4.00943438e+07,3.14455059e+07,1.33983359e+07,6.06922217e+06,3.38756909e+06,2.24174121e+06,1.06491077e+06,5.10457001e+05,2.57764404e+05,9.73626404e+04,3.58177338e+04,1.08770332e+04,2.98550177e+03,6.49279296e+02,1.18870601e+02,1.81768797e+01,2.22375197e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03055556,1.27390601,2.92498195,-0.70853199,5.17249766e+07,4.05620547e+07,3.18082031e+07,1.36017119e+07,6.15651270e+06,3.43394092e+06,2.26951831e+06,1.08031824e+06,5.15634277e+05,2.59357574e+05,9.75549316e+04,3.59099579e+04,1.08817759e+04,2.98068190e+03,6.46514595e+02,1.17608026e+02,1.77532583e+01,2.15046899e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03125000,1.26053177,2.95593122,-0.69733473,5.23114727e+07,4.10167070e+07,3.21606055e+07,1.38019893e+07,6.24224805e+06,3.47938110e+06,2.29660522e+06,1.09545764e+06,5.20630249e+05,2.60843170e+05,9.77038193e+04,3.59862099e+04,1.08816204e+04,2.97453237e+03,6.43472314e+02,1.16306499e+02,1.73317101e+01,2.07862677e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03194444,1.24696101,2.98641920,-0.68602853,5.28927109e+07,4.14670781e+07,3.25095918e+07,1.40020488e+07,6.32775293e+06,3.52462891e+06,2.32349023e+06,1.11055688e+06,5.25556274e+05,2.62277893e+05,9.78307037e+04,3.60545883e+04,1.08790169e+04,2.96772742e+03,6.40300512e+02,1.14993617e+02,1.69163682e+01,2.00871495e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03263889,1.23319893,3.01644949,-0.67461718,5.34563945e+07,4.19036172e+07,3.28476133e+07,1.41986152e+07,6.41154199e+06,3.56886255e+06,2.34963696e+06,1.12535999e+06,5.30290710e+05,2.63602478e+05,9.79138718e+04,3.61068039e+04,1.08715172e+04,2.95960712e+03,6.36857986e+02,1.13644376e+02,1.65035538e+01,1.94024481e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03333333,1.21925132,3.04602571,-0.66310412,5.40260312e+07,4.23447539e+07,3.31891484e+07,1.43979570e+07,6.49644824e+06,3.61365088e+06,2.37607544e+06,1.14035913e+06,5.35067810e+05,2.64933411e+05,9.79970169e+04,3.61590919e+04,1.08640366e+04,2.95150924e+03,6.33433521e+02,1.12310976e+02,1.61008164e+01,1.87410868e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03402778,1.20512321,3.07515099,-0.65149297,5.45895664e+07,4.27809453e+07,3.35266875e+07,1.45968115e+07,6.58099658e+06,3.65817798e+06,2.40227319e+06,1.15529810e+06,5.39765808e+05,2.66211121e+05,9.80582581e+04,3.62033463e+04,1.08541040e+04,2.94277072e+03,6.29886448e+02,1.10968240e+02,1.57043729e+01,1.80980330e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03472222,1.19081978,3.10382911,-0.63978701,5.51340977e+07,4.32020898e+07,3.38524141e+07,1.47917520e+07,6.66364551e+06,3.70159131e+06,2.42766675e+06,1.16990857e+06,5.44261230e+05,2.67374939e+05,9.80753784e+04,3.62313385e+04,1.08393250e+04,2.93273950e+03,6.26077056e+02,1.09592259e+02,1.53108016e+01,1.74688583e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03541667,1.17634606,3.13206335,-0.62798955,5.56841211e+07,4.36274688e+07,3.41813438e+07,1.49892959e+07,6.74733203e+06,3.74551538e+06,2.45332861e+06,1.18470264e+06,5.48794128e+05,2.68544128e+05,9.80924988e+04,3.62593613e+04,1.08245535e+04,2.92274380e+03,6.22290611e+02,1.08233303e+02,1.49270967e+01,1.68615545e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03611111,1.16170690,3.15985701,-0.61610356,5.62133906e+07,4.40368711e+07,3.44979414e+07,1.51792422e+07,6.82779541e+06,3.78775635e+06,2.47801538e+06,1.19892651e+06,5.53162415e+05,2.69686127e+05,9.81237335e+04,3.62912636e+04,1.08123903e+04,2.91385221e+03,6.18857920e+02,1.06991217e+02,1.45783685e+01,1.63140253e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03680556,1.14690686,3.18721324,-0.60413250,5.67349844e+07,4.44401172e+07,3.48096328e+07,1.53681191e+07,6.90767871e+06,3.82961133e+06,2.50238721e+06,1.21304956e+06,5.57440674e+05,2.70772339e+05,9.81328964e+04,3.63149757e+04,1.07978106e+04,2.90433550e+03,6.15305603e+02,1.05739534e+02,1.42345754e+01,1.57805788e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
