# Irene Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Intg.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,2.00499492e+09,1.03304850e+09,3.60972983e+08,1.50657644e+08,6.66167098e+07,3.35135305e+07,1.68078752e+06,4.02778412e+04,3.88740875e+03,7.31237969e+02,1.91344882e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,4.07404684e+09,2.10871190e+09,7.36986667e+08,3.07787343e+08,1.35690755e+08,6.78887875e+07,3.39404364e+06,8.00779364e+04,7.64658628e+03,1.42117351e+03,3.71733787e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,6.21345361e+09,3.22467204e+09,1.12949743e+09,4.71202454e+08,2.07775613e+08,1.03211263e+08,5.13601473e+06,1.19515043e+05,1.12839223e+04,2.07446058e+03,5.42297742e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,8.44058096e+09,4.37923204e+09,1.54006611e+09,6.40831611e+08,2.82923920e+08,1.39677176e+08,6.91166713e+06,1.58705888e+05,1.48081448e+04,2.69586633e+03,7.04131562e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.07649507e+10,5.56837610e+09,1.97011548e+09,8.15978192e+08,3.60774282e+08,1.77362331e+08,8.71680703e+06,1.97470650e+05,1.81861972e+04,3.28121035e+03,8.56031042e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.31842327e+10,6.79044331e+09,2.42204816e+09,9.96568652e+08,4.41299862e+08,2.16448091e+08,1.05561615e+07,2.35970294e+05,2.14412958e+04,3.83473663e+03,9.98982560e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.56979502e+10,8.04567802e+09,2.89720640e+09,1.18301414e+09,5.24734150e+08,2.57076059e+08,1.24438106e+07,2.74490203e+05,2.46306509e+04,4.36658210e+03,1.13551274e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.83016929e+10,9.34599885e+09,3.39435039e+09,1.37644696e+09,6.10989910e+08,2.99204637e+08,1.43806119e+07,3.12912959e+05,2.77597031e+04,4.87807280e+03,1.26596935e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.09886606e+10,1.07058625e+10,3.90934986e+09,1.57820164e+09,6.99954199e+08,3.42760691e+08,1.63557063e+07,3.50962985e+05,3.08077278e+04,5.36495277e+03,1.38974463e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
