# Legacy Model output file: ../../unitTests/Legacy/Ax8max_NatEpoch_Intg.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.29030560e+07,1.68496780e+07,5.89635500e+06,2.45557350e+06,1.09376912e+06,5.51080750e+05,2.77145000e+04,6.75560486e+02,6.58518372e+01,1.25442705e+01,3.28372455e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.39301120e+07,1.75852740e+07,6.13607850e+06,2.56634825e+06,1.12678800e+06,5.66037000e+05,2.83117539e+04,6.67034302e+02,6.37284622e+01,1.18303299e+01,3.09443855e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.50382800e+07,1.82701700e+07,6.39771000e+06,2.67130800e+06,1.17568000e+06,5.79804812e+05,2.87967793e+04,6.59635437e+02,6.15774460e+01,1.11675196e+01,2.91852450e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.62752840e+07,1.89285040e+07,6.68598300e+06,2.77586275e+06,1.22714875e+06,5.97611125e+05,2.92689277e+04,6.54934875e+02,5.96670952e+01,1.06087179e+01,2.76694107e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.79622880e+07,1.95568260e+07,6.99963850e+06,2.87844200e+06,1.27779462e+06,6.17919188e+05,2.99194805e+04,6.51426514e+02,5.78069801e+01,1.01048050e+01,2.62751913e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.95167080e+07,2.00813120e+07,7.33534150e+06,2.95977775e+06,1.31721762e+06,6.38252750e+05,3.02518535e+04,6.40732300e+02,5.47947731e+01,9.40666389e+00,2.43579721e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,4.11260200e+07,2.06542580e+07,7.72908000e+06,3.05990375e+06,1.36696812e+06,6.64605812e+05,3.10599570e+04,6.42589050e+02,5.37085037e+01,9.04421043e+00,2.32925296e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,4.26645680e+07,2.11869020e+07,8.10952900e+06,3.15494625e+06,1.41417500e+06,6.89659875e+05,3.18616836e+04,6.41408020e+02,5.26033401e+01,8.68397331e+00,2.22175336e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.41268480e+07,2.21571220e+07,8.46193600e+06,3.29281375e+06,1.46101675e+06,7.14625938e+05,3.26983535e+04,6.39350403e+02,5.16983910e+01,8.36571503e+00,2.12680006e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.54387480e+07,2.31716700e+07,8.70471400e+06,3.43234275e+06,1.50445975e+06,7.37242625e+05,3.31381328e+04,6.28983887e+02,4.99024391e+01,7.86361837e+00,1.99904275e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
