# Irene Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Diff.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.10534890e+10,7.63576900e+09,6.10820542e+09,9.75320918e+08,2.51995612e+08,1.07515211e+08,6.13792529e+07,2.85534614e+07,1.24459233e+07,7.58248215e+06,3.20586563e+06,1.60962091e+06,7.29606671e+05,2.66101912e+05,9.49042276e+04,2.35555042e+04,5.14304428e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,2.25315466e+10,1.55734705e+10,1.24853936e+10,1.98866709e+09,5.17290350e+08,2.20716070e+08,1.25879108e+08,5.83539428e+07,2.55551471e+07,1.55479707e+07,6.62165115e+06,3.32700678e+06,1.49747991e+06,5.43061672e+05,1.90775580e+05,4.72347705e+04,1.01959020e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.45697227e+10,2.39000698e+10,1.91908030e+10,3.03852422e+09,7.98074993e+08,3.41737512e+08,1.93846970e+08,8.94552743e+07,3.96607198e+07,2.37872956e+07,1.03015165e+07,5.17140783e+06,2.30862836e+06,8.26772117e+05,2.87507606e+05,7.11919119e+04,1.51390566e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,4.72966725e+10,3.27046014e+10,2.62966289e+10,4.13575176e+09,1.09745081e+09,4.71971881e+08,2.66022373e+08,1.22184287e+08,5.49309033e+07,3.23846977e+07,1.42901361e+07,7.16463532e+06,3.17189673e+06,1.12019242e+06,3.86128381e+05,9.56857547e+04,2.00401507e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,6.07400086e+10,4.20060219e+10,3.38171538e+10,5.28358186e+09,1.41591025e+09,6.11566955e+08,3.42538987e+08,1.56619743e+08,7.13780891e+07,4.13660735e+07,1.85905215e+07,9.30795586e+06,4.08838285e+06,1.42449622e+06,4.87222134e+05,1.20850879e+05,2.49619306e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,7.49063694e+10,5.18090576e+10,4.17573996e+10,6.48161485e+09,1.75382074e+09,7.60791282e+08,4.23459896e+08,1.92765249e+08,8.90426615e+07,5.07267321e+07,2.32139206e+07,1.16060326e+07,5.05878001e+06,1.73943339e+06,5.90663243e+05,1.46650130e+05,2.98853839e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,8.97971833e+10,6.21147994e+10,5.01190899e+10,7.72928441e+09,2.11137095e+09,9.19809347e+08,5.08811593e+08,2.30614474e+08,1.07950714e+08,6.04610493e+07,2.81677597e+07,1.40617441e+07,6.08331369e+06,2.06477856e+06,6.96363217e+05,1.73059722e+05,3.48032249e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.05411225e+11,7.29224293e+10,5.89024284e+10,9.02584169e+09,2.48868078e+09,1.08875183e+09,5.98604362e+08,2.70154619e+08,1.28124246e+08,7.05619824e+07,3.34584073e+07,1.66774306e+07,7.16200332e+06,2.40027188e+06,8.04227697e+05,2.00054272e+05,3.97136147e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.21714749e+11,8.42130508e+10,6.80939857e+10,1.03776732e+10,2.88596213e+09,1.26715088e+09,6.92562499e+08,3.11708655e+08,1.49513907e+08,8.10992427e+07,3.90767632e+07,1.94451931e+07,8.29218123e+06,2.74621718e+06,9.14215017e+05,2.27591966e+05,4.46090052e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
