# Legacy Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.80966406e+08,1.24881445e+08,9.95641953e+07,1.58648086e+07,4.08472925e+06,1.75120618e+06,9.94701172e+05,4.63906128e+05,2.03262390e+05,1.21812088e+05,5.17524452e+04,2.59048691e+04,1.18171988e+04,4.29652739e+03,1.56955040e+03,3.91972810e+02,8.63421708e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.87483250e+08,1.29644203e+08,1.04042664e+08,1.66458906e+07,4.31512500e+06,1.83263440e+06,1.05127405e+06,4.87875977e+05,2.11601746e+05,1.30937332e+05,5.51097488e+04,2.77491646e+04,1.25030251e+04,4.57353687e+03,1.59392405e+03,3.93210709e+02,8.50926489e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,1.95118641e+08,1.34945828e+08,1.08530258e+08,1.71323125e+07,4.52803223e+06,1.94072729e+06,1.09872095e+06,5.05473328e+05,2.25372345e+05,1.34578934e+05,5.87497597e+04,2.94970264e+04,1.30927477e+04,4.65845442e+03,1.60178745e+03,3.96098107e+02,8.33359286e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,2.06153922e+08,1.42607500e+08,1.14983406e+08,1.78629277e+07,4.83145654e+06,2.09332104e+06,1.16687463e+06,5.31237793e+05,2.44813446e+05,1.40065247e+05,6.39124260e+04,3.19830132e+04,1.39455357e+04,4.79856110e+03,1.62261367e+03,4.02473330e+02,8.14359039e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,2.18077703e+08,1.50876859e+08,1.21877438e+08,1.87113203e+07,5.14773633e+06,2.24782422e+06,1.23897192e+06,5.59729187e+05,2.64192627e+05,1.46514801e+05,6.90415497e+04,3.44578972e+04,1.48300743e+04,4.98211479e+03,1.66474521e+03,4.13988024e+02,8.19338858e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,2.30033531e+08,1.59170516e+08,1.28806742e+08,1.95496855e+07,5.46757910e+06,2.40534521e+06,1.31158203e+06,5.88119446e+05,2.84046936e+05,1.52864410e+05,7.43046417e+04,3.69861259e+04,1.57194653e+04,5.16134596e+03,1.70504677e+03,4.24849510e+02,8.21254551e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,2.42178453e+08,1.67597312e+08,1.35868094e+08,2.03847441e+07,5.79610303e+06,2.56879858e+06,1.38578137e+06,6.16730652e+05,3.04772095e+05,1.59157516e+05,7.98086472e+04,3.96164246e+04,1.66271038e+04,5.33655882e+03,1.74298990e+03,4.35125440e+02,8.19896385e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,2.54182047e+08,1.75927438e+08,1.42854938e+08,2.12042441e+07,6.12223828e+06,2.73180396e+06,1.45927539e+06,6.44910278e+05,3.25496368e+05,1.65319748e+05,8.53193359e+04,4.22406311e+04,1.75240211e+04,5.50828075e+03,1.78034282e+03,4.45194364e+02,8.19384083e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,2.66285969e+08,1.84326859e+08,1.49922984e+08,2.20143281e+07,6.45475488e+06,2.89961182e+06,1.53381665e+06,6.73094421e+05,3.46954620e+05,1.71377991e+05,9.10355682e+04,4.49489136e+04,1.84322968e+04,5.67482901e+03,1.81513953e+03,4.54623908e+02,8.17412362e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.77164875e+08,1.92027219e+08,1.56462281e+08,2.30467266e+07,6.78795752e+06,3.04702344e+06,1.59812146e+06,7.12040222e+05,3.66034149e+05,1.79864044e+05,9.62429733e+04,4.73098412e+04,1.92403030e+04,5.85668182e+03,1.85110474e+03,4.63299274e+02,8.14384595e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
