# Irene Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,9.49067551e+08,7.31263462e+08,5.63444673e+08,2.08666196e+08,9.28310614e+07,5.35412004e+07,3.47154600e+07,1.69504741e+07,8.19386578e+06,4.16001730e+06,1.81253655e+06,7.99939423e+05,3.12354250e+05,1.03924535e+05,3.08696758e+04,7.13281969e+03,1.46860563e+03,2.73203326e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,1.93870215e+09,1.49461039e+09,1.15224634e+09,4.26923420e+08,1.90455764e+08,1.09813681e+08,7.11737794e+07,3.47441889e+07,1.68316467e+07,8.54788133e+06,3.73079628e+06,1.64187958e+06,6.36897933e+05,2.10383561e+05,6.18797516e+04,1.42392559e+04,2.91117084e+03,5.41472360e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,2.97736389e+09,2.29592105e+09,1.77044411e+09,6.55743284e+08,2.93781286e+08,1.69372449e+08,1.09592541e+08,5.34947680e+07,2.59973648e+07,1.31599212e+07,5.77377835e+06,2.53008223e+06,9.73447506e+05,3.18509075e+05,9.30436762e+04,2.13390468e+04,4.32358563e+03,8.04500347e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,4.07618489e+09,3.14378997e+09,2.42467377e+09,8.97574975e+08,4.03950792e+08,2.32877061e+08,1.50390547e+08,7.34068843e+07,3.57940997e+07,1.80461842e+07,7.96498452e+06,3.47435962e+06,1.32554792e+06,4.29432886e+05,1.24691966e+05,2.85074535e+04,5.72084230e+03,1.06372680e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,5.23748855e+09,4.03999778e+09,3.11630034e+09,1.15294187e+09,5.21142781e+08,3.00429545e+08,1.93642475e+08,9.45166756e+07,4.62358902e+07,2.32161290e+07,1.03070634e+07,4.47628006e+06,1.69422202e+06,5.43725041e+05,1.57035412e+05,3.58002749e+04,7.11956386e+03,1.32184128e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,6.46190415e+09,4.98504137e+09,3.84571560e+09,1.42196314e+09,6.45492575e+08,3.72107930e+08,2.39383948e+08,1.16841516e+08,5.73369087e+07,2.86730563e+07,1.28039016e+07,5.53674611e+06,2.07939615e+06,6.61263931e+05,1.90031864e+05,4.32074962e+04,8.51842477e+03,1.57987653e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,7.74959447e+09,5.97905424e+09,4.61302827e+09,1.70466095e+09,7.77069717e+08,4.47952338e+08,2.87629899e+08,1.40388680e+08,6.91049462e+07,3.44180565e+07,1.54577936e+07,6.65615989e+06,2.48093677e+06,7.81955496e+05,2.23653364e+05,5.07230681e+04,9.91684285e+03,1.83818947e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,9.10049072e+09,7.02199068e+09,5.41820970e+09,2.00100764e+09,9.15918035e+08,5.27987950e+08,3.38386137e+08,1.65161000e+08,8.15454515e+07,4.04511731e+07,1.82704955e+07,7.83471130e+06,2.89865078e+06,9.05696259e+05,2.57870508e+05,5.83407547e+04,1.13142676e+04,2.09667030e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.05138366e+10,8.11369927e+09,6.26147718e+09,2.31161648e+09,1.06202749e+09,6.12181029e+08,3.91685784e+08,1.91240962e+08,9.46585070e+07,4.67833074e+07,2.12362673e+07,9.06971331e+06,3.33195356e+06,1.03249505e+06,2.92651203e+05,6.60472601e+04,1.27080761e+04,2.35468587e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
