# Legacy Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.54759629e+07,1.19118770e+07,9.16860254e+06,3.38976807e+06,1.50643164e+06,8.69383423e+05,5.62940552e+05,2.74988098e+05,1.32787018e+05,6.70606079e+04,2.93019180e+04,1.29472017e+04,5.08239365e+03,1.69951212e+03,5.12586951e+02,1.19135708e+02,2.46734265e+01,4.59568761e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.61596240e+07,1.24635732e+07,9.61288770e+06,3.56577222e+06,1.58793726e+06,9.15323364e+05,5.94241516e+05,2.90027740e+05,1.40341858e+05,7.16066437e+04,3.11159706e+04,1.37174473e+04,5.32941532e+03,1.76463926e+03,5.16402304e+02,1.18624963e+02,2.42800973e+01,4.51109046e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,1.68281934e+07,1.29813223e+07,1.00138330e+07,3.70946802e+06,1.66621924e+06,9.60425842e+05,6.21035706e+05,3.03096039e+05,1.47584152e+05,7.46554794e+04,3.28260155e+04,1.43472223e+04,5.48870659e+03,1.78399467e+03,5.17266810e+02,1.18256226e+02,2.38054059e+01,4.43120999e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,1.77938672e+07,1.37290352e+07,1.05927607e+07,3.91786133e+06,1.77796509e+06,1.02486658e+06,6.59589783e+05,3.21923309e+05,1.57939804e+05,7.90791931e+04,3.52733917e+04,1.52595348e+04,5.72961330e+03,1.82018936e+03,5.21530747e+02,1.18403487e+02,2.32750904e+01,4.33639018e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.88334961e+07,1.45332598e+07,1.12148926e+07,4.14319434e+06,1.89435144e+06,1.09195361e+06,7.00343628e+05,3.41813843e+05,1.68617996e+05,8.37962265e+04,3.77668076e+04,1.62163754e+04,6.00706625e+03,1.87727070e+03,5.33412158e+02,1.20543383e+02,2.33001281e+01,4.30449098e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.98766289e+07,1.53403359e+07,1.18393281e+07,4.36903613e+06,2.01204846e+06,1.15979602e+06,7.41387390e+05,3.61845917e+05,1.79441711e+05,8.85352783e+04,4.03024940e+04,1.71809750e+04,6.28207111e+03,1.93246806e+03,5.44702768e+02,1.22550681e+02,2.33239271e+01,4.29932540e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,2.09372207e+07,1.61611143e+07,1.24745117e+07,4.59833887e+06,2.13294434e+06,1.22948328e+06,7.83328247e+05,3.82315369e+05,1.90592209e+05,9.33622818e+04,4.29254379e+04,1.81678905e+04,6.55706549e+03,1.98549461e+03,5.55178881e+02,1.24356672e+02,2.33047660e+01,4.30184882e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,2.19857930e+07,1.69726504e+07,1.31025791e+07,4.82492188e+06,2.25296069e+06,1.29866382e+06,8.24870239e+05,4.02590149e+05,2.01675735e+05,9.81377411e+04,4.55376358e+04,1.91459045e+04,6.82762289e+03,2.03755784e+03,5.65537870e+02,1.26162410e+02,2.33091731e+01,4.30858321e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,2.30440781e+07,1.77918945e+07,1.37367998e+07,5.05330029e+06,2.37531616e+06,1.36918970e+06,8.67004211e+05,4.23153778e+05,2.13007736e+05,1.02966125e+05,4.82190857e+04,2.01391392e+04,7.09617615e+03,2.08713388e+03,5.75033486e+02,1.27760455e+02,2.32716482e+01,4.30744374e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.40674531e+07,1.85983945e+07,1.43721182e+07,5.30032861e+06,2.49499927e+06,1.43724646e+06,9.09650818e+05,4.46178345e+05,2.24094147e+05,1.08105034e+05,5.06399803e+04,2.10275974e+04,7.34725094e+03,2.13949275e+03,5.84323108e+02,1.29123077e+02,2.31886394e+01,4.29307576e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,2.50104141e+07,1.93613164e+07,1.49881943e+07,5.56552686e+06,2.60579517e+06,1.49893787e+06,9.51403931e+05,4.71780945e+05,2.34325027e+05,1.13497795e+05,5.25762863e+04,2.17385311e+04,7.57223892e+03,2.19768143e+03,5.94385087e+02,1.30470365e+02,2.31288094e+01,4.27701697e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,2.59444746e+07,2.01200000e+07,1.56030898e+07,5.83362842e+06,2.71668994e+06,1.56050940e+06,9.93306335e+05,4.97961792e+05,2.44588394e+05,1.18947685e+05,5.44900436e+04,2.24338589e+04,7.79037619e+03,2.25348783e+03,6.03569329e+02,1.31605312e+02,2.30308548e+01,4.25355136e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,2.68587461e+07,2.08641992e+07,1.62075459e+07,6.09930371e+06,2.82588940e+06,1.62103589e+06,1.03463623e+06,5.24105835e+05,2.54707993e+05,1.24346367e+05,5.63609085e+04,2.31098022e+04,8.00154209e+03,2.30724835e+03,6.12257481e+02,1.32654563e+02,2.29314324e+01,4.22989484e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,2.77582324e+07,2.15993281e+07,1.68069219e+07,6.36624805e+06,2.93449658e+06,1.68105579e+06,1.07585803e+06,5.50681580e+05,2.64796112e+05,1.29768753e+05,5.81972656e+04,2.37658939e+04,8.20455647e+03,2.35831332e+03,6.20032787e+02,1.33490726e+02,2.27956809e+01,4.19924129e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,2.86427402e+07,2.23269922e+07,1.74038535e+07,6.63752588e+06,3.04316479e+06,1.74083435e+06,1.11728357e+06,5.78143738e+05,2.74926819e+05,1.35276611e+05,5.99964142e+04,2.43964558e+04,8.39638424e+03,2.40547204e+03,6.26326621e+02,1.33955777e+02,2.25850437e+01,4.15417366e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,2.95096152e+07,2.30414961e+07,1.79911230e+07,6.90635107e+06,3.15023535e+06,1.79963989e+06,1.15815955e+06,6.05551025e+05,2.84920593e+05,1.40732712e+05,6.17576027e+04,2.50108261e+04,8.58260727e+03,2.45106959e+03,6.32324517e+02,1.34388149e+02,2.23845635e+01,4.11122246e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,3.03456328e+07,2.37323340e+07,1.85602871e+07,7.16918359e+06,3.25420190e+06,1.85664038e+06,1.19792383e+06,6.32562683e+05,2.94639343e+05,1.46065750e+05,6.34538231e+04,2.55985584e+04,8.75980377e+03,2.49416518e+03,6.37805760e+02,1.34742752e+02,2.21863873e+01,4.06891201e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,3.11700977e+07,2.44181875e+07,1.91288223e+07,7.43705273e+06,3.35855249e+06,1.91357947e+06,1.23800916e+06,6.60546448e+05,3.04429108e+05,1.51498215e+05,6.51200867e+04,2.61643410e+04,8.92721081e+03,2.53382945e+03,6.41995609e+02,1.34777889e+02,2.19258796e+01,4.01474629e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,3.19843574e+07,2.50982754e+07,1.96947363e+07,7.70706445e+06,3.46270776e+06,1.97025427e+06,1.27813135e+06,6.89061157e+05,3.14223114e+05,1.56972183e+05,6.67619019e+04,2.67154255e+04,9.08859062e+03,2.57151675e+03,6.45563066e+02,1.34678930e+02,2.16475297e+01,3.95731954e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.27530781e+07,2.57192773e+07,2.01960039e+07,7.94168799e+06,3.56125293e+06,2.02423792e+06,1.31526794e+06,7.09190369e+05,3.22638794e+05,1.61474213e+05,6.81846085e+04,2.71777573e+04,9.20644665e+03,2.59972405e+03,6.47857606e+02,1.34383649e+02,2.14854591e+01,3.88529943e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.35203164e+07,2.63202773e+07,2.06667793e+07,8.15849658e+06,3.66048828e+06,2.07878491e+06,1.35205786e+06,7.24263611e+05,3.30447601e+05,1.65491898e+05,6.95022812e+04,2.75898399e+04,9.29567146e+03,2.62151527e+03,6.48900867e+02,1.33808851e+02,2.13650633e+01,3.79445194e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
