# Irene Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Intg.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.90278943e+09,9.65167472e+08,3.39719155e+08,1.39694099e+08,6.29038800e+07,3.15109753e+07,1.59332088e+06,3.97980866e+04,3.89823772e+03,7.50277045e+02,1.97855303e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.88151902e+09,1.97943122e+09,6.93854032e+08,2.86642173e+08,1.28077239e+08,6.42148216e+07,3.22473847e+06,7.89536981e+04,7.65218954e+03,1.45803089e+03,3.83333468e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,5.92095158e+09,3.03512581e+09,1.06233340e+09,4.39610047e+08,1.95237908e+08,9.76131648e+07,4.88046712e+06,1.17358833e+05,1.12457468e+04,2.11674962e+03,5.55943942e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,8.03033744e+09,4.13101840e+09,1.44693049e+09,5.98646954e+08,2.65054158e+08,1.31825115e+08,6.55865684e+06,1.55201165e+05,1.46953454e+04,2.73351018e+03,7.17324004e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.02230646e+10,5.26601078e+09,1.84964108e+09,7.63982777e+08,3.37968031e+08,1.67171936e+08,8.26970379e+06,1.92883429e+05,1.80479840e+04,3.32150517e+03,8.70719162e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.25116850e+10,6.43818786e+09,2.27193415e+09,9.35476952e+08,4.13919207e+08,2.03864945e+08,1.00206478e+07,2.30466544e+05,2.13054376e+04,3.88355077e+03,1.01674780e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.48983459e+10,7.64545942e+09,2.71608407e+09,1.11292429e+09,4.92811217e+08,2.42050431e+08,1.18153931e+07,2.68022790e+05,2.44693788e+04,4.42111354e+03,1.15568890e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.73791178e+10,8.88561189e+09,3.18328680e+09,1.29609049e+09,5.74530846e+08,2.81727996e+08,1.36551312e+07,3.05544562e+05,2.75525406e+04,4.93557598e+03,1.28779929e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.99491504e+10,1.01663672e+10,3.67148758e+09,1.48552080e+09,6.59002455e+08,3.22859836e+08,1.55386673e+07,3.42856320e+05,3.05626274e+04,5.42695684e+03,1.41324975e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
