# Legacy Model output file: ../../unitTests/Legacy/Ax8max_atEpoch_Intg.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Max
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.09172600e+07,1.56215000e+07,5.53698400e+06,2.25924025e+06,1.02530100e+06,5.11935406e+05,2.61888301e+04,6.68973145e+02,6.62447891e+01,1.28343391e+01,3.40499735e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.25090580e+07,1.65507510e+07,5.78698850e+06,2.39723000e+06,1.07149512e+06,5.38430500e+05,2.69218691e+04,6.57629822e+02,6.36964760e+01,1.21748972e+01,3.19017982e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.34485900e+07,1.72580380e+07,6.01750650e+06,2.50103875e+06,1.10095000e+06,5.51697625e+05,2.74587129e+04,6.47557129e+02,6.14352417e+01,1.14168959e+01,2.99242520e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.45325000e+07,1.79317840e+07,6.26514000e+06,2.59789075e+06,1.13773912e+06,5.61580562e+05,2.77322461e+04,6.32614136e+02,5.83500099e+01,1.05403967e+01,2.76125765e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.57803560e+07,1.85979660e+07,6.55476200e+06,2.70333900e+06,1.18946900e+06,5.78817688e+05,2.82074062e+04,6.28796814e+02,5.66366005e+01,1.00182867e+01,2.61807728e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.73105560e+07,1.92351160e+07,6.86892500e+06,2.80785550e+06,1.24099362e+06,5.99409750e+05,2.88274961e+04,6.27278748e+02,5.51180267e+01,9.58154774e+00,2.49509501e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,3.89767840e+07,1.98374500e+07,7.20750950e+06,2.90861650e+06,1.29071200e+06,6.23690438e+05,2.95372988e+04,6.25491638e+02,5.34637489e+01,9.15330410e+00,2.37252569e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,4.05785840e+07,2.04049380e+07,7.59748900e+06,3.00629525e+06,1.33902188e+06,6.49159188e+05,3.02875488e+04,6.26383301e+02,5.20009651e+01,8.76545620e+00,2.25884485e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.21138040e+07,2.09334740e+07,7.97593400e+06,3.09924400e+06,1.38496550e+06,6.73426188e+05,3.10370488e+04,6.24342346e+02,5.07710876e+01,8.38329029e+00,2.14483428e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.35539560e+07,2.17583740e+07,8.29742650e+06,3.21510025e+06,1.43075500e+06,6.97635250e+05,3.17474941e+04,6.19382996e+02,4.95651436e+01,7.99607277e+00,2.03684807e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
