# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Diff.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.23571194e+09,2.62401266e+09,9.92567197e+08,2.65547343e+08,6.93325337e+07,2.26413405e+07,2.07559357e+07,7.92208556e+06,4.75883692e+06,1.58670921e+06,1.05337245e+06,7.02105747e+05,4.38068307e+05,1.99592681e+05,8.28086279e+04,2.06716513e+04,3.88813331e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,8.59330953e+09,5.32857462e+09,2.01592634e+09,5.41360508e+08,1.41530853e+08,4.64116036e+07,4.24912156e+07,1.61915384e+07,9.83323550e+06,3.23363878e+06,2.16825545e+06,1.44236542e+06,8.95657863e+05,4.06386706e+05,1.66743845e+05,4.16564507e+04,7.75515637e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,1.30944284e+10,8.12704169e+09,3.07511078e+09,8.28796098e+08,2.16949819e+08,7.14306323e+07,6.53139869e+07,2.48484306e+07,1.52515248e+07,4.94868785e+06,3.35046421e+06,2.22443509e+06,1.37495143e+06,6.21354271e+05,2.52266474e+05,6.30649949e+04,1.16371261e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.77959812e+10,1.10549191e+10,4.18407827e+09,1.13163659e+09,2.96069626e+08,9.83061989e+07,8.95278470e+07,3.40025989e+07,2.10637118e+07,6.76707002e+06,4.61326995e+06,3.05817029e+06,1.88113332e+06,8.47114979e+05,3.40406177e+05,8.51343726e+04,1.55746623e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,2.27364577e+10,1.41360974e+10,5.35307624e+09,1.45250283e+09,3.78386372e+08,1.27892593e+08,1.15330912e+08,4.37193101e+07,2.72559025e+07,8.73365592e+06,5.96007730e+06,3.94856741e+06,2.41577353e+06,1.08518895e+06,4.31826450e+05,1.07982959e+05,1.95757342e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,2.79197070e+10,1.73729916e+10,6.58383637e+09,1.79179355e+09,4.63203678e+08,1.60672874e+08,1.42750049e+08,5.40008483e+07,3.37953393e+07,1.08707572e+07,7.38785931e+06,4.89527326e+06,2.97762833e+06,1.33552801e+06,5.26556090e+05,1.31585102e+05,2.36362164e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,3.33392390e+10,2.07624190e+10,7.87572053e+09,2.14965594e+09,5.50058952e+08,1.97040648e+08,1.71827828e+08,6.48531054e+07,4.06827398e+07,1.31931603e+07,8.89801955e+06,5.89977989e+06,3.56618102e+06,1.59791371e+06,6.24254009e+05,1.55842383e+05,2.77300346e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,3.89916334e+10,2.43024157e+10,9.22809827e+09,2.52599024e+09,6.38803666e+08,2.37109512e+08,2.02564058e+08,7.62733634e+07,4.79155118e+07,1.57042706e+07,1.04903189e+07,6.96202556e+06,4.18109267e+06,1.87218492e+06,7.24831688e+05,1.80731580e+05,3.18549754e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.48755246e+10,2.79916514e+10,1.06401760e+10,2.92042667e+09,7.29564730e+08,2.80726011e+08,2.34915864e+08,8.82496774e+07,5.54871883e+07,1.83966941e+07,1.21628220e+07,8.08041813e+06,4.82210831e+06,2.15820100e+06,8.28409620e+05,2.06292256e+05,3.60286304e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,5.09847812e+10,3.18264840e+10,1.21107026e+10,3.33270094e+09,8.22143260e+08,3.27992256e+08,2.68870334e+08,1.00774392e+08,6.33919672e+07,2.12730123e+07,1.39146070e+07,9.25446623e+06,5.48860205e+06,2.45567572e+06,9.34840125e+05,2.32485836e+05,4.02449774e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,5.73145967e+10,3.58042047e+10,1.36388535e+10,3.76270946e+09,9.16315808e+08,3.79075928e+08,3.04431501e+08,1.13844867e+08,7.16268644e+07,2.43386220e+07,1.57455382e+07,1.04842669e+07,6.18011484e+06,2.76439968e+06,1.04397030e+06,2.59270689e+05,4.44959692e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,6.38597650e+10,3.99218507e+10,1.52237013e+10,4.21031743e+09,1.01185362e+09,4.34144511e+08,3.41600726e+08,1.27457503e+08,8.01882979e+07,2.75987453e+07,1.76553384e+07,1.17698208e+07,6.89614327e+06,3.08414196e+06,1.15564461e+06,2.86604865e+05,4.87738151e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,7.06142395e+10,4.41759120e+10,1.68641079e+10,4.67532818e+09,1.10851637e+09,4.93361150e+08,3.80374204e+08,1.41606855e+08,8.90714814e+07,3.10581867e+07,1.96434659e+07,1.31109382e+07,7.63608983e+06,3.41462933e+06,1.26969690e+06,3.14444097e+05,5.30706488e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,7.75718058e+10,4.85626139e+10,1.85587218e+10,5.15742577e+09,1.20612892e+09,5.56806402e+08,4.20732644e+08,1.56283554e+08,9.82697140e+07,3.47183958e+07,2.17087257e+07,1.45068872e+07,8.39930359e+06,3.75556196e+06,1.38600078e+06,3.42756668e+05,5.73826212e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,8.47262036e+10,5.30781470e+10,2.03061639e+10,5.65627721e+09,1.30452298e+09,6.24553311e+08,4.62654795e+08,1.71477697e+08,1.07776045e+08,3.85804637e+07,2.38498343e+07,1.59568739e+07,9.18512452e+06,4.10663530e+06,1.50443474e+06,3.71512359e+05,6.17063143e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,9.20733151e+10,5.77203985e+10,2.21063623e+10,6.17179166e+09,1.40413649e+09,6.96270719e+08,5.06131570e+08,1.87209323e+08,1.17586090e+08,4.26457340e+07,2.60683756e+07,1.74601490e+07,9.99318921e+06,4.46741461e+06,1.62478627e+06,4.00639067e+05,6.60391594e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,9.96139761e+10,6.24906422e+10,2.39619661e+10,6.70389749e+09,1.50770446e+09,7.69814682e+08,5.51096440e+08,2.03569315e+08,1.27691764e+08,4.68951419e+07,2.83709804e+07,1.90128392e+07,1.08236678e+07,4.83687839e+06,1.74676042e+06,4.29997637e+05,7.04015586e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,1.07347615e+11,6.73890627e+10,2.58747614e+10,7.25240430e+09,1.61749114e+09,8.43379917e+08,5.97481078e+08,2.20628710e+08,1.38084190e+08,5.13106398e+07,3.07624418e+07,2.06113020e+07,1.16765372e+07,5.21413748e+06,1.87012007e+06,4.59484451e+05,7.48114829e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,1.15270711e+11,7.24139269e+10,2.78447518e+10,7.81731053e+09,1.73379472e+09,9.16788517e+08,6.45288439e+08,2.38407128e+08,1.48761051e+08,5.58956389e+07,3.32443952e+07,2.22553143e+07,1.25514856e+07,5.59883450e+06,1.99470086e+06,4.89060554e+05,7.92644288e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,1.23380066e+11,7.75634095e+10,2.98715382e+10,8.39847831e+09,1.85674271e+09,9.89955095e+08,6.94507785e+08,2.56913393e+08,1.59718023e+08,6.06512369e+07,3.58168455e+07,2.39442853e+07,1.34481032e+07,5.99078911e+06,2.12044089e+06,5.18708679e+05,8.37575470e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,1.31681828e+11,8.28416497e+10,3.19570669e+10,8.99648928e+09,1.98660992e+09,1.06288366e+09,7.45190064e+08,2.76173623e+08,1.70965555e+08,6.55834578e+07,3.84832884e+07,2.56798426e+07,1.43671690e+07,6.39031719e+06,2.24738333e+06,5.48423260e+05,8.82892612e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,1.40193934e+11,8.82604653e+10,3.41066130e+10,9.61287314e+09,2.12398999e+09,1.13561639e+09,7.97467839e+08,2.96251918e+08,1.82531041e+08,7.07074802e+07,4.12521134e+07,2.74663041e+07,1.53108078e+07,6.79814330e+06,2.37571227e+06,5.78247788e+05,9.28650252e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,1.48922335e+11,9.38249599e+10,3.63239649e+10,1.02486902e+10,2.26988476e+09,1.20781402e+09,8.51438637e+08,3.17235845e+08,1.94427908e+08,7.60413793e+07,4.41321320e+07,2.93061283e+07,1.62798191e+07,7.21417423e+06,2.50521559e+06,6.08111757e+05,9.74812961e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,1.57861420e+11,9.95317209e+10,3.86080140e+10,1.09036214e+10,2.42435844e+09,1.27939659e+09,9.07076500e+08,3.39124381e+08,2.06649288e+08,8.15840191e+07,4.71225430e+07,3.11982822e+07,1.72735866e+07,7.63810630e+06,2.63579417e+06,6.37991973e+05,1.02138281e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,1.67008928e+11,1.05378573e+11,4.09570580e+10,1.15771777e+10,2.58697570e+09,1.35057413e+09,9.64335979e+08,3.61880871e+08,2.19188769e+08,8.73275294e+07,5.02191406e+07,3.31415701e+07,1.82917157e+07,8.07003463e+06,2.76763581e+06,6.67961785e+05,1.06842840e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,1.76361479e+11,1.11363687e+11,4.33708317e+10,1.22692832e+10,2.75794001e+09,1.42123573e+09,1.02321255e+09,3.85517748e+08,2.32043312e+08,9.32737942e+07,5.34226865e+07,3.51356058e+07,1.93338711e+07,8.50971904e+06,2.90063743e+06,6.97995646e+05,1.11589336e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,1.85914224e+11,1.17484285e+11,4.58487151e+10,1.29797557e+10,2.93743976e+09,1.49125916e+09,1.08369292e+09,4.10044667e+08,2.45207898e+08,9.94238920e+07,5.67335159e+07,3.71796900e+07,2.03995522e+07,8.95684973e+06,3.03467687e+06,7.28064376e+05,1.16370824e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,1.95662980e+11,1.23738220e+11,4.83906384e+10,1.37085729e+10,3.12582938e+09,1.56046205e+09,1.14577849e+09,4.35484998e+08,2.58679506e+08,1.05781731e+08,6.01533825e+07,3.92734886e+07,2.14883692e+07,9.41108861e+06,3.16958778e+06,7.58122971e+05,1.21179876e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,2.05603143e+11,1.30122616e+11,5.09955913e+10,1.44554463e+10,3.32313079e+09,1.62880222e+09,1.20944524e+09,4.61835613e+08,2.72452178e+08,1.12345876e+08,6.36813205e+07,4.14160942e+07,2.25998053e+07,9.87220949e+06,3.30531786e+06,7.88165176e+05,1.26014379e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,2.15730869e+11,1.36635299e+11,5.36631819e+10,1.52202610e+10,3.52954615e+09,1.69617508e+09,1.27468530e+09,4.89108407e+08,2.86522186e+08,1.19117959e+08,6.73179192e+07,4.36069977e+07,2.37334661e+07,1.03399596e+07,3.44177032e+06,8.18168986e+05,1.30870554e+05,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
