# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,6.95631484e+07,4.30513945e+07,1.62819248e+07,4.33894873e+06,1.13130920e+06,3.67832428e+05,3.37665283e+05,1.29098557e+05,7.66639633e+04,2.59354382e+04,1.70383472e+04,1.13799706e+04,7.13604593e+03,3.26549697e+03,1.37070203e+03,3.41890752e+02,6.50008544e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,7.16272578e+07,4.44156992e+07,1.68036504e+07,4.51262988e+06,1.17977539e+06,3.86878967e+05,3.54199280e+05,1.34970978e+05,8.19639435e+04,2.69548721e+04,1.80740700e+04,1.20235558e+04,7.46623182e+03,3.38759279e+03,1.38958573e+03,3.47164333e+02,6.46035969e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,7.36259844e+07,4.57363594e+07,1.73083184e+07,4.68114160e+06,1.22683508e+06,4.05463074e+05,3.70309998e+05,1.40677429e+05,8.71826630e+04,2.79427757e+04,1.90886936e+04,1.26517649e+04,7.78675222e+03,3.50554085e+03,1.40825462e+03,3.52328926e+02,6.42971620e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,7.64113203e+07,4.75458828e+07,1.79978320e+07,4.90004541e+06,1.28713062e+06,4.28504608e+05,3.90449097e+05,1.47885666e+05,9.34269943e+04,2.92255306e+04,2.03182678e+04,1.34172258e+04,8.18970108e+03,3.66004515e+03,1.44249988e+03,3.61289263e+02,6.51018396e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,8.03070938e+07,5.00500234e+07,1.89677480e+07,5.19463672e+06,1.35019604e+06,4.67347534e+05,4.16679504e+05,1.57253250e+05,1.00312553e+05,3.13872032e+04,2.17752533e+04,1.43739452e+04,8.68302727e+03,3.86531115e+03,1.49548995e+03,3.74356598e+02,6.61493540e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,8.43754688e+07,5.26559258e+07,1.99988535e+07,5.50090527e+06,1.39369568e+06,5.18865662e+05,4.43422729e+05,1.66637146e+05,1.06093819e+05,3.41656647e+04,2.31183281e+04,1.53059607e+04,9.13831425e+03,4.07048845e+03,1.55185270e+03,3.87263000e+02,6.72197193e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,8.83994922e+07,5.52405391e+07,2.10264805e+07,5.80878467e+06,1.43354761e+06,5.73810303e+05,4.70548401e+05,1.76080765e+05,1.11887390e+05,3.70710373e+04,2.44744015e+04,1.62508984e+04,9.59017754e+03,4.27414608e+03,1.60580170e+03,3.99475038e+02,6.81296736e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,9.22515859e+07,5.77403828e+07,2.20363281e+07,6.11996240e+06,1.46162842e+06,6.38448914e+05,4.98710968e+05,1.85661163e+05,1.17692642e+05,4.03424072e+04,2.58642769e+04,1.72326584e+04,1.00282469e+04,4.47204447e+03,1.65079582e+03,4.09101039e+02,6.83309436e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,9.61615469e+07,6.02594961e+07,2.30429258e+07,6.42451318e+06,1.49652844e+06,6.97179749e+05,5.25829956e+05,1.95014069e+05,1.23399734e+05,4.33612595e+04,2.72123642e+04,1.81755276e+04,1.04688063e+04,4.67032862e+03,1.70179319e+03,4.20538813e+02,6.91670701e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,9.99681719e+07,6.27150352e+07,2.40263359e+07,6.72336865e+06,1.52884058e+06,7.56703674e+05,5.52563660e+05,2.04196426e+05,1.28989502e+05,4.63862000e+04,2.85377407e+04,1.91042271e+04,1.08983831e+04,4.86354113e+03,1.75080478e+03,4.31483775e+02,6.99547753e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
