# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Diff.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.00870656e+08,1.13709728e+08,3.01370340e+07,9.30615000e+06,3.53112925e+06,1.86458238e+06,5.45727031e+04,6.46954956e+02,3.96519661e+01,5.02774906e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.03392000e+08,1.19717976e+08,3.14062860e+07,1.00408330e+07,3.65884900e+06,1.94758700e+06,5.73912109e+04,6.60483032e+02,3.96718636e+01,4.88873005e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.05477952e+08,1.25565432e+08,3.25231000e+07,1.08628510e+07,3.78393925e+06,2.02971112e+06,5.99392539e+04,6.81583923e+02,3.98502655e+01,4.77554655e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.16429568e+08,1.31221504e+08,3.35721160e+07,1.14481180e+07,4.09096800e+06,2.11218250e+06,6.23720352e+04,7.04901794e+02,4.02825928e+01,4.69905949e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.37904288e+08,1.34386016e+08,3.56225800e+07,1.19217100e+07,4.43564400e+06,2.19503900e+06,6.43405547e+04,7.22113647e+02,4.02132607e+01,4.55520487e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.61033536e+08,1.36914672e+08,3.77092440e+07,1.23428620e+07,4.66554750e+06,2.34089025e+06,6.63601797e+04,7.35615051e+02,3.99638023e+01,4.37780380e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,3.82887584e+08,1.39586800e+08,3.97850160e+07,1.27226570e+07,4.86621050e+06,2.48833925e+06,6.91420000e+04,7.45141357e+02,3.95533257e+01,4.24750376e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,4.00228160e+08,1.43512000e+08,4.15825440e+07,1.29870990e+07,5.03541650e+06,2.61016675e+06,7.15726406e+04,7.39327087e+02,3.84138756e+01,3.99183750e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.15043680e+08,1.48436432e+08,4.33233720e+07,1.34962020e+07,5.22854350e+06,2.74636250e+06,7.45436562e+04,7.47453613e+02,3.81548958e+01,3.86551046e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.25841760e+08,1.54640256e+08,4.48563520e+07,1.40971260e+07,5.41783150e+06,2.87947225e+06,7.72621797e+04,7.60158569e+02,3.80084991e+01,3.74847412e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,4.29176768e+08,1.63900672e+08,4.58818720e+07,1.49858400e+07,5.60255850e+06,3.00883750e+06,7.97833672e+04,7.73732666e+02,3.80225105e+01,3.64036870e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,4.31721536e+08,1.73009408e+08,4.67791080e+07,1.58581520e+07,5.78526500e+06,3.13128775e+06,8.19012656e+04,7.83997620e+02,3.80806541e+01,3.49227881e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,4.33707712e+08,1.81744080e+08,4.76363960e+07,1.64699430e+07,6.13404400e+06,3.24926650e+06,8.38240234e+04,7.95885803e+02,3.81274681e+01,3.35482526e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,4.34992128e+08,1.90237440e+08,4.83982280e+07,1.69448620e+07,6.49600800e+06,3.38467400e+06,8.53213125e+04,8.06238281e+02,3.79247017e+01,3.19799638e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,4.38883392e+08,1.98333152e+08,4.91298000e+07,1.73428040e+07,6.81026550e+06,3.54293325e+06,8.81040625e+04,8.20001038e+02,3.77339973e+01,3.06630063e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,4.60810848e+08,2.02899264e+08,5.16087920e+07,1.77066900e+07,7.09351300e+06,3.70604525e+06,9.10841953e+04,8.31462891e+02,3.74466171e+01,2.94984293e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,4.84825856e+08,2.05639808e+08,5.45396000e+07,1.80373780e+07,7.34325300e+06,3.86429400e+06,9.38963281e+04,8.34151428e+02,3.68920517e+01,2.84329891e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,5.07840096e+08,2.06156512e+08,5.77153680e+07,1.83631260e+07,7.54547250e+06,4.01568125e+06,9.61961797e+04,8.18604248e+02,3.58579674e+01,2.69313478e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,5.30291072e+08,2.06189984e+08,6.08138280e+07,1.86519440e+07,7.72245800e+06,4.15760450e+06,9.81082500e+04,8.00519775e+02,3.46413193e+01,2.54054332e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,5.52218624e+08,2.05921920e+08,6.35660320e+07,1.90858560e+07,7.88061450e+06,4.29223550e+06,9.98146172e+04,7.83095703e+02,3.34509277e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,5.68357376e+08,2.07874048e+08,6.59447600e+07,1.96522360e+07,8.01808600e+06,4.41794050e+06,1.01282703e+05,7.65585754e+02,3.23621483e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
