# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,2.56493876e+08,1.77229926e+08,1.22460787e+08,5.82721199e+07,2.64552175e+07,1.55512770e+07,1.13590208e+07,5.41471586e+06,2.87995760e+06,1.37759855e+06,8.14933671e+05,4.48250229e+05,2.15578074e+05,8.27616893e+04,2.63790189e+04,5.90966540e+03,1.10808077e+03,2.05453238e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,5.21709087e+08,3.60828768e+08,2.49559679e+08,1.19048459e+08,5.41376327e+07,3.18657512e+07,2.32726984e+07,1.11004366e+07,5.91535281e+06,2.81706582e+06,1.66944811e+06,9.15646228e+05,4.38535764e+05,1.67541666e+05,5.30508207e+04,1.18628095e+04,2.20995031e+03,4.09693894e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,7.96953706e+08,5.51700422e+08,3.81922116e+08,1.82629573e+08,8.31849988e+07,4.90252355e+07,3.58006767e+07,1.70857626e+07,9.12184554e+06,4.32547455e+06,2.56780399e+06,1.40446743e+06,6.69964001e+05,2.54772029e+05,8.01677320e+04,1.78954774e+04,3.31390058e+03,6.13641921e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.08574674e+09,7.52295557e+08,5.21255297e+08,2.49823591e+08,1.13956492e+08,6.72964978e+07,4.91033469e+07,2.34451167e+07,1.25388301e+07,5.92489014e+06,3.52039845e+06,1.92048575e+06,9.12471308e+05,3.45480498e+05,1.08040322e+05,2.40715375e+04,4.43086930e+03,8.19127474e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.39043794e+09,9.64243125e+08,6.68689042e+08,3.21120651e+08,1.46643998e+08,8.69150517e+07,6.32730166e+07,3.02167962e+07,1.61845544e+07,7.63327354e+06,4.53132396e+06,2.46643149e+06,1.16722470e+06,4.40259944e+05,1.36847657e+05,3.04205346e+04,5.56523710e+03,1.02761947e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.71127891e+09,1.18772217e+09,8.24351453e+08,3.96551465e+08,1.81240935e+08,1.07962348e+08,7.83135186e+07,3.73987804e+07,2.00567391e+07,9.45561286e+06,5.59912448e+06,3.04179436e+06,1.43389413e+06,5.39086595e+05,1.66584143e+05,3.69365353e+04,6.71647238e+03,1.23921901e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,2.04811766e+09,1.42269017e+09,9.88257877e+08,4.76157572e+08,2.17769516e+08,1.30520222e+08,9.42443204e+07,4.49989999e+07,2.41609406e+07,1.13963831e+07,6.72399669e+06,3.64639967e+06,1.71202750e+06,6.41718584e+05,1.97124291e+05,4.35861706e+04,7.87694914e+03,1.45245177e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,2.40079475e+09,1.66904973e+09,1.16035039e+09,5.59918916e+08,2.56221303e+08,1.54603730e+08,1.11064275e+08,5.30165454e+07,2.84970069e+07,1.34560424e+07,7.90556179e+06,4.27997990e+06,2.00143236e+06,7.48074607e+05,2.28440454e+05,5.03636536e+04,9.04598021e+03,1.66717293e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.76909945e+09,1.92662262e+09,1.34048333e+09,6.47749283e+08,2.96555334e+08,1.80163397e+08,1.28751411e+08,6.14414769e+07,3.30590539e+07,1.56311231e+07,9.14277011e+06,4.94210448e+06,2.30211087e+06,8.58201989e+05,2.60586365e+05,5.72862073e+04,1.02286355e+04,1.88433998e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
