# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,4.20108594e+06,2.89993970e+06,2.00177795e+06,9.50040710e+05,4.30558594e+05,2.52748734e+05,1.84637024e+05,8.79593582e+04,4.66897850e+04,2.24373817e+04,1.32482214e+04,7.30902815e+03,3.53051233e+03,1.36229038e+03,4.37213361e+02,9.81397629e+01,1.85267963e+01,3.43579985e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.34871045e+06,3.00772485e+06,2.08024854e+06,9.92363403e+05,4.51282043e+05,2.65627197e+05,1.93997025e+05,9.25311813e+04,4.93088074e+04,2.34825726e+04,1.39162359e+04,7.63264704e+03,3.65542388e+03,1.39643276e+03,4.42087322e+02,9.88490954e+01,1.84092317e+01,3.41264182e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,4.49179590e+06,3.11223608e+06,2.15638086e+06,1.03351440e+06,4.71465057e+05,2.78188568e+05,2.03125534e+05,9.69928284e+04,5.18710251e+04,2.44996662e+04,1.45675764e+04,7.94721842e+03,3.77649856e+03,1.42956626e+03,4.46972668e+02,9.95890275e+01,1.83197502e+01,3.39537952e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,4.68302539e+06,3.25015283e+06,2.25570068e+06,1.08585620e+06,4.96780548e+05,2.93794281e+05,2.14473770e+05,1.02518051e+05,5.50120735e+04,2.57806282e+04,1.53776217e+04,8.34682274e+03,3.93777657e+03,1.47811270e+03,4.56924438e+02,1.01499915e+02,1.84785947e+01,3.40288854e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,4.94340820e+06,3.43635107e+06,2.38873828e+06,1.15394421e+06,5.28935791e+05,3.15247742e+05,2.28948532e+05,1.09460403e+05,5.88874016e+04,2.75332203e+04,1.63755245e+04,8.85378647e+03,4.14579964e+03,1.54550266e+03,4.72161800e+02,1.04368739e+02,1.87536925e+01,3.44662927e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,5.21296582e+06,3.62856836e+06,2.52572021e+06,1.22262463e+06,5.60647827e+05,3.38704102e+05,2.43373825e+05,1.16262260e+05,6.26367493e+04,2.94128971e+04,1.73219948e+04,9.34440613e+03,4.34598064e+03,1.61381245e+03,4.88082796e+02,1.07264511e+02,1.90585703e+01,3.50310444e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,5.48173242e+06,3.82073242e+06,2.66302637e+06,1.29173560e+06,5.92583313e+05,3.62872375e+05,2.57976196e+05,1.23137192e+05,6.64360657e+04,3.13317413e+04,1.82713528e+04,9.83435440e+03,4.54299974e+03,1.68040895e+03,5.03133297e+02,1.09935492e+02,1.93159357e+01,3.55021283e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,5.74622656e+06,4.01153491e+06,2.80052148e+06,1.36180151e+06,6.25036133e+05,3.89056824e+05,2.73050568e+05,1.30203476e+05,7.03706589e+04,3.33606033e+04,1.92243900e+04,1.03191576e+04,4.72811317e+03,1.74065757e+03,5.14871716e+02,1.11719035e+02,1.93666257e+01,3.55754630e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,6.00967529e+06,4.20044971e+06,2.93589502e+06,1.43024304e+06,6.56690002e+05,4.13726685e+05,2.87614532e+05,1.37048019e+05,7.41648712e+04,3.52947006e+04,2.01611099e+04,1.08001814e+04,4.91871452e+03,1.80454290e+03,5.29000282e+02,1.14197046e+02,1.96010731e+01,3.59982532e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,6.26714893e+06,4.38531396e+06,3.06853687e+06,1.49743604e+06,6.87777771e+05,4.38262299e+05,3.01956726e+05,1.43783051e+05,7.79033737e+04,3.72079964e+04,2.10791702e+04,1.12706394e+04,5.10390329e+03,1.86637008e+03,5.42530179e+02,1.16554759e+02,1.98207721e+01,3.63907684e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
