# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Intg.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.81970959e+09,9.12290226e+08,3.14764586e+08,1.21571775e+08,5.33281674e+07,2.59045166e+07,1.21441528e+06,2.62541742e+04,2.32766908e+03,3.98613043e+02,1.05182520e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.69845716e+09,1.86993950e+09,6.44821072e+08,2.50190433e+08,1.08768016e+08,5.29178949e+07,2.47891889e+06,5.29242714e+04,4.63301117e+03,7.84989473e+02,2.06401393e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,5.64533102e+09,2.87191306e+09,9.89938092e+08,3.86110148e+08,1.66861881e+08,8.10282220e+07,3.79177048e+06,8.01829362e+04,6.92774882e+03,1.16120650e+03,3.04059168e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,7.68158558e+09,3.91576267e+09,1.35223797e+09,5.29162543e+08,2.28252959e+08,1.10208484e+08,5.14716427e+06,1.07949411e+05,9.20581531e+03,1.52674979e+03,3.98273981e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,9.81842003e+09,4.99816307e+09,1.73390834e+09,6.79025073e+08,2.93052662e+08,1.40751111e+08,6.53954855e+06,1.36026091e+05,1.14510879e+04,1.88011289e+03,4.89528283e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.20543044e+10,6.11754993e+09,2.13463060e+09,8.35412401e+08,3.61248161e+08,1.73011679e+08,7.97444070e+06,1.64289379e+05,1.36599316e+04,2.22255155e+03,5.78397786e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.43822167e+10,7.27410451e+09,2.55251365e+09,9.97447302e+08,4.32498044e+08,2.06861920e+08,9.45133597e+06,1.92379983e+05,1.58073143e+04,2.55019469e+03,6.63612694e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.67981257e+10,8.47173839e+09,2.98705428e+09,1.16538481e+09,5.06714930e+08,2.42249199e+08,1.09713951e+07,2.20286788e+05,1.78963358e+04,2.86328455e+03,7.45265863e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.93010217e+10,9.71636187e+09,3.43913656e+09,1.34039119e+09,5.84066561e+08,2.79261880e+08,1.25406213e+07,2.48368614e+05,1.99569895e+04,3.16723959e+03,8.24734107e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
