# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpochSaa_Intg.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,2.98260700e+07,1.48228530e+07,5.11772400e+06,1.96921625e+06,8.71025875e+05,4.22409219e+05,1.98124609e+04,4.35096954e+02,3.90167122e+01,6.75169802e+00,1.78685582e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.08309200e+07,1.55868230e+07,5.37442950e+06,2.08317650e+06,9.06579812e+05,4.41074719e+05,2.06680508e+04,4.40042236e+02,3.85722618e+01,6.53540421e+00,1.71922839e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.17939940e+07,1.63348170e+07,5.62745250e+06,2.20411175e+06,9.41415000e+05,4.59371156e+05,2.14820664e+04,4.48960938e+02,3.82724686e+01,6.34380913e+00,1.65473378e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.31018060e+07,1.70643040e+07,5.87644900e+06,2.32654575e+06,9.95047312e+05,4.77639812e+05,2.22796562e+04,4.59661285e+02,3.82187920e+01,6.19675922e+00,1.60052562e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.47733400e+07,1.77306800e+07,6.20021250e+06,2.44186700e+06,1.05132175e+06,4.95035500e+05,2.29001328e+04,4.65887787e+02,3.77167511e+01,5.98801613e+00,1.53996789e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.64544800e+07,1.83493360e+07,6.52213400e+06,2.55355100e+06,1.10866850e+06,5.23052125e+05,2.35126797e+04,4.70001617e+02,3.71256752e+01,5.79075480e+00,1.50184238e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,3.80749920e+07,1.89635560e+07,6.83527350e+06,2.65935950e+06,1.16451462e+06,5.52300062e+05,2.43170547e+04,4.72107910e+02,3.65024414e+01,5.62386608e+00,1.46047413e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,3.95220920e+07,1.95882660e+07,7.09416250e+06,2.74180425e+06,1.21048162e+06,5.76041375e+05,2.49127910e+04,4.64245605e+02,3.50769844e+01,5.29757261e+00,1.38002300e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.10082000e+07,2.03328600e+07,7.39052400e+06,2.85611225e+06,1.26341438e+06,6.03534500e+05,2.57558438e+04,4.65981140e+02,3.45570602e+01,5.13875532e+00,1.34174907e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.24216720e+07,2.11545920e+07,7.67888650e+06,2.97743400e+06,1.31497350e+06,6.30221625e+05,2.65516973e+04,4.70079803e+02,3.41314011e+01,4.99308014e+00,1.30719256e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,4.37596360e+07,2.21735740e+07,7.95811550e+06,3.12402325e+06,1.36495400e+06,6.55991688e+05,2.73000781e+04,4.74972168e+02,3.38261948e+01,4.85987186e+00,1.27611041e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,4.50161120e+07,2.31562820e+07,8.21952850e+06,3.26570925e+06,1.41240450e+06,6.79831500e+05,2.79167070e+04,4.78142487e+02,3.34679031e+01,4.69545031e+00,1.24467623e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,4.61962840e+07,2.40984440e+07,8.47093400e+06,3.40275575e+06,1.47569088e+06,7.02639562e+05,2.84877422e+04,4.82082062e+02,3.31329842e+01,4.54598761e+00,1.21756148e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,4.72903200e+07,2.49962480e+07,8.70299300e+06,3.53153975e+06,1.54269175e+06,7.27481812e+05,2.89236543e+04,4.84449341e+02,3.25850487e+01,4.37063980e+00,1.18378460e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,4.84442440e+07,2.58536760e+07,8.92605900e+06,3.65570475e+06,1.61191675e+06,7.58212250e+05,2.97272051e+04,4.88424530e+02,3.20819321e+01,4.21270370e+00,1.14883518e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,5.03191280e+07,2.66720780e+07,9.29092700e+06,3.77399900e+06,1.67916125e+06,7.89914625e+05,3.05658613e+04,4.91064728e+02,3.15151348e+01,4.05319929e+00,1.10551238e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,5.21770720e+07,2.74008880e+07,9.68115300e+06,3.88255000e+06,1.74123012e+06,8.20160688e+05,3.13009004e+04,4.89214569e+02,3.07963028e+01,3.89480424e+00,1.05806637e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,5.38198800e+07,2.79829320e+07,1.00772530e+07,3.98044575e+06,1.79515225e+06,8.47679562e+05,3.17814297e+04,4.78470703e+02,2.98382778e+01,3.74893236e+00,1.03984046e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,5.53576200e+07,2.84976900e+07,1.04520110e+07,4.06792650e+06,1.84356062e+06,8.72773938e+05,3.21288418e+04,4.66070679e+02,2.87500935e+01,3.59251451e+00,1.01657236e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,5.68127160e+07,2.89630920e+07,1.08091620e+07,4.16458925e+06,1.88809512e+06,8.96260125e+05,3.24179883e+04,4.53994019e+02,2.76750698e+01,3.43562770e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,5.81701160e+07,2.95512140e+07,1.11445950e+07,4.26852300e+06,1.92818038e+06,9.17820125e+05,3.26396367e+04,4.42097260e+02,2.66538181e+01,3.27779365e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,5.94414400e+07,3.01808900e+07,1.14605520e+07,4.40503150e+06,1.96429488e+06,9.37685812e+05,3.28051562e+04,4.30492645e+02,2.57307949e+01,3.12058735e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,6.06307440e+07,3.09863140e+07,1.17576390e+07,4.55592900e+06,1.99664825e+06,9.55936812e+05,3.29197500e+04,4.19214020e+02,2.47823372e+01,2.96476912e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,6.14981760e+07,3.17606740e+07,1.19806200e+07,4.67455400e+06,2.01972225e+06,9.66146625e+05,3.26108008e+04,4.00804810e+02,2.33081512e+01,2.74886060e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,6.25576440e+07,3.26553720e+07,1.22460900e+07,4.81734700e+06,2.07558525e+06,9.89815938e+05,3.27063242e+04,3.93232635e+02,2.24641876e+01,2.61691689e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,6.35372040e+07,3.35044220e+07,1.24923990e+07,4.95410700e+06,2.13757200e+06,1.01935525e+06,3.27551992e+04,3.85565521e+02,2.16075287e+01,2.48551846e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,6.44436000e+07,3.43110320e+07,1.27209170e+07,5.08535450e+06,2.20546725e+06,1.05037912e+06,3.30796055e+04,3.77356598e+02,2.07468243e+01,2.35421729e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,6.52656080e+07,3.50651040e+07,1.29287210e+07,5.20929250e+06,2.27006400e+06,1.08365400e+06,3.35225625e+04,3.68556641e+02,1.98819580e+01,2.22125983e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,6.59728160e+07,3.57498040e+07,1.33065770e+07,5.32272250e+06,2.32948025e+06,1.11646938e+06,3.39201680e+04,3.57855804e+02,1.89304161e+01,2.07118654e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,6.64682440e+07,3.63557480e+07,1.36867420e+07,5.42045200e+06,2.38239725e+06,1.14363050e+06,3.43105781e+04,3.48602509e+02,1.80805378e+01,1.95514965e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,6.65291360e+07,3.67905920e+07,1.39682220e+07,5.48154000e+06,2.41834750e+06,1.15771075e+06,3.44207930e+04,3.39470093e+02,1.72471161e+01,1.88618314e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,6.64513120e+07,3.71323720e+07,1.42085650e+07,5.52605800e+06,2.44541400e+06,1.16692462e+06,3.43238789e+04,3.28726685e+02,1.63665390e+01,1.80790210e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,6.63106480e+07,3.74136000e+07,1.44225280e+07,5.56059750e+06,2.46694500e+06,1.17329050e+06,3.41117617e+04,3.17780975e+02,1.55234652e+01,1.73002923e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,6.61874280e+07,3.76488960e+07,1.46176610e+07,5.58768550e+06,2.48428925e+06,1.17751700e+06,3.38109609e+04,3.06831604e+02,1.47221670e+01,1.65376222e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,6.64794080e+07,3.78239080e+07,1.47848190e+07,5.61961750e+06,2.49607600e+06,1.17893488e+06,3.34068242e+04,2.95764038e+02,1.39893179e+01,1.58848953e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,6.72685680e+07,3.79607040e+07,1.49362980e+07,5.67635850e+06,2.50438275e+06,1.17861125e+06,3.29353320e+04,2.84830200e+02,1.32981606e+01,1.52945936e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,6.79600880e+07,3.80456160e+07,1.50631260e+07,5.77735100e+06,2.50789950e+06,1.17591112e+06,3.24257129e+04,2.74770050e+02,1.26191750e+01,1.47002435e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,6.86476320e+07,3.81251520e+07,1.51880950e+07,5.87743000e+06,2.51133825e+06,1.17348250e+06,3.22203359e+04,2.66883942e+02,1.20228539e+01,1.41493428e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,6.91775040e+07,3.81231000e+07,1.52737160e+07,5.95869650e+06,2.50689175e+06,1.16689012e+06,3.19150762e+04,2.58239441e+02,1.13772631e+01,1.35332263e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
