# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Diff.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.54163996e+09,2.77848687e+09,1.04880093e+09,2.67180306e+08,6.82230172e+07,2.13589578e+07,1.97408420e+07,7.70034302e+06,4.02207961e+06,1.59266398e+06,9.32416221e+05,6.35060911e+05,4.21993564e+05,2.02175605e+05,9.73889794e+04,2.41414533e+04,5.20678832e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,9.23862618e+09,5.66016896e+09,2.13678910e+09,5.47438819e+08,1.40418990e+08,4.39664177e+07,4.07414479e+07,1.58448630e+07,8.39505281e+06,3.27238086e+06,1.93920816e+06,1.31914465e+06,8.70157380e+05,4.15075011e+05,1.96619602e+05,4.86877374e+04,1.03688289e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,1.41454188e+10,8.67810477e+09,3.27681463e+09,8.43959047e+08,2.17070416e+08,6.82285837e+07,6.32027451e+07,2.45211910e+07,1.31913109e+07,5.04832737e+06,3.03227512e+06,2.05827483e+06,1.34830478e+06,6.39810386e+05,2.98223085e+05,7.38858734e+04,1.55278640e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.92624018e+10,1.18327030e+10,4.46902768e+09,1.15689841e+09,2.98230043e+08,9.41791783e+07,8.71504569e+07,3.37361342e+07,1.84259683e+07,6.92126211e+06,4.21387627e+06,2.85358466e+06,1.85675260e+06,8.76392579e+05,4.02212691e+05,9.97327745e+04,2.06821835e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,2.45813757e+10,1.51199486e+10,5.71195625e+09,1.48632623e+09,3.83958967e+08,1.21886862e+08,1.12633372e+08,4.35014316e+07,2.41342878e+07,8.89127803e+06,5.48950406e+06,3.70792700e+06,2.39618594e+06,1.12472091e+06,5.08197884e+05,1.26134163e+05,2.57991918e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,3.01000116e+10,1.85385642e+10,7.00509312e+09,1.83222512e+09,4.74264768e+08,1.51371352e+08,1.39664304e+08,5.38193094e+07,3.03289633e+07,1.09581223e+07,6.86092254e+06,4.62209818e+06,2.96669900e+06,1.38470849e+06,6.16130993e+05,1.53075046e+05,3.08817338e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,3.58222979e+10,2.20904295e+10,8.34907709e+09,2.19457704e+09,5.69126461e+08,1.82614869e+08,1.68229735e+08,6.46857452e+07,3.70034204e+07,1.31216994e+07,8.32682351e+06,5.59524987e+06,3.56799154e+06,1.65634291e+06,7.26282107e+05,1.80614808e+05,3.59590769e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.17446125e+10,2.57736531e+10,9.74318775e+09,2.57337300e+09,6.68559693e+08,2.15645945e+08,1.98348786e+08,7.61045209e+07,4.41746773e+07,1.53817804e+07,9.88966435e+06,6.62855400e+06,4.20026282e+06,1.93953413e+06,8.38526724e+05,2.08721362e+05,4.10261213e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.78712332e+10,2.95907691e+10,1.11895898e+10,2.96902544e+09,7.71475693e+08,2.51120611e+08,2.30043744e+08,8.80734759e+07,5.17889055e+07,1.77697859e+07,1.15438619e+07,7.72092081e+06,4.86129983e+06,2.23411334e+06,9.52912835e+05,2.37353643e+05,4.60792456e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
