# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,7.48440234e+07,4.57179141e+07,1.72584648e+07,4.36977783e+06,1.10773804e+06,3.48847870e+05,3.20099274e+05,1.25344284e+05,6.46654892e+04,2.58916302e+04,1.50129938e+04,1.02229156e+04,6.84605742e+03,3.28945589e+03,1.61178267e+03,4.00977254e+02,8.74648318e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,7.65439844e+07,4.68983203e+07,1.77015684e+07,4.53623291e+06,1.16636267e+06,3.63117432e+05,3.37928833e+05,1.31333832e+05,6.94038391e+04,2.71971722e+04,1.60675488e+04,1.09457827e+04,7.22039557e+03,3.44973135e+03,1.63451684e+03,4.03737903e+02,8.60947892e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,8.00222109e+07,4.91577422e+07,1.85647012e+07,4.80571680e+06,1.24016956e+06,3.90464508e+05,3.62091309e+05,1.40150146e+05,7.63619232e+04,2.87933865e+04,1.74921799e+04,1.18570070e+04,7.71839714e+03,3.64691496e+03,1.67317033e+03,4.14471507e+02,8.59732181e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,8.35375547e+07,5.14401250e+07,1.94361523e+07,5.07829150e+06,1.31487817e+06,4.18274414e+05,3.86618652e+05,1.49060806e+05,8.35133591e+04,3.04048347e+04,1.89433880e+04,1.27806673e+04,8.21985054e+03,3.84426475e+03,1.71361268e+03,4.25466418e+02,8.59946311e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,8.70285312e+07,5.37131406e+07,2.03042793e+07,5.35301953e+06,1.39044250e+06,4.46745331e+05,4.11638336e+05,1.58103943e+05,9.09752045e+04,3.20263176e+04,2.04433136e+04,1.37296581e+04,8.72840881e+03,4.04180765e+03,1.75270724e+03,4.36096877e+02,8.58160034e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,9.02706094e+07,5.58617188e+07,2.11266758e+07,5.62790869e+06,1.46718848e+06,4.76844177e+05,4.37792236e+05,1.67405991e+05,9.93021240e+04,3.36408844e+04,2.20776157e+04,1.47484217e+04,9.25270367e+03,4.23580408e+03,1.78013277e+03,4.43949461e+02,8.47509503e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,9.36839062e+07,5.80921250e+07,2.19778828e+07,5.90205322e+06,1.54300464e+06,5.05972076e+05,4.63238739e+05,1.76523239e+05,1.07187042e+05,3.52539177e+04,2.36363297e+04,1.57239485e+04,9.76439667e+03,4.43044758e+03,1.81763721e+03,4.54079896e+02,8.46671015e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,9.70589844e+07,6.03033945e+07,2.28215859e+07,6.17634521e+06,1.61905200e+06,5.35478577e+05,4.88942352e+05,1.85691315e+05,1.15294876e+05,3.68653259e+04,2.52270393e+04,1.67144432e+04,1.02786894e+04,4.62403393e+03,1.85406685e+03,4.63912249e+02,8.45776796e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.00351484e+08,6.24707148e+07,2.36487656e+07,6.45018555e+06,1.69538879e+06,5.65557190e+05,5.15025940e+05,1.94934509e+05,1.23747002e+05,3.84706993e+04,2.68676510e+04,1.77290249e+04,1.07970181e+04,4.81567240e+03,1.88742006e+03,4.72972780e+02,8.43237862e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.03869219e+08,6.47664922e+07,2.45646406e+07,6.73822998e+06,1.73514478e+06,6.16931763e+05,5.41472717e+05,2.04030685e+05,1.30060623e+05,4.11294899e+04,2.82722721e+04,1.86832047e+04,1.12375507e+04,5.00363541e+03,1.92545056e+03,4.81436670e+02,8.41137022e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
