# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Diff.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.91085128e+10,7.80353473e+09,1.94475618e+09,7.11541878e+08,2.56685595e+08,1.45088361e+08,4.56656082e+06,5.90528358e+04,3.86378506e+03,5.66973919e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.86070272e+10,1.59641231e+10,3.96095584e+09,1.46170010e+09,5.27001530e+08,2.94889263e+08,9.26876282e+06,1.17883505e+05,7.65681147e+03,1.10475446e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,5.86199759e+10,2.43909195e+10,6.07102033e+09,2.23870106e+09,8.15571660e+08,4.49247645e+08,1.40848835e+07,1.76741040e+05,1.13738658e+04,1.61443517e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,7.96316917e+10,3.30264586e+10,8.29473920e+09,3.04093638e+09,1.12088178e+09,6.09068001e+08,1.90241847e+07,2.35785317e+05,1.50094359e+04,2.09920711e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.02005191e+11,4.17854457e+10,1.06589936e+10,3.86595990e+09,1.43846877e+09,7.75090809e+08,2.40790304e+07,2.94952046e+05,1.85315628e+04,2.55694421e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.25741739e+11,5.05937911e+10,1.31960825e+10,4.71330389e+09,1.76575986e+09,9.48318137e+08,2.92606953e+07,3.54459462e+05,2.19644451e+04,2.99127705e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.50830903e+11,5.94302060e+10,1.59187337e+10,5.58431231e+09,2.10340885e+09,1.12919258e+09,3.46102054e+07,4.14540391e+05,2.53652131e+04,3.41028009e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.76861193e+11,6.84682233e+10,1.88013252e+10,6.49150581e+09,2.45104726e+09,1.31740894e+09,4.01412759e+07,4.74946614e+05,2.87405762e+04,3.81584967e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.03285212e+11,7.79655713e+10,2.17848828e+10,7.45104921e+09,2.80833024e+09,1.51278841e+09,4.58364028e+07,5.35284393e+05,3.20776836e+04,4.20524387e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
