# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Diff.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.15313504e+08,1.26555640e+08,3.19258720e+07,1.14489410e+07,4.20607300e+06,2.37214525e+06,7.48242891e+04,9.87039001e+02,6.49240799e+01,9.67993736e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.21636960e+08,1.33562200e+08,3.28993380e+07,1.22691230e+07,4.35011400e+06,2.46413375e+06,7.73944141e+04,9.81388977e+02,6.38687630e+01,9.21919441e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.28313472e+08,1.38457392e+08,3.43073120e+07,1.27361490e+07,4.66041650e+06,2.52922925e+06,7.93456406e+04,9.79633179e+02,6.25654411e+01,8.70682240e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.38784864e+08,1.42435840e+08,3.60281760e+07,1.31638850e+07,4.95858850e+06,2.61605050e+06,8.11917266e+04,9.82284790e+02,6.13363800e+01,8.28253555e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.61605600e+08,1.45415440e+08,3.80957800e+07,1.35772900e+07,5.21841450e+06,2.71129425e+06,8.34516328e+04,9.85857605e+02,5.98492775e+01,7.87652779e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.84177760e+08,1.46550816e+08,4.07127040e+07,1.39234960e+07,5.36781950e+06,2.82279975e+06,8.50432344e+04,9.86366821e+02,5.75549622e+01,7.38137674e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,4.07040448e+08,1.47060672e+08,4.38569200e+07,1.43213010e+07,5.54188250e+06,2.95144400e+06,8.76789141e+04,9.97213562e+02,5.68744354e+01,7.09638309e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,4.29265056e+08,1.47486512e+08,4.68981280e+07,1.47123150e+07,5.71308450e+06,3.07770450e+06,9.06381016e+04,1.00548419e+03,5.64845085e+01,6.87038612e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.38411232e+08,1.53780704e+08,4.91882440e+07,1.55274660e+07,5.87486150e+06,3.19617350e+06,9.37308984e+04,1.00805640e+03,5.60275841e+01,6.64859867e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.42389440e+08,1.62797584e+08,5.02636840e+07,1.64573160e+07,6.03457200e+06,3.31647600e+06,9.61066797e+04,1.00320306e+03,5.52093353e+01,6.33120871e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
