# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,2.66003451e+08,1.81512382e+08,1.23858622e+08,5.70119076e+07,2.53093720e+07,1.46537503e+07,1.06996278e+07,5.06383820e+06,2.62723442e+06,1.32671818e+06,7.67618734e+05,4.37712896e+05,2.22183803e+05,9.08038383e+04,3.15987145e+04,7.27447295e+03,1.48618432e+03,2.76278213e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,5.43161358e+08,3.71173055e+08,2.53644755e+08,1.17218008e+08,5.21825515e+07,3.02414249e+07,2.20989343e+07,1.04647967e+07,5.44474302e+06,2.73617143e+06,1.58634975e+06,9.01342931e+05,4.54829418e+05,1.84678436e+05,6.36307066e+04,1.45933084e+04,2.95649263e+03,5.48637882e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,8.34617124e+08,5.71116245e+08,3.90809015e+08,1.81265140e+08,8.08956138e+07,4.69537336e+07,3.43169649e+07,1.62628195e+07,8.48449570e+06,4.23940680e+06,2.46367989e+06,1.39444691e+06,6.99568393e+05,2.82169285e+05,9.63135160e+04,2.20220972e+04,4.42190127e+03,8.18828260e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.14045968e+09,7.81421258e+08,5.35420124e+08,2.49206013e+08,1.11479444e+08,6.48123457e+07,4.73692054e+07,2.24657968e+07,1.17518323e+07,5.83777777e+06,3.40064113e+06,1.91737812e+06,9.56463928e+05,3.83280577e+05,1.29658039e+05,2.95657370e+04,5.88569300e+03,1.08863397e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.46048965e+09,1.00202711e+09,6.87490260e+08,3.21116898e+08,1.43990938e+08,8.38613309e+07,6.12871381e+07,2.90904346e+07,1.52586053e+07,7.53373879e+06,4.39943590e+06,2.47069383e+06,1.22535933e+06,4.87782247e+05,1.63529889e+05,3.71909290e+04,7.34000048e+03,1.35703833e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.79463036e+09,1.23289835e+09,8.47008660e+08,3.97013451e+08,1.78444676e+08,1.04113086e+08,7.60795545e+07,3.61415647e+07,1.90085638e+07,9.32786852e+06,5.46067163e+06,3.05450318e+06,1.50619180e+06,5.95623882e+05,1.97916327e+05,4.48958013e+04,8.78561554e+03,1.62418274e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,2.14298539e+09,1.47407252e+09,1.01397922e+09,4.76873650e+08,2.14824707e+08,1.25555943e+08,9.17380588e+07,4.36148464e+07,2.29989384e+07,1.12194590e+07,6.58375392e+06,3.66864257e+06,1.79904250e+06,7.06934929e+05,2.32916128e+05,5.27069097e+04,1.02308819e+04,1.89161550e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,2.50544628e+09,1.72550396e+09,1.18839207e+09,5.60723039e+08,2.53152966e+08,1.48207956e+08,1.08275484e+08,5.15172456e+07,2.72349739e+07,1.32094120e+07,7.76957485e+06,4.31329469e+06,2.10382399e+06,8.21625857e+05,2.68488756e+05,6.06150022e+04,1.16743175e+04,2.15905340e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.88225699e+09,1.98735828e+09,1.37036080e+09,6.48562458e+08,2.93397738e+08,1.72172139e+08,1.25687740e+08,5.98410516e+07,3.17105050e+07,1.53039989e+07,9.01528813e+06,4.98738859e+06,2.41991249e+06,9.39633118e+05,3.04622319e+05,6.86085478e+04,1.31140830e+04,2.42590355e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,3.27377842e+09,2.25985758e+09,1.56002066e+09,7.40358105e+08,3.35490379e+08,1.97578715e+08,1.43956278e+08,6.85685915e+07,3.64120409e+07,1.75110993e+07,1.03159706e+07,5.68915614e+06,2.74645389e+06,1.06092388e+06,3.41333575e+05,7.66802146e+04,1.45496143e+04,2.69172820e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,3.67993583e+09,2.54295967e+09,1.75735017e+09,8.36082184e+08,3.79404364e+08,2.24483416e+08,1.63075783e+08,7.76944228e+07,4.13359389e+07,1.98336060e+07,1.16698751e+07,6.41782312e+06,3.08298828e+06,1.18538957e+06,3.78589560e+05,8.48196409e+04,1.59794689e+04,2.95616222e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,4.10044026e+09,2.83648267e+09,1.96223694e+09,9.35691692e+08,4.25120988e+08,2.52903218e+08,1.83041733e+08,8.72158667e+07,4.64812336e+07,2.22718129e+07,1.30762572e+07,7.17289876e+06,3.42918892e+06,1.31289418e+06,4.16344130e+05,9.30169928e+04,1.74023421e+04,3.21895662e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,4.53503558e+09,3.14026597e+09,2.17458238e+09,1.03914986e+09,4.72624393e+08,2.82856217e+08,2.03850648e+08,9.71307673e+07,5.18472286e+07,2.48261234e+07,1.45344674e+07,7.95394967e+06,3.78476440e+06,1.44331698e+06,4.54557421e+05,1.01264009e+05,1.88172578e+04,3.47992732e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,4.98350595e+09,3.45417523e+09,2.39430493e+09,1.14642687e+09,5.21901939e+08,3.14360553e+08,2.25500134e+08,1.07437531e+08,5.74334942e+07,2.74970103e+07,1.60439691e+07,8.76061115e+06,4.14946769e+06,1.57655606e+06,4.93196748e+05,1.09554133e+05,2.02235517e+04,3.73894996e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,5.44554886e+09,3.77802560e+09,2.62129506e+09,1.25748472e+09,5.72937618e+08,3.47443634e+08,2.47987920e+08,1.18134415e+08,6.32397141e+07,3.02853090e+07,1.76040482e+07,9.59237925e+06,4.52293003e+06,1.71245302e+06,5.32204360e+05,1.17874371e+05,2.16191199e+04,3.99562441e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,5.92085817e+09,4.11164014e+09,2.85545593e+09,1.37229731e+09,6.25721396e+08,3.82148558e+08,2.71316019e+08,1.29221464e+08,6.92667636e+07,3.31927400e+07,1.92140947e+07,1.04487609e+07,4.90472787e+06,1.85081741e+06,5.71504633e+05,1.26206869e+05,2.30006990e+04,4.24932841e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,6.40910505e+09,4.45480214e+09,3.09664597e+09,1.49080414e+09,6.80226305e+08,4.18483528e+08,2.95475465e+08,1.40693988e+08,7.55124970e+07,3.62189263e+07,2.08731559e+07,1.13291840e+07,5.29454286e+06,1.99152677e+06,6.11063475e+05,1.34545318e+05,2.43678185e+04,4.49998290e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,6.91005474e+09,4.80737201e+09,3.34478581e+09,1.61298130e+09,7.36442799e+08,4.56481304e+08,3.20466727e+08,1.52551558e+08,8.19773145e+07,3.93650626e+07,2.25807244e+07,1.22332639e+07,5.69207684e+06,2.13445329e+06,6.50836222e+05,1.42880095e+05,2.57191175e+04,4.74733734e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,7.42373707e+09,5.16940336e+09,3.59993718e+09,1.73884890e+09,7.94391800e+08,4.96035968e+08,3.46292272e+08,1.64800283e+08,8.86584280e+07,4.26298282e+07,2.43366583e+07,1.31602512e+07,6.09704218e+06,2.27941110e+06,6.90774730e+05,1.51201441e+05,2.70552653e+04,4.99095545e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,7.95148132e+09,5.54187693e+09,3.86282329e+09,1.86869163e+09,8.54239772e+08,5.36760557e+08,3.72991587e+08,1.77477115e+08,9.55539454e+07,4.60099307e+07,2.61439957e+07,1.41097964e+07,6.50974808e+06,2.42629093e+06,7.30883529e+05,1.59511776e+05,2.83833787e+04,5.23016735e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,8.49498604e+09,5.92604201e+09,4.13436246e+09,2.00291806e+09,9.16203124e+08,5.78441321e+08,4.00637495e+08,1.90630205e+08,1.02673590e+08,4.95088232e+07,2.80076108e+07,1.50829292e+07,6.93089578e+06,2.57516730e+06,7.71197576e+05,1.67818355e+05,2.97088749e+04,5.46456936e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,9.05485988e+09,6.32242461e+09,4.41499555e+09,2.14176501e+09,9.80408018e+08,6.21083419e+08,4.29286782e+08,2.04291455e+08,1.10028384e+08,5.31334858e+07,2.99299613e+07,1.60799670e+07,7.36035168e+06,2.72585625e+06,8.11627256e+05,1.76098193e+05,3.10279682e+04,5.69321391e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,9.63100677e+09,6.73097676e+09,4.70470436e+09,2.28522808e+09,1.04685655e+09,6.64672418e+08,4.58940514e+08,2.18462707e+08,1.17617734e+08,5.68840053e+07,3.19107971e+07,1.71006007e+07,7.79794935e+06,2.87829270e+06,8.52158408e+05,1.84349515e+05,3.23404459e+04,5.91633569e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
