# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,4.36599121e+06,2.97462085e+06,2.02665515e+06,9.28762268e+05,4.10981232e+05,2.37962341e+05,1.73436310e+05,8.20617371e+04,4.24508400e+04,2.15099640e+04,1.24268980e+04,7.10765839e+03,3.62905025e+03,1.49212182e+03,5.24648488e+02,1.21353440e+02,2.49640290e+01,4.64036781e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.50079102e+06,3.07579224e+06,2.10196582e+06,9.71634766e+05,4.32664551e+05,2.50496033e+05,1.83217972e+05,8.67328796e+04,4.51236458e+04,2.27139778e+04,1.31603947e+04,7.48277235e+03,3.77707696e+03,1.53467298e+03,5.28642058e+02,1.21129006e+02,2.45754514e+01,4.56890650e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,4.73780518e+06,3.24622974e+06,2.22423828e+06,1.03523511e+06,4.63108032e+05,2.69093079e+05,1.96758881e+05,9.32990570e+04,4.87933006e+04,2.42677937e+04,1.41306372e+04,7.97156096e+03,3.97777629e+03,1.59448004e+03,5.39090931e+02,1.22832157e+02,2.44348217e+01,4.50974843e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,4.97738770e+06,3.41854370e+06,2.34790405e+06,1.09966943e+06,4.93994110e+05,2.87983917e+05,2.10508835e+05,9.99683838e+04,5.25317955e+04,2.58400555e+04,1.51137028e+04,8.46523952e+03,4.18019009e+03,1.65521514e+03,5.50336123e+02,1.24794155e+02,2.44121365e+01,4.49659815e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,5.21736328e+06,3.59162280e+06,2.47246582e+06,1.16502612e+06,5.25466797e+05,3.07303101e+05,2.24565811e+05,1.06797508e+05,5.63794136e+04,2.74389725e+04,1.61183357e+04,8.96579933e+03,4.38299370e+03,1.71516097e+03,5.61147869e+02,1.26660481e+02,2.43809167e+01,4.49692458e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,5.45030322e+06,3.76190625e+06,2.59653906e+06,1.23200354e+06,5.58249756e+05,3.27663116e+05,2.39365311e+05,1.14023766e+05,6.05130310e+04,2.90930653e+04,1.71748257e+04,9.47805882e+03,4.58018684e+03,1.76822829e+03,5.67913890e+02,1.27512604e+02,2.40960028e+01,4.44988813e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,5.68771924e+06,3.93380103e+06,2.72074048e+06,1.29788135e+06,5.90208069e+05,3.47395325e+05,2.53715195e+05,1.21013885e+05,6.44855728e+04,3.07112541e+04,1.81996956e+04,9.98225117e+03,4.78089476e+03,1.82649255e+03,5.78300595e+02,1.29316449e+02,2.40911618e+01,4.45492472e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,5.92411621e+06,4.10533838e+06,2.84494531e+06,1.36412549e+06,6.22459717e+05,3.67366638e+05,2.68234985e+05,1.28095520e+05,6.85269241e+04,3.23417664e+04,1.92363834e+04,1.04890633e+04,4.98079586e+03,1.88387597e+03,5.88359535e+02,1.31053850e+02,2.40843855e+01,4.45950124e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,6.15791211e+06,4.27570898e+06,2.96881592e+06,1.43085388e+06,6.55148804e+05,3.87700378e+05,2.83012482e+05,1.35317764e+05,7.26742477e+04,3.39899940e+04,2.02909775e+04,1.09993391e+04,5.17858648e+03,1.93915462e+03,5.97394645e+02,1.32549211e+02,2.40301304e+01,4.45509469e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,6.40244580e+06,4.45276904e+06,3.09680859e+06,1.49712695e+06,6.86343689e+05,4.11105774e+05,2.97396088e+05,1.42142456e+05,7.65101318e+04,3.58295746e+04,2.12328014e+04,1.14704590e+04,5.35769749e+03,1.99442101e+03,6.07057512e+02,1.33902326e+02,2.39620563e+01,4.43991087e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
