# Irene Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Intg.AP8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.99985142e+09,1.03126704e+09,3.61242233e+08,1.50871266e+08,6.68462285e+07,3.36801430e+07,1.70056718e+06,4.11098633e+04,4.00098266e+03,7.55557635e+02,1.97922552e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,4.06854958e+09,2.10764306e+09,7.37521372e+08,3.08666321e+08,1.36303569e+08,6.83547138e+07,3.43638929e+06,8.17184791e+04,7.87548723e+03,1.47067490e+03,3.84712381e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,6.20599483e+09,3.22460934e+09,1.13001038e+09,4.72783597e+08,2.08788465e+08,1.03967844e+08,5.20186362e+06,1.21944309e+05,1.16245705e+04,2.14787672e+03,5.61406099e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,8.43044930e+09,4.38041818e+09,1.54028046e+09,6.43116764e+08,2.84339110e+08,1.40691067e+08,7.00014803e+06,1.61868649e+05,1.52519160e+04,2.79096930e+03,7.28845293e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.07524461e+10,5.57115368e+09,1.96978110e+09,8.19011267e+08,3.62617471e+08,1.78631236e+08,8.82758835e+06,2.01362939e+05,1.87303769e+04,3.39681528e+03,8.86103233e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.31697706e+10,6.79506793e+09,2.42110589e+09,1.00037774e+09,4.43588487e+08,2.17982252e+08,1.06888295e+07,2.40600967e+05,2.20840176e+04,3.96986578e+03,1.03421353e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.56821866e+10,8.05250866e+09,2.89581700e+09,1.18764632e+09,5.27496347e+08,2.58892023e+08,1.25981986e+07,2.79876721e+05,2.53699703e+04,4.52049035e+03,1.17576049e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.82857052e+10,9.35445105e+09,3.39314732e+09,1.38190757e+09,6.14255560e+08,3.01321385e+08,1.45584140e+07,3.19099630e+05,2.85968101e+04,5.05096087e+03,1.31125632e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.09742215e+10,1.07148218e+10,3.90996877e+09,1.58454672e+09,7.03743337e+08,3.45197769e+08,1.65618245e+07,3.58033722e+05,3.17500761e+04,5.55848030e+03,1.44026517e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
