# Legacy Model output file: ../../unitTests/Legacy/Ax8min_NatEpoch_Intg.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.27237460e+07,1.67803880e+07,5.89842050e+06,2.45182875e+06,1.09507888e+06,5.51657062e+05,2.80046016e+04,6.89622009e+02,6.76816254e+01,1.29235125e+01,3.39376855e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.39379720e+07,1.75951820e+07,6.14298800e+06,2.57721375e+06,1.13312888e+06,5.71014438e+05,2.86809746e+04,6.80706848e+02,6.56844711e+01,1.22617435e+01,3.20365024e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.50186280e+07,1.82840160e+07,6.39964900e+06,2.68262100e+06,1.18211562e+06,5.84804500e+05,2.91797578e+04,6.72913574e+02,6.34656715e+01,1.15754967e+01,3.02267694e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.62295520e+07,1.89481960e+07,6.68331900e+06,2.78795525e+06,1.23404775e+06,6.02299938e+05,2.96693906e+04,6.67947510e+02,6.15037804e+01,1.09978991e+01,2.86711407e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.79189240e+07,1.95787620e+07,6.99234900e+06,2.88981650e+06,1.28430688e+06,6.21807375e+05,3.02734180e+04,6.62863708e+02,5.94077263e+01,1.04385185e+01,2.71419191e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.94809760e+07,2.01124240e+07,7.32434000e+06,2.97333400e+06,1.32497200e+06,6.42865000e+05,3.06412637e+04,6.53612732e+02,5.65409775e+01,9.75634861e+00,2.52773976e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,4.10965000e+07,2.06847140e+07,7.71981850e+06,3.07221475e+06,1.37406162e+06,6.68835438e+05,3.14001035e+04,6.54321411e+02,5.52470360e+01,9.34533310e+00,2.40926957e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,4.26507040e+07,2.12299800e+07,8.10388600e+06,3.17007150e+06,1.42286725e+06,6.94823688e+05,3.22455352e+04,6.54870483e+02,5.42847290e+01,9.00882053e+00,2.30896306e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.41332440e+07,2.21680960e+07,8.47379000e+06,3.30530300e+06,1.46910625e+06,7.19488250e+05,3.30949727e+04,6.52559692e+02,5.32765884e+01,8.67352867e+00,2.20756412e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.54839720e+07,2.31775980e+07,8.75359300e+06,3.44933575e+06,1.51381988e+06,7.43058000e+05,3.36853828e+04,6.45243469e+02,5.18322830e+01,8.24378681e+00,2.09273100e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,4.67314800e+07,2.41624540e+07,8.98882500e+06,3.58559425e+06,1.55969575e+06,7.64852750e+05,3.40819258e+04,6.36174438e+02,5.00926514e+01,7.77691984e+00,1.97249234e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,4.78949000e+07,2.51022440e+07,9.21228600e+06,3.71590850e+06,1.61275238e+06,7.85913562e+05,3.44164102e+04,6.32669006e+02,4.84628754e+01,7.35939360e+00,1.86432660e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,4.89764360e+07,2.59988520e+07,9.42069500e+06,3.83909625e+06,1.68112225e+06,8.09429062e+05,3.48264141e+04,6.29640320e+02,4.67760124e+01,6.95476437e+00,1.75949228e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,5.02910720e+07,2.68541460e+07,9.66286700e+06,3.95718950e+06,1.74781150e+06,8.34904062e+05,3.53153984e+04,6.26477539e+02,4.52197495e+01,6.59517860e+00,1.66585636e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,5.18069920e+07,2.76664640e+07,9.97578600e+06,4.06835525e+06,1.81203588e+06,8.65915812e+05,3.58086914e+04,6.21739136e+02,4.36281509e+01,6.24666166e+00,1.57538903e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,5.33785120e+07,2.84094980e+07,1.03310380e+07,4.16802900e+06,1.87128125e+06,8.94252938e+05,3.62615859e+04,6.14847046e+02,4.19717407e+01,5.90296555e+00,1.48713219e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,5.50401080e+07,2.90930000e+07,1.06670120e+07,4.25637400e+06,1.92584038e+06,9.19943875e+05,3.67821094e+04,6.04854309e+02,4.03216362e+01,5.54141521e+00,1.39611804e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
