# Irene Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Diff.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.39295130e+09,2.68235972e+09,1.01275576e+09,2.56037079e+08,6.46811094e+07,2.04873767e+07,1.87063356e+07,7.33454226e+06,3.78205262e+06,1.51149779e+06,8.76718488e+05,5.96284812e+05,3.99951000e+05,1.92027994e+05,9.44137016e+04,2.35555042e+04,5.14304428e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,8.88022391e+09,5.43154200e+09,2.05039994e+09,5.21890977e+08,1.33033266e+08,4.17631114e+07,3.85072929e+07,1.50314648e+07,7.84652238e+06,3.10547004e+06,1.81799033e+06,1.23755394e+06,8.23056931e+05,3.94217846e+05,1.90285054e+05,4.72347705e+04,1.01959020e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,1.35146517e+10,8.27918094e+09,3.12588914e+09,8.00573921e+08,2.04976095e+08,6.44399009e+07,5.95283687e+07,2.31642227e+07,1.22914311e+07,4.77498651e+06,2.83494012e+06,1.92647629e+06,1.27090896e+06,6.05585622e+05,2.87017080e+05,7.11919119e+04,1.51390566e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.83444578e+10,1.12549623e+10,4.25039389e+09,1.09505647e+09,2.81285731e+08,8.87769864e+07,8.20054239e+07,3.18218002e+07,1.71756468e+07,6.53778329e+06,3.94011614e+06,2.67122564e+06,1.74846069e+06,8.28361939e+05,3.85637855e+05,9.56857547e+04,2.00401507e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,2.33853879e+10,1.43678400e+10,5.42721523e+09,1.40597206e+09,3.62105996e+08,1.14805920e+08,1.05971063e+08,4.10182301e+07,2.25010850e+07,8.39759954e+06,5.13412816e+06,3.47222698e+06,2.25628731e+06,1.06296592e+06,4.86731608e+05,1.20850879e+05,2.49619306e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,2.86351770e+10,1.76168780e+10,6.65600421e+09,1.73345332e+09,4.47493404e+08,1.42571684e+08,1.31458721e+08,5.07623628e+07,2.82892311e+07,1.03550367e+07,6.42034131e+06,4.33123177e+06,2.79487493e+06,1.30940290e+06,5.90172717e+05,1.46650130e+05,2.98853839e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,3.40911456e+10,2.10007048e+10,7.93623302e+09,2.07751672e+09,5.37467595e+08,1.72101207e+08,1.58486862e+08,6.10582128e+07,3.45554470e+07,1.24100270e+07,7.80100400e+06,5.24931960e+06,3.36442868e+06,1.56760711e+06,6.95872691e+05,1.73059722e+05,3.48032249e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,3.97498652e+10,2.45174596e+10,9.26718501e+09,2.43811705e+09,6.32030969e+08,2.03415571e+08,1.87068602e+08,7.19077241e+07,4.13137823e+07,1.45621420e+07,9.27806009e+06,6.22736848e+06,3.96503813e+06,1.83746878e+06,8.03737171e+05,2.00054272e+05,3.97136147e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.56135586e+10,2.81687743e+10,1.06502062e+10,2.81566737e+09,7.30591648e+08,2.36941156e+08,2.17245489e+08,8.33177977e+07,4.85476776e+07,1.68309809e+07,1.08507082e+07,7.26609718e+06,4.59583832e+06,2.11895531e+06,9.13724491e+05,2.27591966e+05,4.46090052e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,5.16906163e+10,3.19594390e+10,1.20887935e+10,3.21075271e+09,8.31613258e+08,2.73595939e+08,2.49037189e+08,9.52830615e+07,5.61709069e+07,1.92610985e+07,1.25095806e+07,8.36322314e+06,5.25361449e+06,2.41188278e+06,1.02599748e+06,2.55640974e+05,4.94906906e+04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
