# Legacy Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Diff.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,7.26119297e+07,4.42462539e+07,1.67166270e+07,4.19100342e+06,1.04138708e+06,3.37969574e+05,3.01916382e+05,1.19190712e+05,6.09551773e+04,2.43299923e+04,1.40571432e+04,9.51586342e+03,6.44863701e+03,3.09275150e+03,1.55319953e+03,3.91972810e+02,8.63421708e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,7.38197891e+07,4.51657422e+07,1.70419004e+07,4.34356641e+06,1.11465002e+06,3.44943024e+05,3.21628174e+05,1.25294044e+05,6.51132507e+04,2.60532703e+04,1.51668081e+04,1.03602982e+04,6.88306379e+03,3.30818200e+03,1.59392405e+03,3.93210709e+02,8.50926489e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,7.57559531e+07,4.64736602e+07,1.75462363e+07,4.51822949e+06,1.16375500e+06,3.64248077e+05,3.38403687e+05,1.31270020e+05,7.03690643e+04,2.70791340e+04,1.62089176e+04,1.10153379e+04,7.22046614e+03,3.43147922e+03,1.60178745e+03,3.96098107e+02,8.33359286e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,7.87249844e+07,4.84476445e+07,1.83034062e+07,4.77120264e+06,1.23433948e+06,3.91644958e+05,3.62298889e+05,1.39821930e+05,7.77945709e+04,2.85714188e+04,1.76894112e+04,1.19487419e+04,7.70793581e+03,3.61411381e+03,1.62261367e+03,4.02473330e+02,8.14359039e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,8.22685391e+07,5.07450586e+07,1.91800820e+07,5.04488135e+06,1.30931482e+06,4.19591156e+05,3.86936218e+05,1.48763962e+05,8.50126038e+04,3.01884689e+04,1.91497860e+04,1.28762341e+04,8.21045399e+03,3.81176281e+03,1.66474521e+03,4.13988024e+02,8.19338858e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,8.57624766e+07,5.30175391e+07,2.00472988e+07,5.31897266e+06,1.38469421e+06,4.48040009e+05,4.11918488e+05,1.57783722e+05,9.25020142e+04,3.18054104e+04,2.06506176e+04,1.38238125e+04,8.71710110e+03,4.00837040e+03,1.70504677e+03,4.24849510e+02,8.21254551e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,8.92304766e+07,5.52837188e+07,2.09123301e+07,5.59706836e+06,1.46155249e+06,4.77485382e+05,4.37670013e+05,1.67020676e+05,1.00436172e+05,3.34424896e+04,2.22231503e+04,1.48096781e+04,9.23581791e+03,4.20619488e+03,1.74298990e+03,4.35125440e+02,8.19896385e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,9.26351562e+07,5.75105156e+07,2.17619668e+07,5.87171240e+06,1.53758740e+06,5.06832123e+05,4.63268097e+05,1.76174347e+05,1.08437706e+05,3.50571899e+04,2.37989426e+04,1.57932520e+04,9.74930859e+03,4.40061283e+03,1.78034282e+03,4.45194364e+02,8.19384083e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,9.59888125e+07,5.97146328e+07,2.26030957e+07,6.14829736e+06,1.61452478e+06,5.36979919e+05,4.89456482e+05,1.85475998e+05,1.16840118e+05,3.66799736e+04,2.54362564e+04,1.68083744e+04,1.02710047e+04,4.59477520e+03,1.81513953e+03,4.54623908e+02,8.17412362e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,9.94676484e+07,6.19958672e+07,2.34976133e+07,6.43671436e+06,1.67083142e+06,5.80539673e+05,5.16439819e+05,1.94859818e+05,1.24289742e+05,3.89479942e+04,2.69853497e+04,1.78159180e+04,1.07556696e+04,4.78810978e+03,1.85110474e+03,4.63299274e+02,8.14384595e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
