# Legacy Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Diff.AP8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP8
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.1 0.2 0.4 0.6 0.8 1 2 4 6 8 10 15 20 30 50 60 80 100 150 200 250
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.04497760e+08,1.16876992e+08,3.06035580e+07,1.03406720e+07,3.98911225e+06,2.19565925e+06,6.92807109e+04,9.53796570e+02,6.29879951e+01,9.53961658e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.16620352e+08,1.25455688e+08,3.14457460e+07,1.11835910e+07,4.13047675e+06,2.32704800e+06,7.20881406e+04,9.46595154e+02,6.10639000e+01,9.13415813e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,3.19326016e+08,1.31163736e+08,3.25747560e+07,1.18891890e+07,4.26114650e+06,2.38804625e+06,7.42224453e+04,9.40365601e+02,5.98975525e+01,8.56362438e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.26482656e+08,1.36021568e+08,3.40054520e+07,1.24267170e+07,4.49986600e+06,2.43717900e+06,7.56271562e+04,9.29656555e+02,5.78480721e+01,7.90923977e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.37774752e+08,1.39905936e+08,3.57958040e+07,1.28578800e+07,4.79929100e+06,2.52304475e+06,7.73917656e+04,9.33255310e+02,5.68384247e+01,7.53117180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,3.56629664e+08,1.42877120e+08,3.78876520e+07,1.32822460e+07,5.05895600e+06,2.62423075e+06,7.95955312e+04,9.40579102e+02,5.58698807e+01,7.22185898e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,3.79785312e+08,1.44878224e+08,4.03266800e+07,1.36910580e+07,5.25854700e+06,2.74437525e+06,8.21344141e+04,9.48551392e+02,5.46654243e+01,6.92291069e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,4.02458400e+08,1.45418224e+08,4.34297640e+07,1.40861460e+07,5.43077650e+06,2.87043650e+06,8.47375234e+04,9.61168030e+02,5.36383743e+01,6.65807486e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,4.24709856e+08,1.45706016e+08,4.64862160e+07,1.44626570e+07,5.59411450e+06,2.98964625e+06,8.74548047e+04,9.65993774e+02,5.29769554e+01,6.40166378e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,4.36076512e+08,1.51311552e+08,4.85040520e+07,1.50810360e+07,5.75669650e+06,3.10988925e+06,9.01576016e+04,9.64455444e+02,5.23862686e+01,6.12554359e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
