# Irene Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Intg.AE8.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,2.56010317e+08,1.74358898e+08,1.18749782e+08,5.43574076e+07,2.40315687e+07,1.39254287e+07,1.01380548e+07,4.79775553e+06,2.48051430e+06,1.25609783e+06,7.25806632e+05,4.15166191e+05,2.12183635e+05,8.73058660e+04,3.07745021e+04,7.13281969e+03,1.46860563e+03,2.73203326e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,5.19823687e+08,3.54636258e+08,2.41942945e+08,1.11296187e+08,4.93842046e+07,2.86027838e+07,2.08734487e+07,9.87964976e+06,5.12403665e+06,2.58713096e+06,1.49694507e+06,8.53681449e+05,4.33581337e+05,1.77288574e+05,6.17845779e+04,1.42392559e+04,2.91117084e+03,5.41472360e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,7.94393672e+08,5.42812761e+08,3.70910014e+08,1.71362397e+08,7.62665730e+07,4.42285049e+07,3.22983461e+07,1.52978615e+07,7.95906804e+06,3.99540904e+06,2.31732793e+06,1.31612525e+06,6.64093418e+05,2.69583995e+05,9.29485024e+04,2.13390468e+04,4.32358563e+03,8.04500347e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.08261420e+09,7.40882644e+08,5.07027079e+08,2.35212873e+08,1.04979171e+08,6.09807744e+07,4.45429248e+07,2.11148444e+07,1.10194404e+07,5.49665697e+06,3.19637622e+06,1.80761048e+06,9.06169605e+05,3.65153310e+05,1.24596792e+05,2.85074535e+04,5.72084230e+03,1.06372680e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.38525419e+09,9.49331653e+08,6.50600448e+08,3.02961115e+08,1.35565064e+08,7.88814586e+07,5.76232013e+07,2.73376062e+07,1.43081046e+07,7.09314743e+06,4.13515583e+06,2.32895146e+06,1.16042841e+06,4.64377792e+05,1.56940238e+05,3.58002749e+04,7.11956386e+03,1.32184128e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.70231614e+09,1.16819809e+09,8.01683164e+08,3.74668394e+08,1.68064010e+08,9.79597546e+07,7.15601137e+07,3.39770713e+07,1.78325642e+07,8.78667261e+06,5.13513568e+06,2.88060313e+06,1.42687632e+06,5.67186114e+05,1.89936690e+05,4.32074962e+04,8.51842477e+03,1.57987653e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,2.03373105e+09,1.39745911e+09,9.60277926e+08,4.50362183e+08,2.02497469e+08,1.18232800e+08,8.63658698e+07,4.10398127e+07,2.15976629e+07,1.05781383e+07,6.19716689e+06,3.46276359e+06,1.70545841e+06,6.73512044e+05,2.23558190e+05,5.07230681e+04,9.91684285e+03,1.83818947e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,2.37937743e+09,1.63705379e+09,1.12635991e+09,5.30055505e+08,2.38880067e+08,1.39713651e+08,1.02049680e+08,4.85309515e+07,2.56074675e+07,1.24681026e+07,7.32188535e+06,4.07552131e+06,1.99607546e+06,7.83277467e+05,2.57775334e+05,5.83407547e+04,1.13142676e+04,2.09667030e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,2.73947623e+09,1.88715788e+09,1.30006801e+09,6.13806689e+08,2.77226984e+08,1.62487503e+08,1.18626292e+08,5.64546959e+07,2.98640997e+07,1.44618997e+07,8.50880393e+06,4.71867079e+06,2.29842080e+06,8.96417745e+05,2.92556029e+05,6.60472601e+04,1.27080761e+04,2.35468587e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,3.11444120e+09,2.14803387e+09,1.48156846e+09,7.01601244e+08,3.17480187e+08,1.86689416e+08,1.36082077e+08,6.47959167e+07,3.43556651e+07,1.65678177e+07,9.75337916e+06,5.39060216e+06,2.61168947e+06,1.01290928e+06,3.27917273e+05,7.38350629e+04,1.40975995e+04,2.61178863e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,3.50440660e+09,2.41976469e+09,1.67091254e+09,7.93407301e+08,3.59592710e+08,2.12408622e+08,1.54404911e+08,7.35431769e+07,3.90737120e+07,1.87909793e+07,1.10523691e+07,6.09008504e+06,2.93525955e+06,1.13268995e+06,3.63855908e+05,8.16973339e+04,1.54823896e+04,2.86770570e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,3.90918451e+09,2.70224145e+09,1.86804080e+09,8.89209072e+08,4.03558504e+08,2.39672785e+08,1.73596161e+08,8.26965551e+07,4.40188201e+07,2.11324876e+07,1.24053971e+07,6.81681401e+06,3.26887454e+06,1.25564674e+06,4.00330711e+05,8.96251296e+04,1.68612581e+04,3.12220908e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,4.32854005e+09,2.99532152e+09,2.07286930e+09,9.88978262e+08,4.49365752e+08,2.68505720e+08,1.93654590e+08,9.22548915e+07,4.91908851e+07,2.35931120e+07,1.38119162e+07,7.57039773e+06,3.61224686e+06,1.38165731e+06,4.37299421e+05,9.76094889e+04,1.82330716e+04,3.37508318e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,4.76230610e+09,3.29892902e+09,2.28537432e+09,1.09272633e+09,4.97021886e+08,2.98963994e+08,2.14590325e+08,1.02222054e+08,5.45929053e+07,2.61756559e+07,1.52718232e+07,8.35059770e+06,3.96504397e+06,1.51055892e+06,4.74690201e+05,1.05632884e+05,1.95944932e+04,3.62568561e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,5.21027629e+09,3.61294959e+09,2.50549814e+09,1.20044246e+09,5.46523556e+08,3.31087626e+08,2.36407217e+08,1.12599128e+08,6.02261840e+07,2.88818430e+07,1.67847639e+07,9.15708817e+06,4.32696036e+06,1.64221345e+06,5.12449738e+05,1.13683202e+05,2.09435816e+04,3.87364751e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,5.67208583e+09,3.93713473e+09,2.73307260e+09,1.31204982e+09,5.97836005e+08,3.64873419e+08,2.59091921e+08,1.23379467e+08,6.60873935e+07,3.17105598e+07,1.83495926e+07,9.98922158e+06,4.69768210e+06,1.77650851e+06,5.50553644e+05,1.21757128e+05,2.22807100e+04,4.11905153e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,6.14744870e+09,4.27131213e+09,2.96799756e+09,1.42751603e+09,6.50945920e+08,4.00354832e+08,2.82643758e+08,1.34562003e+08,7.21766520e+07,3.46629527e+07,1.99656641e+07,1.08465248e+07,5.07685339e+06,1.91329150e+06,5.88947689e+05,1.29842748e+05,2.36040781e+04,4.36156130e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,6.63625482e+09,4.61544398e+09,3.21027536e+09,1.54686483e+09,7.05866319e+08,4.37595792e+08,3.07075432e+08,1.46151804e+08,7.84976377e+07,3.77422276e+07,2.16330530e+07,1.17288595e+07,5.46420553e+06,2.05242916e+06,6.27574446e+05,1.37926452e+05,2.49112803e+04,4.60072326e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,7.13856351e+09,4.96960543e+09,3.45998315e+09,1.67009605e+09,7.62618651e+08,4.76328912e+08,3.32377504e+08,1.58154951e+08,8.50408332e+07,4.09427005e+07,2.33511465e+07,1.26347065e+07,5.85931482e+06,2.19363344e+06,6.66377064e+05,1.45998329e+05,2.62052699e+04,4.83600181e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00
