# Legacy Model output file: ../../unitTests/Legacy/Ax8min_atEpoch_Intg.AE8.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AE8
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Min
# Energy levels (MeV):       0.04 0.07 0.1 0.25 0.5 0.75 1 1.5 2 2.5 3 3.5 4 4.5 5 5.5 6 6.5 7 7.5 8
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,4.20902246e+06,2.86068799e+06,1.94428406e+06,8.84336609e+05,3.89010254e+05,2.26079605e+05,1.63750214e+05,7.75374603e+04,3.99417915e+04,2.02133732e+04,1.16780653e+04,6.69290924e+03,3.44376183e+03,1.42524385e+03,5.09414494e+02,1.19135708e+02,2.46734265e+01,4.59568761e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.32465527e+06,2.95127563e+06,2.01404224e+06,9.27577087e+05,4.12042084e+05,2.38101379e+05,1.74184967e+05,8.23877335e+04,4.27420235e+04,2.16565571e+04,1.25154905e+04,7.14596462e+03,3.62902641e+03,1.48495185e+03,5.16402304e+02,1.18624963e+02,2.42800973e+01,4.51109046e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,4.46912305e+06,3.05796924e+06,2.09239624e+06,9.70382080e+05,4.33045715e+05,2.51143753e+05,1.83661469e+05,8.70087280e+04,4.53753815e+04,2.27112103e+04,1.31891222e+04,7.47120953e+03,3.75089645e+03,1.51447153e+03,5.17266810e+02,1.18256226e+02,2.38054059e+01,4.43120999e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,4.68321045e+06,3.21458130e+06,2.20650635e+06,1.03182507e+06,4.63033295e+05,2.69713654e+05,1.97168472e+05,9.35983429e+04,4.91256714e+04,2.42313957e+04,1.41569748e+04,7.94358492e+03,3.93284011e+03,1.56204271e+03,5.21530747e+02,1.18403487e+02,2.32750904e+01,4.33639018e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,4.92413965e+06,3.38774756e+06,2.33072876e+06,1.09652393e+06,4.94053223e+05,2.88695282e+05,2.10984116e+05,1.00301071e+05,5.28867302e+04,2.58101978e+04,1.51446323e+04,8.43925476e+03,4.13636541e+03,1.62360084e+03,5.33412158e+02,1.20543383e+02,2.33001281e+01,4.30449098e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,5.16386084e+06,3.56055322e+06,2.45505054e+06,1.16175098e+06,5.25476624e+05,3.07994232e+05,2.25025131e+05,1.07124336e+05,5.67354202e+04,2.74061546e+04,1.61480236e+04,8.93877888e+03,4.33892870e+03,1.68388212e+03,5.44702768e+02,1.22550681e+02,2.33239271e+01,4.29932540e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,5.40486963e+06,3.73499414e+06,2.58103955e+06,1.22849146e+06,5.57821472e+05,3.27948914e+05,2.39538574e+05,1.14191147e+05,6.07465553e+04,2.90446796e+04,1.71846352e+04,9.44960880e+03,4.54266739e+03,1.74306166e+03,5.55178881e+02,1.24356672e+02,2.33047660e+01,4.30184882e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,5.64229492e+06,3.90704028e+06,2.70545288e+06,1.29463501e+06,5.89960571e+05,3.47819305e+05,2.53986664e+05,1.21233582e+05,6.47567444e+04,3.06708488e+04,1.82164078e+04,9.95574093e+03,4.74340296e+03,1.80113626e+03,5.65537870e+02,1.26162410e+02,2.33091731e+01,4.30858321e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,5.87925000e+06,4.07944824e+06,2.83061279e+06,1.36180884e+06,6.22792603e+05,3.68209015e+05,2.68806976e+05,1.28471024e+05,6.89033966e+04,3.23279533e+04,1.92742043e+04,1.04695148e+04,4.94383144e+03,1.85771084e+03,5.75033486e+02,1.27760455e+02,2.32716482e+01,4.30744374e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,6.12404443e+06,4.25735547e+06,2.95965747e+06,1.42989746e+06,6.55438049e+05,3.90919434e+05,2.83746796e+05,1.35653809e+05,7.29843521e+04,3.41319542e+04,2.02897511e+04,1.09688025e+04,5.13434696e+03,1.91363204e+03,5.84323108e+02,1.29123077e+02,2.31886394e+01,4.29307576e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,6.37478857e+06,4.43851123e+06,3.09035815e+06,1.49658789e+06,6.86335449e+05,4.15811035e+05,2.98112732e+05,1.42386902e+05,7.67345047e+04,3.60653191e+04,2.11960926e+04,1.14289112e+04,5.30794287e+03,1.96941948e+03,5.94385087e+02,1.30470365e+02,2.31288094e+01,4.27701697e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,6.62405713e+06,4.61918213e+06,3.22111060e+06,1.56361377e+06,7.17415222e+05,4.41495789e+05,3.12648346e+05,1.49188416e+05,8.05337143e+04,3.80400620e+04,2.21035690e+04,1.18871832e+04,5.47772551e+03,2.02326894e+03,6.03569329e+02,1.31605312e+02,2.30308548e+01,4.25355136e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,6.86854053e+06,4.79671045e+06,3.34983179e+06,1.62977881e+06,7.48111328e+05,4.67309692e+05,3.27060028e+05,1.55924210e+05,8.43032303e+04,4.00102196e+04,2.29973679e+04,1.23371172e+04,5.64277506e+03,2.07529116e+03,6.12257481e+02,1.32654563e+02,2.29314324e+01,4.22989484e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,7.10997656e+06,4.97262451e+06,3.47778442e+06,1.69586060e+06,7.78796814e+05,4.93788055e+05,3.41554230e+05,1.62686981e+05,8.80989227e+04,4.20105858e+04,2.38865986e+04,1.27823381e+04,5.80296803e+03,2.12506080e+03,6.20032787e+02,1.33490726e+02,2.27956809e+01,4.19924129e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,7.34889258e+06,5.14762598e+06,3.60571655e+06,1.76240857e+06,8.09741089e+05,5.21487793e+05,3.56303650e+05,1.69551804e+05,9.19684296e+04,4.40742149e+04,2.47769699e+04,1.32243290e+04,5.95693636e+03,2.17165971e+03,6.26326621e+02,1.33955777e+02,2.25850437e+01,4.15417366e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,7.58344580e+06,5.31972559e+06,3.73174365e+06,1.82812866e+06,8.40314453e+05,5.49299866e+05,3.70926025e+05,1.76350632e+05,9.58075104e+04,4.61320152e+04,2.56543827e+04,1.36586847e+04,6.10694218e+03,2.21682429e+03,6.32324517e+02,1.34388149e+02,2.23845635e+01,4.11122246e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,7.81020654e+06,5.48644678e+06,3.85407227e+06,1.89211694e+06,8.70100647e+05,5.76893311e+05,3.85230804e+05,1.82994003e+05,9.95661545e+04,4.81585541e+04,2.65065784e+04,1.40790977e+04,6.25045013e+03,2.25967813e+03,6.37805760e+02,1.34742752e+02,2.21863873e+01,4.06891201e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,8.03522119e+06,5.65279883e+06,3.97675903e+06,1.95675659e+06,9.00229675e+05,6.05820374e+05,3.99830383e+05,1.89757187e+05,1.03409111e+05,5.02545319e+04,2.73624668e+04,1.44976721e+04,6.38859177e+03,2.29975438e+03,6.41995609e+02,1.34777889e+02,2.19258796e+01,4.01474629e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
