# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.20639981e+09,3.29471980e+09,5.92319965e+08,1.27919992e+08,3.67199978e+07,1.02749994e+07,3.94499976e+06,9.95624941e+05,2.02031267e+05,4.57031366e+04
53219.00138889,1.54095775,1.15238275,-1.00243596,6.41280005e+09,6.58944006e+09,1.18464001e+09,2.55840002e+08,7.34400006e+07,2.05500002e+07,7.89000007e+06,1.99125002e+06,4.04062561e+05,9.14062794e+04
53219.00208333,1.54525254,1.20656344,-1.00212801,9.54815983e+09,9.85343983e+09,1.77311997e+09,3.83639993e+08,1.10399998e+08,3.08099995e+07,1.18012498e+07,2.95218745e+06,5.94023506e+05,1.36904336e+05
53219.00277778,1.54874404,1.26011693,-1.00129850,1.26124801e+10,1.30867201e+10,2.35776002e+09,5.11320004e+08,1.47600001e+08,4.10550003e+07,1.56787501e+07,3.87843753e+06,7.71914161e+05,1.82197319e+05
53219.00347222,1.55146409,1.31304307,-0.99997002,1.57612799e+10,1.64217599e+10,2.96591998e+09,6.44879995e+08,1.86659999e+08,5.18774996e+07,1.97924998e+07,4.86937496e+06,9.64336037e+05,2.32001996e+05
53219.00416667,1.55344362,1.36534232,-0.99816377,1.89945602e+10,1.98585602e+10,3.59760003e+09,7.84320007e+08,2.27580002e+08,6.32775006e+07,2.41425002e+07,5.92500005e+06,1.17128919e+06,2.86318382e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,2.21932799e+10,2.32569599e+10,4.22495999e+09,9.23639997e+08,2.68439999e+08,7.46699998e+07,2.84549999e+07,6.94874998e+06,1.37085950e+06,3.40019548e+05
53219.00555556,1.55529429,1.46806646,-0.99319736,2.53574402e+10,2.66169602e+10,4.84800004e+09,1.06284001e+09,3.09240003e+08,8.60550008e+07,3.27300003e+07,7.94062507e+06,1.56304702e+06,3.93105512e+05
53219.00625000,1.55521927,1.51849557,-0.99007424,2.85216000e+10,2.99769600e+10,5.47104000e+09,1.20204000e+09,3.50040000e+08,9.74400000e+07,3.70050000e+07,8.93250000e+06,1.75523450e+06,4.46191467e+05
53219.00694444,1.55451077,1.56830628,-0.98654759,3.16857598e+10,3.33369598e+10,6.09407996e+09,1.34123999e+09,3.90839997e+08,1.08824999e+08,4.12799997e+07,9.92437494e+06,1.94742199e+06,4.99277423e+05
53219.00763889,1.55319249,1.61750188,-0.98263373,3.49075201e+10,3.67641601e+10,6.73296001e+09,1.48440000e+09,4.32930001e+08,1.20607500e+08,4.57162501e+07,1.09584375e+07,2.14910169e+06,5.55498146e+05
53219.00833333,1.55128673,1.66608598,-0.97834803,3.81868799e+10,4.02585598e+10,7.38767997e+09,1.63151999e+09,4.76309998e+08,1.32787499e+08,5.03137498e+07,1.20346875e+07,2.36027354e+06,6.14853622e+05
53219.00902778,1.54881514,1.71406234,-0.97370527,4.14240001e+10,4.37068801e+10,8.03952002e+09,1.77840000e+09,5.19750001e+08,1.44930000e+08,5.48512502e+07,1.30856250e+07,2.56875012e+06,6.71982536e+05
53219.00972222,1.54579812,1.76143505,-0.96871939,4.46188799e+10,4.71091199e+10,8.68847998e+09,1.92504000e+09,5.63249999e+08,1.57035000e+08,5.93287499e+07,1.41112500e+07,2.77453139e+06,7.26884873e+05
53219.01041667,1.54225483,1.80820850,-0.96340360,4.78944002e+10,5.06092802e+10,9.36144003e+09,2.07780001e+09,6.08790002e+08,1.69762501e+08,6.40612502e+07,1.52034376e+07,2.99578143e+06,7.86855569e+05
53219.01111111,1.53820426,1.85438693,-0.95777059,5.12505599e+10,5.42073599e+10,1.00584000e+10,2.23668000e+09,6.56369999e+08,1.83112500e+08,6.90487499e+07,1.63621875e+07,3.23250020e+06,8.51894605e+05
53219.01180556,1.53366367,1.89997504,-0.95183246,5.46067202e+10,5.78054402e+10,1.07553600e+10,2.39556001e+09,7.03950003e+08,1.96462501e+08,7.40362503e+07,1.75209376e+07,3.46921899e+06,9.16933652e+05
53219.01250000,1.52865033,1.94497724,-0.94560083,5.79340800e+10,6.13497600e+10,1.14499200e+10,2.55408000e+09,7.51500000e+08,2.09730000e+08,7.89487500e+07,1.86590625e+07,3.70453151e+06,9.78310588e+05
53219.01319444,1.52318025,1.98939854,-0.93908636,6.12326398e+10,6.48403198e+10,1.21420800e+10,2.71223999e+09,7.99019997e+08,2.22914999e+08,8.37862497e+07,1.97765624e+07,3.93843777e+06,1.03602542e+06
53219.01388889,1.51726880,2.03324350,-0.93229988,6.45312000e+10,6.83308800e+10,1.28342400e+10,2.87040000e+09,8.46540001e+08,2.36100000e+08,8.86237501e+07,2.08940625e+07,4.17234407e+06,1.09374027e+06
53219.01458333,1.51093106,2.07651714,-0.92525113,6.78931198e+10,7.18982398e+10,1.35456000e+10,3.03359999e+09,8.95709998e+08,2.49787499e+08,9.36637498e+07,2.20649999e+07,4.41914094e+06,1.15529301e+06
53219.01527778,1.50418085,2.11922432,-0.91794984,7.13184001e+10,7.55424001e+10,1.42761600e+10,3.20184001e+09,9.46530002e+08,2.63977500e+08,9.89062502e+07,2.32893750e+07,4.67882846e+06,1.22068365e+06
53219.01597222,1.49703211,2.16136976,-0.91040510,7.47436799e+10,7.91865599e+10,1.50067200e+10,3.37008000e+09,9.97349999e+08,2.78167500e+08,1.04148750e+08,2.45137500e+07,4.93851595e+06,1.28607429e+06
53219.01666667,1.48949758,2.20295831,-0.90262557,7.81152002e+10,8.27692802e+10,1.57339200e+10,3.53796001e+09,1.04784000e+09,2.92200001e+08,1.09290000e+08,2.57109376e+07,5.19515661e+06,1.34742195e+06
53219.01736111,1.48158981,2.24399485,-0.89462001,8.14329600e+10,8.62905600e+10,1.64577600e+10,3.70548000e+09,1.09800000e+09,3.06075000e+08,1.14330000e+08,2.68809375e+07,5.44875037e+06,1.40472663e+06
53219.01805556,1.47332072,2.28448440,-0.88639597,8.47507202e+10,8.98118402e+10,1.71816000e+10,3.87300001e+09,1.14816000e+09,3.19950001e+08,1.19370000e+08,2.80509376e+07,5.70234417e+06,1.46203131e+06
53219.01875000,1.46470178,2.32443150,-0.87796145,8.81299200e+10,9.34060800e+10,1.79246400e+10,4.04544000e+09,1.19994000e+09,3.34327500e+08,1.24612500e+08,2.92734375e+07,5.96906293e+06,1.52285163e+06
53219.01944444,1.45574413,2.36384103,-0.86932383,9.15705598e+10,9.70732798e+10,1.86868799e+10,4.22279999e+09,1.25334000e+09,3.49207499e+08,1.30057500e+08,3.05484374e+07,6.24890669e+06,1.58718758e+06
53219.02013889,1.44645844,2.40271786,-0.86049017,9.50112001e+10,1.00740480e+11,1.94491200e+10,4.40016000e+09,1.30674000e+09,3.64087500e+08,1.35502500e+08,3.18234375e+07,6.52875049e+06,1.65152355e+06
53219.02083333,1.43685460,2.44106636,-0.85146738,9.83961598e+10,1.04348160e+11,2.02060800e+10,4.57691999e+09,1.35954000e+09,3.78719999e+08,1.40857500e+08,3.30778124e+07,6.80062550e+06,1.71316418e+06
53219.02152778,1.42694265,2.47889157,-0.84226174,1.01725440e+11,1.07896320e+11,2.09577600e+10,4.75308000e+09,1.41174000e+09,3.93105000e+08,1.46122500e+08,3.43115625e+07,7.06453180e+06,1.77210951e+06
