# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,2.03026746e+09,1.05730752e+09,2.05859622e+08,4.70036325e+07,1.40756361e+07,4.67663653e+06,1.83263672e+06,6.45386772e+05,1.61273465e+05,3.77050866e+04
53219.00138889,1.54095775,1.15238275,-1.00243596,4.06053519e+09,2.11461517e+09,4.11719271e+08,9.40072713e+07,2.81512740e+07,9.35327370e+06,3.66527370e+06,1.29077363e+06,3.22546952e+05,7.54101783e+04
53219.00208333,1.54525254,1.20656344,-1.00212801,6.06626485e+09,3.16365686e+09,6.16705038e+08,1.41025055e+08,4.22170616e+07,1.39750621e+07,5.45281222e+06,1.91168724e+06,4.78352150e+05,1.12946074e+05
53219.00277778,1.54874404,1.26011693,-1.00129850,8.04745706e+09,4.20443289e+09,8.20816984e+08,1.88056999e+08,5.62730031e+07,1.85420031e+07,7.19525282e+06,2.50812778e+06,6.28689106e+05,1.50312786e+05
53219.00347222,1.55146409,1.31304307,-0.99997002,1.00929339e+10,5.28198980e+09,1.03371395e+09,2.37405983e+08,7.10979885e+07,2.33904891e+07,9.05648905e+06,3.15023907e+06,7.92646123e+05,1.91401645e+05
53219.00416667,1.55344362,1.36534232,-0.99816377,1.22026960e+10,6.39632795e+09,1.25539601e+09,2.89072023e+08,8.66920224e+07,2.85205216e+07,1.10365215e+07,3.83802132e+06,9.70223252e+05,2.36212664e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,1.42914311e+10,7.50048713e+09,1.47598325e+09,3.40639262e+08,1.02223263e+08,3.36012629e+07,1.29762631e+07,4.50576297e+06,1.14364756e+06,2.80516127e+05
53219.00555556,1.55529429,1.46806646,-0.99319736,1.63591398e+10,8.59446769e+09,1.69547572e+09,3.92107716e+08,1.17691716e+08,3.86327146e+07,1.48757145e+07,5.15346424e+06,1.31291909e+06,3.24312048e+05
53219.00625000,1.55521927,1.51849557,-0.99007424,1.84268482e+10,9.68844808e+09,1.91496815e+09,4.43576162e+08,1.33160167e+08,4.36641655e+07,1.67751656e+07,5.80116540e+06,1.48219060e+06,3.68107962e+05
53219.00694444,1.55451077,1.56830628,-0.98654759,2.04945566e+10,1.07824285e+10,2.13446059e+09,4.95044609e+08,1.48628617e+08,4.86956164e+07,1.86746167e+07,6.44886657e+06,1.65146212e+06,4.11903876e+05
53219.00763889,1.55319249,1.61750188,-0.98263373,2.26052677e+10,1.19009315e+10,2.35988755e+09,5.48091554e+08,1.64625561e+08,5.39180588e+07,2.06533088e+07,7.12668355e+06,1.82994019e+06,4.58285974e+05
53219.00833333,1.55128673,1.66608598,-0.97834803,2.47589809e+10,1.30439569e+10,2.59124897e+09,6.02716984e+08,1.81150993e+08,5.93314911e+07,2.27112413e+07,7.83461617e+06,2.01762477e+06,5.07254242e+05
53219.00902778,1.54881514,1.71406234,-0.97370527,2.68886053e+10,1.41760452e+10,2.82182520e+09,6.57253207e+08,1.97623213e+08,6.46872093e+07,2.47309593e+07,8.52645904e+06,2.20049003e+06,5.54385597e+05
53219.00972222,1.54579812,1.76143505,-0.96871939,2.89941401e+10,1.52971961e+10,3.05161618e+09,7.11700209e+08,2.14042215e+08,6.99852119e+07,2.67124623e+07,9.20221196e+06,2.37853593e+06,5.99680026e+05
53219.01041667,1.54225483,1.80820850,-0.96340360,3.11625010e+10,1.64548209e+10,3.29049695e+09,7.68612980e+08,2.31294982e+08,7.55844764e+07,2.88197267e+07,9.92610118e+06,2.57151884e+06,6.49155849e+05
53219.01111111,1.53820426,1.85438693,-0.95777059,3.33936874e+10,1.76489194e+10,3.53846744e+09,8.27991505e+08,2.49381507e+08,8.14850012e+07,3.10527520e+07,1.06981265e+07,2.77943872e+06,7.02813054e+05
53219.01180556,1.53366367,1.89997504,-0.95183246,3.56248741e+10,1.88430181e+10,3.78643797e+09,8.87370039e+08,2.67468035e+08,8.73855269e+07,3.32857776e+07,1.14701519e+07,2.98735863e+06,7.56470268e+05
53219.01250000,1.52865033,1.94497724,-0.94560083,3.78319857e+10,2.00248018e+10,4.03362572e+09,9.46577825e+08,2.85461822e+08,9.32158140e+07,3.54800651e+07,1.22266895e+07,3.18863839e+06,8.07106240e+05
53219.01319444,1.52318025,1.98939854,-0.93908636,4.00150228e+10,2.11942707e+10,4.28003073e+09,1.00561487e+09,3.03362870e+08,9.89758636e+07,3.76356148e+07,1.29677393e+07,3.38327804e+06,8.54720979e+05
53219.01388889,1.51726880,2.03324350,-0.93229988,4.21980601e+10,2.23637398e+10,4.52643578e+09,1.06465193e+09,3.21263922e+08,1.04735914e+08,3.97911648e+07,1.37087892e+07,3.57791771e+06,9.02335726e+05
53219.01458333,1.51093106,2.07651714,-0.92525113,4.44307232e+10,2.35621468e+10,4.78017884e+09,1.12569902e+09,3.39837010e+08,1.10737503e+08,4.20472541e+07,1.44885036e+07,3.78436839e+06,9.53116732e+05
53219.01527778,1.50418085,2.11922432,-0.91794984,4.67130125e+10,2.47894921e+10,5.04125999e+09,1.18875615e+09,3.59082142e+08,1.16980632e+08,4.44038832e+07,1.53068826e+07,4.00263016e+06,1.00706401e+06
53219.01597222,1.49703211,2.16136976,-0.91040510,4.89953015e+10,2.60168371e+10,5.30234109e+09,1.25181328e+09,3.78327271e+08,1.23223761e+08,4.67605120e+07,1.61252615e+07,4.22089189e+06,1.06101129e+06
53219.01666667,1.48949758,2.20295831,-0.90262557,5.12459563e+10,2.72296358e+10,5.56225572e+09,1.31453190e+09,3.97371891e+08,1.29363879e+08,4.90658804e+07,1.69235048e+07,4.43118782e+06,1.11162311e+06
53219.01736111,1.48158981,2.24399485,-0.89462001,5.34649762e+10,2.84278879e+10,5.82100380e+09,1.37691200e+09,4.16215997e+08,1.35400987e+08,5.13199878e+07,1.77016122e+07,4.63351790e+06,1.15889947e+06
53219.01805556,1.47332072,2.28448440,-0.88639597,5.56839965e+10,2.96261401e+10,6.07975192e+09,1.43929211e+09,4.35060105e+08,1.41438095e+08,5.35740955e+07,1.84797196e+07,4.83584799e+06,1.20617584e+06
53219.01875000,1.46470178,2.32443150,-0.87796145,5.79509974e+10,3.08525012e+10,6.34577696e+09,1.50364518e+09,4.54569169e+08,1.47715659e+08,5.59276599e+07,1.92957841e+07,5.04955700e+06,1.25635260e+06
53219.01944444,1.45574413,2.36384103,-0.86932383,6.02659794e+10,3.21069711e+10,6.61907896e+09,1.56997119e+09,4.74743189e+08,1.54233681e+08,5.83806814e+07,2.01498055e+07,5.27464493e+06,1.30942976e+06
53219.02013889,1.44645844,2.40271786,-0.86049017,6.25809617e+10,3.33614413e+10,6.89238101e+09,1.63629722e+09,4.94917213e+08,1.60751703e+08,6.08337032e+07,2.10038272e+07,5.49973290e+06,1.36250693e+06
53219.02083333,1.43685460,2.44106636,-0.85146738,6.48633089e+10,3.46004604e+10,7.16385228e+09,1.70210052e+09,5.14808513e+08,1.67156504e+08,6.32410040e+07,2.18383779e+07,5.71698683e+06,1.41336045e+06
53219.02152778,1.42694265,2.47889157,-0.84226174,6.71130217e+10,3.58240291e+10,7.43349286e+09,1.76738110e+09,5.34417094e+08,1.73448085e+08,6.56025846e+07,2.26534581e+07,5.92640681e+06,1.46199034e+06
53219.02222222,1.41673201,2.51619773,-0.83287968,6.94128119e+10,3.70772272e+10,7.71107908e+09,1.83485935e+09,5.54759349e+08,1.80003840e+08,6.80745904e+07,2.35110890e+07,6.14857672e+06,1.51390732e+06
