# Legacy Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.38377930e+07,1.76217930e+07,3.43099390e+06,7.83393921e+05,2.34593948e+05,7.79439468e+04,3.05439472e+04,1.07564468e+04,2.68789124e+03,6.28418148e+02
53219.00069444,1.53582559,1.09757628,-1.00219911,3.38377930e+07,1.76217930e+07,3.43099390e+06,7.83393921e+05,2.34593948e+05,7.79439468e+04,3.05439472e+04,1.07564468e+04,2.68789124e+03,6.28418148e+02
53219.00138889,1.54095775,1.15238275,-1.00243596,3.38377930e+07,1.76217930e+07,3.43099390e+06,7.83393921e+05,2.34593948e+05,7.79439468e+04,3.05439472e+04,1.07564468e+04,2.68789124e+03,6.28418148e+02
53219.00208333,1.54525254,1.20656344,-1.00212801,3.30198672e+07,1.73462656e+07,3.40186548e+06,7.83865662e+05,2.34265671e+05,7.61156769e+04,2.90406742e+04,9.94067478e+03,2.50561571e+03,6.22778475e+02
53219.00277778,1.54874404,1.26011693,-1.00129850,3.30198672e+07,1.73462656e+07,3.40186548e+06,7.83865662e+05,2.34265671e+05,7.61156769e+04,2.90406742e+04,9.94067478e+03,2.50561571e+03,6.22778475e+02
53219.00347222,1.55146409,1.31304307,-0.99997002,3.51626992e+07,1.85723008e+07,3.69470068e+06,8.61100586e+05,2.59900543e+05,8.55005341e+04,3.30005379e+04,1.14630365e+04,2.95961857e+03,7.46850252e+02
53219.00416667,1.55344362,1.36534232,-0.99816377,3.51626992e+07,1.85723008e+07,3.69470068e+06,8.61100586e+05,2.59900543e+05,8.55005341e+04,3.30005379e+04,1.14630365e+04,2.95961857e+03,7.46850252e+02
53219.00486111,1.55471104,1.41701626,-0.99589999,3.44618086e+07,1.82330078e+07,3.65820752e+06,8.57807495e+05,2.57807526e+05,8.38575211e+04,3.16575203e+04,1.07950201e+04,2.82119203e+03,7.29931951e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,3.44618086e+07,1.82330078e+07,3.65820752e+06,8.57807495e+05,2.57807526e+05,8.38575211e+04,3.16575203e+04,1.07950201e+04,2.82119203e+03,7.29931951e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,3.44618086e+07,1.82330078e+07,3.65820752e+06,8.57807495e+05,2.57807526e+05,8.38575211e+04,3.16575203e+04,1.07950201e+04,2.82119203e+03,7.29931951e+02
