# Legacy Model output file: ../../unitTests/Legacy/CRRactive_NatEpochSa_Intg.CRRESPRO.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.68601719e+04,1.99749939e+03,7.94446045e+02,3.04560974e+02,1.09286911e+02,1.09286911e+02,1.01626854e+01,7.56924772e+00,1.66854727e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.68601719e+04,1.99749939e+03,7.94446045e+02,3.04560974e+02,1.09286911e+02,1.09286911e+02,1.01626854e+01,7.56924772e+00,1.66854727e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,1.68601719e+04,1.99749939e+03,7.94446045e+02,3.04560974e+02,1.09286911e+02,1.09286911e+02,1.01626854e+01,7.56924772e+00,1.66854727e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,1.51237227e+04,1.65627698e+03,6.65023682e+02,2.27263596e+02,7.39390411e+01,7.39390411e+01,8.24764538e+00,6.12888765e+00,1.62244165e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.51237227e+04,1.65627698e+03,6.65023682e+02,2.27263596e+02,7.39390411e+01,7.39390411e+01,8.24764538e+00,6.12888765e+00,1.62244165e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,2.12972734e+04,2.29798608e+03,9.04755737e+02,2.98003357e+02,9.62880630e+01,9.62880630e+01,1.02452631e+01,7.98329926e+00,1.84168470e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,2.12972734e+04,2.29798608e+03,9.04755737e+02,2.98003357e+02,9.62880630e+01,9.62880630e+01,1.02452631e+01,7.98329926e+00,1.84168470e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.81263086e+04,2.06123877e+03,7.38922913e+02,2.58542755e+02,7.37751236e+01,7.37751236e+01,4.52562141e+00,4.52562141e+00,1.15984643e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.81263086e+04,2.06123877e+03,7.38922913e+02,2.58542755e+02,7.37751236e+01,7.37751236e+01,4.52562141e+00,4.52562141e+00,1.15984643e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.81263086e+04,2.06123877e+03,7.38922913e+02,2.58542755e+02,7.37751236e+01,7.37751236e+01,4.52562141e+00,4.52562141e+00,1.15984643e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,1.81263086e+04,2.06123877e+03,7.38922913e+02,2.58542755e+02,7.37751236e+01,7.37751236e+01,4.52562141e+00,4.52562141e+00,1.15984643e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,2.26893301e+04,2.51555444e+03,8.93811768e+02,3.04681488e+02,8.70629501e+01,8.70629501e+01,6.47631741e+00,6.15413141e+00,1.49110556e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
