# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.28703980e+09,3.35231980e+09,5.98079964e+08,1.28159992e+08,3.55799979e+07,1.02749994e+07,4.07999976e+06,1.08187494e+06,2.38124986e+05,4.85741980e+04
53219.00138889,1.54095775,1.15238275,-1.00243596,6.53376005e+09,6.67584005e+09,1.19328001e+09,2.56200002e+08,7.17300006e+07,2.05500002e+07,8.09250006e+06,2.12062502e+06,4.58203142e+05,9.57128717e+04
53219.00208333,1.54525254,1.20656344,-1.00212801,9.74015983e+09,9.97055982e+09,1.78559997e+09,3.84119993e+08,1.08449998e+08,3.08249995e+07,1.20374998e+07,3.11624995e+06,6.60234406e+05,1.41416008e+05
53219.00277778,1.54874404,1.26011693,-1.00129850,1.30348801e+10,1.33689601e+10,2.40192002e+09,5.17920005e+08,1.47030001e+08,4.16775004e+07,1.62262502e+07,4.18125004e+06,8.78789134e+05,1.91689471e+05
53219.00347222,1.55146409,1.31304307,-0.99997002,1.63430399e+10,1.68383999e+10,3.03791998e+09,6.57479995e+08,1.87709999e+08,5.30924996e+07,2.06174998e+07,5.27624996e+06,1.09980476e+06,2.46269547e+05
53219.00416667,1.55344362,1.36534232,-0.99816377,1.95763202e+10,2.02752002e+10,3.66960003e+09,7.96920007e+08,2.28630002e+08,6.44925006e+07,2.49675002e+07,6.33187505e+06,1.30675792e+06,3.00585933e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,2.28095999e+10,2.37119999e+10,4.30127999e+09,9.36359997e+08,2.69549999e+08,7.58924998e+07,2.93174999e+07,7.38749998e+06,1.51371104e+06,3.54902311e+05
53219.00555556,1.55529429,1.46806646,-0.99319736,2.60428802e+10,2.71488002e+10,4.93296004e+09,1.07580001e+09,3.10470003e+08,8.72925008e+07,3.36675003e+07,8.44312507e+06,1.72066420e+06,4.09218696e+05
53219.00625000,1.55521927,1.51849557,-0.99007424,2.92761600e+10,3.05856000e+10,5.56464000e+09,1.21524000e+09,3.51390000e+08,9.86925000e+07,3.80175000e+07,9.49875000e+06,1.92761732e+06,4.63535074e+05
53219.00694444,1.55451077,1.56830628,-0.98654759,3.25324798e+10,3.40511998e+10,6.20783996e+09,1.35851999e+09,3.93539997e+08,1.10482499e+08,4.24912497e+07,1.05646874e+07,2.13667981e+06,5.20371001e+05
53219.00763889,1.55319249,1.61750188,-0.98263373,3.58118401e+10,3.75456001e+10,6.86256001e+09,1.50564000e+09,4.36920001e+08,1.22662500e+08,4.70887501e+07,1.16409375e+07,2.34785169e+06,5.79726485e+05
53219.00833333,1.55128673,1.66608598,-0.97834803,3.90911999e+10,4.10399998e+10,7.51727997e+09,1.65275999e+09,4.80299998e+08,1.34842499e+08,5.16862498e+07,1.27171875e+07,2.55902353e+06,6.39081961e+05
53219.00902778,1.54881514,1.71406234,-0.97370527,4.23705601e+10,4.45344001e+10,8.17200002e+09,1.79988001e+09,5.23680002e+08,1.47022500e+08,5.62837502e+07,1.37934375e+07,2.77019541e+06,6.98437445e+05
53219.00972222,1.54579812,1.76143505,-0.96871939,4.57324799e+10,4.81286399e+10,8.85119998e+09,1.95324000e+09,5.69069999e+08,1.59832500e+08,6.11399999e+07,1.49390625e+07,2.99718758e+06,7.63212841e+05
53219.01041667,1.54225483,1.80820850,-0.96340360,4.91328002e+10,5.17747202e+10,9.55152004e+09,2.11248001e+09,6.16560002e+08,1.73227501e+08,6.61912503e+07,1.61259376e+07,3.23695324e+06,8.30830026e+05
53219.01111111,1.53820426,1.85438693,-0.95777059,5.24889599e+10,5.53727999e+10,1.02484800e+10,2.27136000e+09,6.64139999e+08,1.86577500e+08,7.11787499e+07,1.72846875e+07,3.47367200e+06,8.95869063e+05
53219.01180556,1.53366367,1.89997504,-0.95183246,5.58451202e+10,5.89708802e+10,1.09454400e+10,2.43024001e+09,7.11720003e+08,1.99927501e+08,7.61662503e+07,1.84434376e+07,3.71039080e+06,9.60908109e+05
