# Irene Model output file: ../../unitTests/Legacy/CRRactive_NatEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,2.06606589e+09,1.07179400e+09,2.06954050e+08,4.67540524e+07,1.40060532e+07,4.83505342e+06,1.96405369e+06,7.15303645e+05,1.81350549e+05,4.00737131e+04
53219.00138889,1.54095775,1.15238275,-1.00243596,4.11423285e+09,2.13634490e+09,4.13360914e+08,9.36329012e+07,2.80468998e+07,9.59089905e+06,3.86239915e+06,1.39564895e+06,3.52662580e+05,7.89631182e+04
53219.00208333,1.54525254,1.20656344,-1.00212801,6.14450028e+09,3.19365240e+09,6.19220533e+08,1.40636533e+08,4.21225357e+07,1.42675355e+07,5.69503585e+06,2.04103571e+06,5.13936043e+05,1.16668204e+05
53219.00277778,1.54874404,1.26011693,-1.00129850,8.24062168e+09,4.28839768e+09,8.33981770e+08,1.89965760e+08,5.69757601e+07,1.92342588e+07,7.65350883e+06,2.73575849e+06,6.89773020e+05,1.58143810e+05
53219.00347222,1.55146409,1.31304307,-0.99997002,1.03764899e+10,5.41165801e+09,1.05665418e+09,2.41626180e+08,7.25881800e+07,2.44276788e+07,9.68567921e+06,3.45167885e+06,8.73761788e+05,2.03172373e+05
53219.00416667,1.55344362,1.36534232,-0.99816377,1.24862521e+10,6.52599615e+09,1.27833624e+09,2.93292219e+08,8.81822139e+07,2.95577113e+07,1.16657117e+07,4.13946110e+06,1.05133892e+06,2.47983392e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,1.45960139e+10,7.64033412e+09,1.50001826e+09,3.44958251e+08,1.03776245e+08,3.46877430e+07,1.36457438e+07,4.82724325e+06,1.22891602e+06,2.92794404e+05
53219.00555556,1.55529429,1.46806646,-0.99319736,1.67057760e+10,8.75467226e+09,1.72170032e+09,3.96624291e+08,1.19370279e+08,3.98177755e+07,1.56257762e+07,5.51502550e+06,1.40649315e+06,3.37605423e+05
53219.00625000,1.55521927,1.51849557,-0.99007424,1.88155378e+10,9.86901023e+09,1.94338235e+09,4.48290322e+08,1.34964311e+08,4.49478072e+07,1.76058084e+07,6.20280764e+06,1.58407025e+06,3.82416435e+05
53219.00694444,1.55451077,1.56830628,-0.98654759,2.09472753e+10,1.09976919e+10,2.16990407e+09,5.01436053e+08,1.51024043e+08,5.02195392e+07,1.96247907e+07,6.90066503e+06,1.76670109e+06,4.29306075e+05
