# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,3.34655980e+09,3.38687980e+09,5.99039964e+08,1.28159992e+08,3.48899979e+07,1.02749994e+07,4.16999975e+06,1.13249993e+06,2.60624984e+05,5.13866978e+04
53219.00138889,1.54095775,1.15238275,-1.00243596,6.63360005e+09,6.73920005e+09,1.19712001e+09,2.56320002e+08,7.04700006e+07,2.05500002e+07,8.25000006e+06,2.21437502e+06,4.98750003e+05,9.99609024e+04
53219.00208333,1.54525254,1.20656344,-1.00212801,1.00108798e+10,1.01971198e+10,1.81919997e+09,3.90239993e+08,1.07849998e+08,3.14024994e+07,1.25812498e+07,3.37218743e+06,7.56328124e+05,1.53369089e+05
53219.00277778,1.54874404,1.26011693,-1.00129850,1.34784001e+10,1.37606401e+10,2.46528002e+09,5.29920005e+08,1.47030001e+08,4.28325004e+07,1.71637502e+07,4.60593754e+06,1.03335943e+06,2.11611275e+05
53219.00347222,1.55146409,1.31304307,-0.99997002,1.69036799e+10,1.72934399e+10,3.10847998e+09,6.69599995e+08,1.86839999e+08,5.42624996e+07,2.16712498e+07,5.78999996e+06,1.28941412e+06,2.68154250e+05
53219.00416667,1.55344362,1.36534232,-0.99816377,2.02867202e+10,2.07955202e+10,3.74880003e+09,8.09280007e+08,2.27280002e+08,6.56925006e+07,2.61037502e+07,6.92437506e+06,1.52449228e+06,3.22998034e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,2.36697599e+10,2.42975999e+10,4.38911999e+09,9.48959998e+08,2.67719999e+08,7.71224998e+07,3.05362499e+07,8.05874998e+06,1.75957040e+06,3.77841808e+05
53219.00555556,1.55529429,1.46806646,-0.99319736,2.70528002e+10,2.77996802e+10,5.02944004e+09,1.08864001e+09,3.08160003e+08,8.85525008e+07,3.49687503e+07,9.19312508e+06,1.99464856e+06,4.32685592e+05
53219.00625000,1.55521927,1.51849557,-0.99007424,3.04185600e+10,3.13382400e+10,5.68176000e+09,1.23228000e+09,3.50130000e+08,1.00365000e+08,3.95250000e+07,1.03340625e+07,2.22585950e+06,4.90459047e+05
