# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Diff.CRRESPRO.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.38856744e+06,2.33485233e+05,9.86236758e+04,3.66712588e+04,1.01003827e+04,3.24787494e+03,6.24863382e+02,2.85487101e+02,9.65703835e+01,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,2.67369054e+06,4.46264014e+05,1.86189200e+05,6.79357766e+04,1.88536195e+04,5.89922357e+03,9.16936912e+02,5.57590546e+02,1.91434230e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,4.27256750e+06,7.10284481e+05,2.92295867e+05,1.03360512e+05,2.88428181e+04,8.94214579e+03,1.29993952e+03,8.48931081e+02,2.91395994e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,6.18519880e+06,1.02554672e+06,4.16943710e+05,1.42945475e+05,4.00679818e+04,1.23766426e+04,1.77387134e+03,1.15950880e+03,3.96455705e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,7.95853541e+06,1.31034846e+06,5.31169431e+05,1.82028192e+05,5.01948931e+04,1.53965763e+04,2.31230666e+03,1.43325286e+03,4.86885839e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,9.59257790e+06,1.56468980e+06,6.34973066e+05,2.20608675e+05,5.92235554e+04,1.80019481e+04,2.91524567e+03,1.67016336e+03,5.62686425e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.12266201e+07,1.81903110e+06,7.38776684e+05,2.59189152e+05,6.82522163e+04,2.06073195e+04,3.51818459e+03,1.90707383e+03,6.38486998e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.28606626e+07,2.07337244e+06,8.42580318e+05,2.97769635e+05,7.72808786e+04,2.32126913e+04,4.12112360e+03,2.14398433e+03,7.14287583e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.45666891e+07,2.33485312e+06,9.51360377e+05,3.35802543e+05,8.64335124e+04,2.58349792e+04,4.64266701e+03,2.38232180e+03,7.90076609e+02,8.00999933e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
